method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,73.7406,10,341,681,30.000000:270.000000,1339,True,31,31,1339,0.999998,69.1337,0,0.0152815,1341 1341 1280 1281 1342 1400 1456 1455 1399 1398 1454 1340 1279 1339 1278 1215 1214 1277 1338 1337 1276 1213 1212 1275 1274 1336 1394 1395 1396 1397 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,77.4169,10,59,470,19.471220:146.250000,1193,False,88,32,1498,0.999744,75.9154,0,0.013927,1317 1317 1376 1318 1377 1434 1435 1592 1547 1546 1496 1443 1386 1328 1329 1387 1444 1497 1445 1388 1389 1446 1498 1548 1593 1594 1549 1499 1550 1500 1447 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,75.8883,10,564,516,9.594069:247.500000,1080,True,12,12,1080,0.999998,25.7258,0,0.0125022,1013 1080 1082 1014 1013 1012 1081 1147 1146 1079 1145 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,64.7669,10,217,949,19.471220:78.750000,1181,True,31,28,1179,0.999998,62.1319,0,0.0129436,1244 1244 1306 1305 1304 1241 1242 1178 1177 1111 1045 1112 1046 979 1047 1113 1179 1243 1307 1245 1182 1116 1115 1181 1180 1114 1048 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,68.8559,10,352,824,78.284149:315.000000,1778,True,16,16,1763,0.999999,32.2945,0,0.0129375,1739 1739 1713 1714 1715 1741 1763 1742 1764 1780 1779 1778 1762 1740 1761 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,69.8791,10,447,737,41.810314:101.250000,1481,True,12,12,1481,0.999999,23.3004,0,0.012681,1533 1533 1480 1532 1481 1427 1428 1482 1429 1483 1534 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,67.8314,10,374,799,30.000000:270.000000,1339,True,19,19,1339,0.999999,40.5265,0,0.0134414,1338 1338 1397 1339 1396 1337 1276 1277 1214 1215 1278 1216 1279 1340 1280 1341 1399 1398 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,65.8157,10,238,906,9.594069:67.500000,1047,True,22,22,1045,0.999997,48.405,0,0.0131385,1110 1110 1045 1044 977 978 1046 979 1047 1113 1179 1178 1112 1111 1177 1176 1175 1109 1043 976 1108 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,76.8949,10,685,441,30.000000:337.500000,1350,True,9,9,1350,0.999999,16.1081,0,0.0129178,1408 1408 1407 1350 1409 1352 1351 1290 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,61.6441,10,152,1099,30.000000:157.500000,1320,True,50,27,1320,0.999895,60.8458,0,0.0127394,1381 1438 1489 1490 1437 1380 1381 1323 1322 1260 1259 1321 1379 1436 1435 1378 1320 1258 1195 1194 1257 1319 1377 1318 1256 1193 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,80.8917,10,564,353,30.000000:180.000000,1324,True,10,10,1324,0.999998,18.4338,0,0.0130435,1323 1323 1262 1261 1324 1382 1383 1325 1263 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,74.8737,10,401,595,41.810314:168.750000,1491,True,12,12,1438,0.999998,23.215,0,0.0130299,1439 1439 1381 1438 1491 1437 1490 1541 1542 1492 1440 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,75.88,10,523,511,78.284149:45.000000,1766,True,12,12,1746,0.999998,22.8546,0,0.0127793,1766 1766 1745 1719 1720 1746 1767 1748 1747 1721 1722 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,81.8855,10,585,329,78.284149:45.000000,1766,True,10,10,1747,0.999998,17.5149,0,0.0122825,1748 1748 1747 1767 1766 1746 1720 1721 1722 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,67.8362,10,361,805,19.471220:168.750000,1197,True,22,22,1197,0.999997,47.9833,0,0.0126259,1261 1261 1322 1323 1262 1198 1260 1259 1196 1195 1130 1064 1065 1131 1197 1132 1066 1067 1133 1199 1134 -1
