method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,27.8588,10,561,694,30.000000:270.000000,1339,True,16,13,1339,0.999997,25.3634,0,0.013974,1396 1396 1337 1338 1277 1278 1339 1397 1398 1340 1279 1341 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,25.852,10,503,1447,19.471220:146.250000,1193,True,14,13,1193,0.999999,25.1234,0,0.0128348,1128 1128 1127 1192 1255 1256 1193 1194 1257 1258 1195 1129 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,27.7217,10,260,780,9.594069:247.500000,1080,True,29,13,1082,0.994516,25.4995,0,0.0130737,1084 1084 1016 1083 1015 1082 1014 1081 1013 1080 1012 1079 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,28.8151,10,237,352,19.471220:78.750000,1181,True,24,14,1245,0.999948,28.0102,0,0.0126967,1183 1183 1116 1182 1246 1247 1309 1308 1245 1307 1244 1181 1115 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,25.8649,10,442,1529,78.284149:315.000000,1778,True,16,13,1763,0.999996,25.0402,0,0.012883,1761 1761 1778 1777 1762 1740 1741 1763 1764 1780 1779 1791 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,27.8962,10,723,710,41.810314:101.250000,1481,True,8,8,1428,0.999999,13.582,0,0.0126207,1481 1481 1533 1482 1427 1428 1429 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,24.5621,10,93,1872,30.000000:270.000000,1339,False,57,12,1595,0.969011,23.7791,0,0.0127295,1640 1639 1638 1596 1551 1550 1595 1637 1636 1594 1549 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,28.7612,10,171,383,9.594069:67.500000,1047,True,28,14,1046,0.999316,27.7102,0,0.0125888,1048 1048 1114 1113 1047 979 978 1046 1112 1111 1045 977 1044 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,27.5155,10,80,352,30.000000:337.500000,1350,False,235,9,1288,0.785542,25.0063,0,0.0180804,1446 1224 1287 1225 1288 1289 1226 1227 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,26.8092,10,231,1203,30.000000:157.500000,1320,True,21,13,1378,0.99981,25.4424,0,0.0126271,1377 1377 1318 1319 1378 1435 1436 1380 1321 1379 1320 1258 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,27.808,10,237,747,30.000000:180.000000,1324,True,23,14,1382,0.999765,27.5779,0,0.0128058,1438 1438 1439 1440 1383 1324 1262 1261 1323 1382 1381 1322 1380 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,26.2574,10,97,1115,41.810314:168.750000,1491,False,112,10,1437,0.902719,24.6477,0,0.014532,1209 1381 1438 1437 1380 1379 1436 1435 1378 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,27.8833,10,535,748,78.284149:45.000000,1766,True,13,13,1746,0.999999,24.8982,0,0.0124892,1767 1767 1782 1765 1766 1746 1745 1719 1720 1721 1747 1748 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,26.8639,10,428,1165,78.284149:45.000000,1766,True,15,13,1747,0.999995,25.2631,0,0.0128652,1720 1720 1691 1721 1722 1748 1747 1746 1719 1745 1766 1767 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,28.8044,10,165,346,19.471220:168.750000,1197,True,26,14,1197,0.999774,27.965,0,0.0124127,1196 1196 1131 1197 1260 1198 1132 1133 1134 1200 1199 1262 1261 -1
