method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p11-715852394892384_a135-0_0_map.h5,32,10,130,634,78.284149:135.000000,6695,True,204,7,6696,0.598975,31.1348,0,0.0350462,6625 6662 6661 6695 6696 6697 -1
GCP,adapt_p11-715852394892384_a135-0_100_map.h5,512,10,305,714,78.284149:135.000000,6695,False,48,48,6520,0.999998,278.324,0,0.0356658,6620 6620 6660 6661 6618 6571 6516 6458 6459 6394 6395 6396 6397 6398 6401 6400 6399 6463 6462 6520 6460 6461 6519 6518 6517 6572 6619 6573 6574 6521 6575 6621 6662 6663 6664 6622 6623 6577 6576 6523 6524 6465 6522 6464 6329 6328 6327 -1
GCP,adapt_p11-715852394892384_a135-0_101_map.h5,19,10,522,248,78.284149:135.000000,6695,True,27,5,6724,0.661458,18.6746,0,0.0317836,6660 6725 6724 6695 -1
GCP,adapt_p11-715852394892384_a135-0_102_map.h5,133,10,302,1097,78.284149:135.000000,6695,True,48,24,6619,0.998759,132.981,0,0.0317983,6516 6516 6696 6695 6659 6616 6569 6570 6571 6620 6621 6574 6573 6519 6518 6572 6619 6662 6661 6660 6617 6618 6517 -1
GCP,adapt_p11-715852394892384_a135-0_103_map.h5,104,10,176,371,78.284149:135.000000,6695,True,141,19,6617,0.800904,103.51,0,0.0331245,6571 6618 6617 6568 6616 6569 6570 6619 6661 6660 6659 6695 6727 6726 6725 6765 6747 6723 -1
GCP,adapt_p11-715852394892384_a135-0_104_map.h5,48,10,331,388,78.284149:135.000000,6695,True,47,10,6661,0.969025,48.0148,0,0.0305795,6574 6621 6620 6619 6662 6661 6696 6695 6660 -1
GCP,adapt_p11-715852394892384_a135-0_105_map.h5,37,10,463,866,78.284149:135.000000,6695,True,35,8,6725,0.901454,36.035,0,0.0306268,6747 6748 6725 6695 6726 6727 6749 -1
GCP,adapt_p11-715852394892384_a135-0_106_map.h5,49,10,372,719,78.284149:135.000000,6695,True,30,10,6661,0.984844,48.3118,0,0.0309297,6621 6620 6662 6697 6695 6696 6660 6661 6619 -1
GCP,adapt_p11-715852394892384_a135-0_107_map.h5,195,10,141,217,78.284149:135.000000,6695,True,72,34,6572,0.999309,194.212,0,0.0338121,6662 6662 6568 6616 6617 6659 6660 6695 6696 6661 6569 6515 6570 6458 6516 6517 6459 6460 6461 6462 6521 6520 6519 6518 6573 6574 6621 6620 6619 6618 6571 6572 6663 -1
GCP,adapt_p11-715852394892384_a135-0_108_map.h5,12,10,768,683,78.284149:135.000000,6695,True,15,4,6696,0.735692,11.9846,0,0.0301375,6660 6695 6696 -1
GCP,adapt_p11-715852394892384_a135-0_109_map.h5,90,10,550,637,78.284149:135.000000,6695,True,17,17,6619,0.999999,89.8899,0,0.0306053,6620 6620 6572 6573 6621 6662 6661 6619 6618 6571 6570 6569 6617 6695 6696 6660 -1
GCP,adapt_p11-715852394892384_a135-0_10_map.h5,54,10,655,607,78.284149:135.000000,6695,True,20,11,6661,0.999775,53.7722,0,0.0306642,6660 6660 6696 6695 6697 6621 6620 6662 6661 6619 -1
GCP,adapt_p11-715852394892384_a135-0_110_map.h5,36,10,554,454,78.284149:135.000000,6695,True,18,8,6659,0.996416,35.0546,0,0.0305278,6658 6658 6616 6617 6659 6660 6695 -1
GCP,adapt_p11-715852394892384_a135-0_111_map.h5,1208,10,121,1023,78.284149:135.000000,6695,True,355,195,6577,0.999734,1207.35,0,0.0911766,6455 6455 6313 6385 6451 6450 6384 6314 6315 6387 6388 6317 6316 6386 6452 6510 6511 6566 6567 6453 6512 6513 6568 6616 6569 6618 6661 6701 6702 6669 6668 6667 6666 6700 6699 6665 6664 6698 6697 6696 6695 6660 6659 6617 6570 6515 6619 6662 6663 6621 6620 6573 6572 6571 6517 6516 6392 6391 6390 6319 6318 6389 6454 6514 6456 6457 6458 6459 6460 6518 6519 6461 6397 6396 6462 6399 6398 6463 6464 6400 6401 6402 6403 6404 6405 6406 6472 6471 6470 6469 6468 6467 6466 6465 6523 6522 6521 6520 6574 6575 6576 6622 6623 6577 6624 6625 6626 6627 6628 6629 6583 6582 6581 6580 6579 6578 6524 6525 6526 6527 6528 6529 6530 6272 6193 6109 6020 6019 5826 5723 5616 5504 5505 5506 5727 5726 5725 5724 5617 5618 5619 5620 5621 5622 5728 5729 5730 5731 5732 5835 5932 5931 5930 5929 5928 5927 5926 5925 5827 5828 5829 5830 5831 5832 5833 5834 5933 5934 6028 6027 6026 6025 6024 6023 6022 6021 6110 6111 6112 6113 6114 6115 6116 6200 6199 6198 6197 6196 6195 6194 6273 6274 6275 6276 -1
GCP,adapt_p11-715852394892384_a135-0_112_map.h5,7,10,408,574,78.284149:135.000000,6695,True,28,3,6695,0.392689,6.05826,0,0.030804,6725 6695 -1
GCP,adapt_p11-715852394892384_a135-0_113_map.h5,19,10,785,899,78.284149:135.000000,6695,True,16,5,6660,0.951441,18.1539,0,0.0304786,6696 6660 6659 6695 -1
