fluence,length,alt,az,transient_id,est_length,n_src,n_bkg,alt_ml,az_ml,err,exp_angdist,conf,wait_time,mapping_time
0.582,2.568,78.284,135.000,0,2.6,130,983,76.814,147.500,3.062,3.705,0.3807,2.568,0.229
1.764,1.270,78.284,135.000,100,1.3,308,483,74.603,147.857,4.736,5.290,0.9401,1.270,0.248
2.680,4.583,78.284,135.000,101,4.6,440,1730,76.077,130.263,2.442,3.010,0.6654,4.583,0.137
1.752,1.056,78.284,135.000,102,1.1,296,403,77.549,135.000,0.735,1.454,0.0000,1.056,0.135
2.369,0.422,78.284,135.000,103,0.4,403,143,76.077,144.474,3.041,2.760,0.7993,0.422,0.091
1.503,3.616,78.284,135.000,104,3.6,239,1337,70.907,157.500,9.367,9.087,0.9731,3.616,0.294
0.919,4.140,78.284,135.000,105,4.1,130,1540,72.388,114.375,7.790,12.237,0.8883,4.140,0.537
0.575,1.112,78.284,135.000,106,1.1,95,443,76.077,139.737,2.442,4.034,0.1637,1.112,0.307
2.042,0.401,78.284,135.000,107,0.4,321,166,73.865,145.227,5.042,4.715,0.9610,0.401,0.125
3.265,1.839,78.284,135.000,108,1.8,552,652,75.341,132.750,2.987,3.097,0.9285,1.839,0.092
4.788,0.423,78.284,135.000,109,0.4,833,170,76.077,139.737,2.442,2.526,0.9400,0.423,0.078
3.292,0.913,78.284,135.000,10,0.9,609,367,76.077,135.000,2.207,2.281,0.6755,0.913,0.088
4.003,1.100,78.284,135.000,110,1.1,719,435,76.077,130.263,2.442,2.602,0.8570,1.100,0.097
4.574,0.298,78.284,135.000,111,0.3,839,113,76.814,132.500,1.566,1.833,0.6245,0.298,0.090
3.935,3.407,78.284,135.000,112,3.4,643,1324,81.220,161.250,5.443,5.396,0.9865,3.407,0.130
0.752,0.340,78.284,135.000,113,0.3,113,139,76.077,144.474,3.041,3.751,0.3427,0.340,0.354
3.255,2.596,78.284,135.000,114,2.6,529,973,75.341,141.750,3.317,3.651,0.9138,2.596,0.108
3.344,1.709,78.284,135.000,115,1.7,611,615,75.341,128.250,3.317,3.496,0.9444,1.709,0.100
1.941,3.383,78.284,135.000,116,3.4,383,1303,74.603,122.143,4.736,4.377,0.5709,3.383,0.232
2.831,0.526,78.284,135.000,117,0.5,489,192,76.077,130.263,2.442,2.872,0.8518,0.526,0.098
3.341,4.938,78.284,135.000,118,4.9,624,1725,76.814,137.500,1.566,2.106,0.3274,4.938,0.132
0.799,2.715,78.284,135.000,119,2.7,135,1053,58.160,70.116,28.682,28.932,0.9776,2.715,1.276
0.762,3.914,78.284,135.000,11,3.9,141,1516,73.127,123.261,5.891,6.039,0.7047,3.914,0.526
