method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p11-715852394892384_a135-0_0_map.h5,20,10,130,983,78.284149:135.000000,1770,True,36,5,1771,0.836084,19.0977,0,0.0223605,1751 1770 1771 1753 -1
GCP,adapt_p11-715852394892384_a135-0_100_map.h5,64,10,308,483,78.284149:135.000000,1770,True,19,12,1753,0.99892,63.767,0,0.0222538,1772 1772 1770 1771 1753 1754 1755 1773 1729 1728 1752 -1
GCP,adapt_p11-715852394892384_a135-0_101_map.h5,20,10,440,1730,78.284149:135.000000,1770,True,13,5,1752,0.96085,19.069,0,0.022457,1771 1770 1751 1752 -1
GCP,adapt_p11-715852394892384_a135-0_102_map.h5,7,10,296,403,78.284149:135.000000,1770,True,12,3,1770,0.541704,6.4947,0,0.0220376,1752 1770 -1
GCP,adapt_p11-715852394892384_a135-0_103_map.h5,25,10,403,143,78.284149:135.000000,1770,True,10,6,1771,0.99994,24.219,0,0.0222982,1753 1753 1771 1770 1752 -1
GCP,adapt_p11-715852394892384_a135-0_104_map.h5,96,10,239,1337,78.284149:135.000000,1770,True,36,17,1729,0.999308,95.045,0,0.0228646,1771 1771 1770 1726 1751 1752 1727 1728 1729 1753 1754 1730 1702 1667 1701 1700 -1
GCP,adapt_p11-715852394892384_a135-0_105_map.h5,81,10,130,1540,78.284149:135.000000,1770,True,69,14,1751,0.970498,80.4214,0,0.0225037,1769 1770 1751 1750 1725 1726 1627 1584 1585 1540 1586 1628 1752 -1
GCP,adapt_p11-715852394892384_a135-0_106_map.h5,26,10,95,443,78.284149:135.000000,1770,True,49,6,1752,0.747807,25.8815,0,0.0219312,1726 1752 1770 1771 1772 -1
GCP,adapt_p11-715852394892384_a135-0_107_map.h5,37,10,321,166,78.284149:135.000000,1770,True,11,8,1752,0.997201,36.9105,0,0.0216365,1751 1751 1770 1771 1753 1752 1728 -1
GCP,adapt_p11-715852394892384_a135-0_108_map.h5,2,10,552,652,78.284149:135.000000,1770,True,10,2,1752,0,0.0215696,0,0.0215696,1770 -1
GCP,adapt_p11-715852394892384_a135-0_109_map.h5,18,10,833,170,78.284149:135.000000,1770,True,7,5,1752,0.998201,17.8242,0,0.0217091,1771 1771 1770 1752 -1
GCP,adapt_p11-715852394892384_a135-0_10_map.h5,2,10,609,367,78.284149:135.000000,1770,True,7,2,1752,0,0.0214469,0,0.0214469,1770 -1
