ID,RA,DEC,HEALPixels
0,0.00000000,-89.55010000,
1,72.00000000,-89.55010000,32768
2,144.00000000,-89.55010000,36864
3,216.00000000,-89.55010000,40960
4,288.00000000,-89.55010000,45056
5,21.33145558,-88.65010000,32770
6,61.33145558,-88.65010000,32769
7,101.33145558,-88.65010000,36866
8,141.33145558,-88.65010000,36865
9,181.33145558,-88.65010000,
10,221.33145558,-88.65010000,40962
11,261.33145558,-88.65010000,40961
12,301.33145558,-88.65010000,45058
13,341.33145558,-88.65010000,45057
14,0.00000000,-87.75010000,
15,27.69230769,-87.75010000,32776
16,55.38461538,-87.75010000,32771
17,83.07692308,-87.75010000,32772
18,110.76923077,-87.75010000,36872
19,138.46153846,-87.75010000,36867
20,166.15384615,-87.75010000,36868
21,193.84615385,-87.75010000,40968
22,221.53846154,-87.75010000,40963
23,249.23076923,-87.75010000,40964
24,276.92307692,-87.75010000,45064
25,304.61538462,-87.75010000,45059
26,332.30769231,-87.75010000,45060
27,10.67069666,-86.85010000,32778
28,31.84716725,-86.85010000,32777
29,53.02363784,-86.85010000,32774
30,74.20010843,-86.85010000,32773
31,95.37657901,-86.85010000,36874
32,116.55304960,-86.85010000,36873
33,137.72952019,-86.85010000,36870
34,158.90599078,-86.85010000,36869
35,180.08246137,-86.85010000,
36,201.25893196,-86.85010000,40970
37,222.43540254,-86.85010000,40969
38,243.61187313,-86.85010000,40966
39,264.78834372,-86.85010000,40965
40,285.96481431,-86.85010000,45066
41,307.14128490,-86.85010000,45065
42,328.31775549,-86.85010000,45062
43,349.49422607,-86.85010000,45061
44,0.00000000,-85.95010000,32802 45073
45,16.36363636,-85.95010000,32800 32801
46,32.72727273,-85.95010000,32779 32782
47,49.09090909,-85.95010000,32780 32781
48,65.45454545,-85.95010000,32775 32786
49,81.81818182,-85.95010000,32784 32785
50,98.18181818,-85.95010000,36896 36898
51,114.54545455,-85.95010000,36875 36897
52,130.90909091,-85.95010000,36876 36878
53,147.27272727,-85.95010000,36871 36877
54,163.63636364,-85.95010000,36880 36882
55,180.00000000,-85.95010000,36881 40994
56,196.36363636,-85.95010000,40992 40993
57,212.72727273,-85.95010000,40971 40974
58,229.09090909,-85.95010000,40972 40973
59,245.45454545,-85.95010000,40967 40978
60,261.81818182,-85.95010000,40976 40977
61,278.18181818,-85.95010000,45088 45090
62,294.54545455,-85.95010000,45067 45089
63,310.90909091,-85.95010000,45068 45070
64,327.27272727,-85.95010000,45063 45069
65,343.63636364,-85.95010000,45072 45074
66,7.11958750,-85.05010000,32808
67,20.96574134,-85.05010000,32803
68,34.81189519,-85.05010000,32804
69,48.65804904,-85.05010000,32783
70,62.50420288,-85.05010000,32792
71,76.35035673,-85.05010000,32787
72,90.19651057,-85.05010000,32788 36904
73,104.04266442,-85.05010000,36899
74,117.88881827,-85.05010000,36900
75,131.73497211,-85.05010000,36879
76,145.58112596,-85.05010000,36888
77,159.42727980,-85.05010000,36883
78,173.27343365,-85.05010000,36884
79,187.11958750,-85.05010000,41000
80,200.96574134,-85.05010000,40995
81,214.81189519,-85.05010000,40996
82,228.65804904,-85.05010000,40975
83,242.50420288,-85.05010000,40984
84,256.35035673,-85.05010000,40979
85,270.19651057,-85.05010000,40980 45096
86,284.04266442,-85.05010000,45091
87,297.88881827,-85.05010000,45092
88,311.73497211,-85.05010000,45071
89,325.58112596,-85.05010000,45080
90,339.42727980,-85.05010000,45075
91,353.27343365,-85.05010000,45076
92,0.00000000,-84.15010000,32810 45077
93,12.00000000,-84.15010000,32809
94,24.00000000,-84.15010000,32806
95,36.00000000,-84.15010000,32805
96,48.00000000,-84.15010000,32794
97,60.00000000,-84.15010000,32793
98,72.00000000,-84.15010000,32790
99,84.00000000,-84.15010000,32789
100,96.00000000,-84.15010000,36906
101,108.00000000,-84.15010000,36905
102,120.00000000,-84.15010000,36902
103,132.00000000,-84.15010000,36901
104,144.00000000,-84.15010000,36890
105,156.00000000,-84.15010000,36889
106,168.00000000,-84.15010000,36886
107,180.00000000,-84.15010000,36885 41002
108,192.00000000,-84.15010000,41001
109,204.00000000,-84.15010000,40998
110,216.00000000,-84.15010000,40997
111,228.00000000,-84.15010000,40986
112,240.00000000,-84.15010000,40985
113,252.00000000,-84.15010000,40982
114,264.00000000,-84.15010000,40981
115,276.00000000,-84.15010000,45098
116,288.00000000,-84.15010000,45097
117,300.00000000,-84.15010000,45094
118,312.00000000,-84.15010000,45093
119,324.00000000,-84.15010000,45082
120,336.00000000,-84.15010000,45081
121,348.00000000,-84.15010000,45078
122,5.34582279,-83.25010000,32896
123,15.93405809,-83.25010000,32811
124,26.52229338,-83.25010000,32812
125,37.11052867,-83.25010000,32807
126,47.69876397,-83.25010000,32816
127,58.28699926,-83.25010000,32795
128,68.87523456,-83.25010000,32796
129,79.46346985,-83.25010000,32791
130,90.05170515,-83.25010000,32832 36992
131,100.63994044,-83.25010000,36907
132,111.22817573,-83.25010000,36908
133,121.81641103,-83.25010000,36903
134,132.40464632,-83.25010000,36912
135,142.99288162,-83.25010000,36891
136,153.58111691,-83.25010000,36892
137,164.16935220,-83.25010000,36887
138,174.75758750,-83.25010000,36928
139,185.34582279,-83.25010000,41088
140,195.93405809,-83.25010000,41003
141,206.52229338,-83.25010000,41004
142,217.11052867,-83.25010000,40999
143,227.69876397,-83.25010000,41008
