map,RightTile,RightIpix,RightRA,RightDec
adapt_p11-715852394892384_a135-0_101_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_102_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_113_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_116_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_122_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_130_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_160_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_162_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_174_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_203_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_208_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_217_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_225_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_22_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_231_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_236_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_242_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_244_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_245_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_248_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_273_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_275_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_292_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_2_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_306_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_336_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_342_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_356_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_361_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_369_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_378_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_384_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_389_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_397_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_399_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_401_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_40_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_419_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_420_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_427_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_434_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_439_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_440_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_448_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_468_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_506_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_507_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_523_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_531_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_537_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_558_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_587_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_591_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_594_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_62_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_69_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_71_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_80_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_82_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_84_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_91_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_93_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a225-0_0_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_101_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_110_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_116_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_118_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_130_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_181_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_199_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_200_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_204_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_209_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_217_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_235_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_241_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_242_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_251_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_252_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_254_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_257_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_261_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_267_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_270_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_298_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_310_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_316_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_321_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_326_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_334_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_348_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_363_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_370_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_374_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_380_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_381_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_391_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_397_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_409_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_414_map.h5,1774,12224,225.0,78.28414916992188
adapt_p11-715852394892384_a225-0_422_map.h5,1774,12224,225.0,78.28414916992188
