map,RightTile,RightIpix,RightRA,RightDec
adapt_p11-715852394892384_a135-0_101_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_102_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_106_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_113_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_114_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_115_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_116_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_117_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_122_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_130_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_139_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_145_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_149_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_14_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_152_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_153_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_154_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_160_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_162_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_163_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_164_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_174_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_187_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_203_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_208_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_217_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_225_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_22_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_231_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_236_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_241_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_242_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_244_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_245_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_248_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_24_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_273_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_275_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_277_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_281_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_292_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_2_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_306_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_308_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_315_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_334_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_336_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_33_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_342_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_344_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_348_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_356_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_359_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_360_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_361_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_368_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_369_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_36_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_374_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_375_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_378_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_380_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_384_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_386_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_389_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_391_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_397_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_399_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_39_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_401_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_40_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_412_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_419_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_420_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_427_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_430_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_434_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_439_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_440_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_446_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_448_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_460_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_461_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_468_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_47_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_482_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_49_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_502_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_504_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_506_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_507_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_508_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_513_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_515_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_518_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_522_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_523_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_531_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_536_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_537_map.h5,1770,8128,135.0,78.28414916992188
adapt_p11-715852394892384_a135-0_548_map.h5,1770,8128,135.0,78.28414916992188
