Method,Dataset,Budget,SlewRate,NumTiles,SumProb,TotalCost,TimeSec,Path
GCP,sim_200_1-0_10_map.h5,5,10,4,0.997113,3.56988,0.000591251,71 71 46 -1
GCP,sim_200_1-0_10_map.h5,10,10,5,0.999064,6.14814,0.000861019,71 71 46 70 -1
GCP,sim_200_1-0_10_map.h5,20,10,5,0.999064,6.14814,0.000529841,71 71 46 70 -1
GCP,sim_200_1-0_10_map.h5,30,10,5,0.999064,6.14814,0.000528368,71 71 46 70 -1
GCP,sim_200_1-0_10_map.h5,40,10,5,0.999064,6.14814,0.000953503,71 71 46 70 -1
GCP,sim_200_1-0_10_map.h5,50,10,5,0.999064,6.14814,0.000553361,71 71 46 70 -1
GCP,sim_200_1-0_10_map.h5,60,10,5,0.999064,6.14814,0.000540849,71 71 46 70 -1
GCP,sim_200_1-0_10_map.h5,70,10,5,0.999064,6.14814,0.000873883,71 71 46 70 -1
GCP,sim_200_1-0_10_map.h5,80,10,5,0.999064,6.14814,0.000871291,71 71 46 70 -1
GCP,sim_200_1-0_10_map.h5,90,10,5,0.999064,6.14814,0.000847834,71 71 46 70 -1
GCP,sim_200_1-0_10_map.h5,100,10,5,0.999064,6.14814,0.000822554,71 71 46 70 -1
GCP,sim_50_0-5_13_map.h5,5,10,4,0.284539,4.99662,0.000926174,513 452 453 -1
GCP,sim_50_0-5_13_map.h5,10,10,6,0.450202,9.71709,0.000584147,513 513 452 453 286 -1
GCP,sim_50_0-5_13_map.h5,20,10,10,0.750648,19.8663,0.000767801,513 452 453 395 394 338 286 287 339 -1
GCP,sim_50_0-5_13_map.h5,30,10,14,0.858841,28.5316,0.00110704,513 513 453 395 339 287 238 237 286 338 394 452 451 -1
GCP,sim_50_0-5_13_map.h5,40,10,18,0.932935,38.818,0.00117255,513 513 452 453 454 396 395 339 287 238 237 285 286 338 394 451 393 -1
GCP,sim_50_0-5_13_map.h5,50,10,22,0.97605,49.8225,0.00167919,513 513 514 454 396 340 395 453 452 339 287 238 237 286 338 394 512 451 393 337 285 -1
GCP,sim_50_0-5_13_map.h5,60,10,26,0.987704,59.0881,0.00190387,513 513 514 453 452 512 451 393 337 285 236 237 286 338 394 395 396 454 397 340 288 339 287 238 239 -1
GCP,sim_50_0-5_13_map.h5,70,10,30,0.993365,68.708,0.00225527,513 513 514 453 452 512 451 393 392 337 285 236 237 286 338 394 395 339 287 238 239 288 289 341 340 396 454 397 455 -1
GCP,sim_50_0-5_13_map.h5,80,10,34,0.996741,79.2377,0.00209239,513 513 514 453 452 575 512 451 393 392 336 337 285 236 237 286 338 394 395 339 287 238 194 239 288 289 341 340 396 454 397 455 515 -1
GCP,sim_50_0-5_13_map.h5,90,10,38,0.998415,89.9123,0.00228542,513 513 514 453 452 576 575 512 451 393 392 336 337 285 236 193 237 286 338 394 395 339 287 238 194 239 288 240 290 289 341 340 396 454 397 455 515 -1
