dataset,budget,num_tiles,label,rss_peak_kb,vm_kb,rss_kb,scope_peak_kb
sim_200_1-0_10_map.h5,5,23,start,7888,115520,7888,0
sim_200_1-0_10_map.h5,5,23,gcp,18200,415540,16832,16832
sim_200_1-0_10_map.h5,5,23,end,18200,415540,16832,0
sim_200_1-0_10_map.h5,10,23,start,7892,115520,7892,0
sim_200_1-0_10_map.h5,10,23,gcp,18200,415540,16856,16856
sim_200_1-0_10_map.h5,10,23,end,18200,415540,16856,0
sim_200_1-0_10_map.h5,20,23,start,7888,115520,7888,0
sim_200_1-0_10_map.h5,20,23,gcp,18196,415540,16928,16928
sim_200_1-0_10_map.h5,20,23,end,18196,415540,16928,0
sim_200_1-0_10_map.h5,30,23,start,7888,115520,7888,0
sim_200_1-0_10_map.h5,30,23,gcp,18200,415540,16972,16972
sim_200_1-0_10_map.h5,30,23,end,18200,415540,16972,0
sim_200_1-0_10_map.h5,40,23,start,7876,115520,7876,0
sim_200_1-0_10_map.h5,40,23,gcp,18184,415540,16996,16996
sim_200_1-0_10_map.h5,40,23,end,18184,415540,16996,0
sim_200_1-0_10_map.h5,50,23,start,7888,115520,7888,0
sim_200_1-0_10_map.h5,50,23,gcp,18196,415540,17008,17008
sim_200_1-0_10_map.h5,50,23,end,18196,415540,17008,0
sim_200_1-0_10_map.h5,60,23,start,7876,115520,7876,0
sim_200_1-0_10_map.h5,60,23,gcp,18184,415540,16996,16996
sim_200_1-0_10_map.h5,60,23,end,18184,415540,16996,0
sim_200_1-0_10_map.h5,70,23,start,7888,115520,7888,0
sim_200_1-0_10_map.h5,70,23,gcp,18960,415540,17156,17156
sim_200_1-0_10_map.h5,70,23,end,18960,415540,17156,0
sim_200_1-0_10_map.h5,80,23,start,7868,115520,7868,0
sim_200_1-0_10_map.h5,80,23,gcp,18940,415540,17136,17136
sim_200_1-0_10_map.h5,80,23,end,18940,415540,17136,0
sim_200_1-0_10_map.h5,90,23,start,7892,115520,7892,0
sim_200_1-0_10_map.h5,90,23,gcp,18200,415540,17012,17012
sim_200_1-0_10_map.h5,90,23,end,18200,415540,17012,0
sim_200_1-0_10_map.h5,100,23,start,7892,115520,7892,0
sim_200_1-0_10_map.h5,100,23,gcp,18964,415540,17160,17160
sim_200_1-0_10_map.h5,100,23,end,18964,415540,17160,0
sim_50_0-5_13_map.h5,5,641,start,7884,115520,7884,0
sim_50_0-5_13_map.h5,5,641,gcp,29276,285880,18888,18888
sim_50_0-5_13_map.h5,5,641,end,29276,285880,18888,0
sim_50_0-5_13_map.h5,10,641,start,7892,115520,7892,0
sim_50_0-5_13_map.h5,10,641,gcp,27248,285880,18780,18780
sim_50_0-5_13_map.h5,10,641,end,27248,285880,18780,0
sim_50_0-5_13_map.h5,20,641,start,7888,115520,7888,0
sim_50_0-5_13_map.h5,20,641,gcp,27448,285880,18980,18980
sim_50_0-5_13_map.h5,20,641,end,27448,285880,18980,0
sim_50_0-5_13_map.h5,30,641,start,7888,115520,7888,0
sim_50_0-5_13_map.h5,30,641,gcp,30684,351416,20332,20332
sim_50_0-5_13_map.h5,30,641,end,30684,351416,20332,0
sim_50_0-5_13_map.h5,40,641,start,7892,115520,7892,0
sim_50_0-5_13_map.h5,40,641,gcp,28672,351416,20204,20204
sim_50_0-5_13_map.h5,40,641,end,28672,351416,20204,0
sim_50_0-5_13_map.h5,50,641,start,7880,115520,7880,0
