Method,Dataset,Budget,SlewRate,NumTiles,SumProb,TotalCost,TimeSec,Path
GCP,sim_200_1-0_10_map.h5,5,10,5,0.621814,4.73635,0.00104726,1227 1227 1129 1035 -1
GCP,sim_200_1-0_10_map.h5,10,10,8,0.889387,9.90281,0.000777527,1227 1227 1130 1036 945 1035 1129 -1
GCP,sim_200_1-0_10_map.h5,20,10,13,0.981913,18.8766,0.00103929,1227 1227 1329 1226 1129 1130 1131 1036 946 945 1035 1034 -1
GCP,sim_200_1-0_10_map.h5,30,10,19,0.996846,29.5088,0.00135815,1227 1227 1228 1131 947 946 1036 1130 1035 945 858 857 944 1034 1128 1129 1226 1329 -1
GCP,sim_200_1-0_10_map.h5,40,10,25,0.999146,39.7356,0.00169618,1227 1227 1330 1228 1131 1037 947 859 946 1036 1130 1035 945 858 776 857 944 1034 1128 1129 1226 1329 1434 1435 -1
GCP,sim_200_1-0_10_map.h5,50,10,25,0.999146,39.7356,0.00160981,1227 1227 1330 1228 1131 1037 947 859 946 1036 1130 1035 945 858 776 857 944 1034 1128 1129 1226 1329 1434 1435 -1
GCP,sim_200_1-0_10_map.h5,60,10,25,0.999146,39.7356,0.0016476,1227 1227 1330 1228 1131 1037 947 859 946 1036 1130 1035 945 858 776 857 944 1034 1128 1129 1226 1329 1434 1435 -1
GCP,sim_200_1-0_10_map.h5,70,10,25,0.999146,39.7356,0.00172664,1227 1227 1330 1228 1131 1037 947 859 946 1036 1130 1035 945 858 776 857 944 1034 1128 1129 1226 1329 1434 1435 -1
GCP,sim_200_1-0_10_map.h5,80,10,25,0.999146,39.7356,0.00166475,1227 1227 1330 1228 1131 1037 947 859 946 1036 1130 1035 945 858 776 857 944 1034 1128 1129 1226 1329 1434 1435 -1
GCP,sim_200_1-0_10_map.h5,90,10,25,0.999146,39.7356,0.0016501,1227 1227 1330 1228 1131 1037 947 859 946 1036 1130 1035 945 858 776 857 944 1034 1128 1129 1226 1329 1434 1435 -1
GCP,sim_200_1-0_10_map.h5,100,10,25,0.999146,39.7356,0.00191116,1227 1227 1330 1228 1131 1037 947 859 946 1036 1130 1035 945 858 776 857 944 1034 1128 1129 1226 1329 1434 1435 -1
GCP,sim_50_0-5_13_map.h5,5,10,4,0.036274,4.48384,0.00752806,4960 5347 5742 -1
GCP,sim_50_0-5_13_map.h5,10,10,7,0.0788863,9.72513,0.00740262,4960 5152 5742 5347 5154 5155 -1
GCP,sim_50_0-5_13_map.h5,20,10,12,0.147938,19.9652,0.00734803,4960 5152 5153 5154 5347 5155 5545 5544 5742 8811 9048 -1
GCP,sim_50_0-5_13_map.h5,30,10,17,0.217531,29.7622,0.00915704,4960 5152 5153 5154 5347 5155 5156 5545 5742 8346 8345 8811 9049 9048 9047 9046 -1
GCP,sim_50_0-5_13_map.h5,40,10,22,0.268472,39.3275,0.00913522,4960 5152 5541 5153 5154 5155 5156 5545 5347 5543 5742 8347 8346 8345 8344 9046 9047 8811 9048 9049 9050 -1
GCP,sim_50_0-5_13_map.h5,50,10,28,0.324463,49.6877,0.00965622,4960 5152 5153 5346 5347 5154 5155 5156 5545 5544 5543 5742 5541 7435 8344 8345 8346 8347 9050 9049 8812 8578 8811 9048 9047 9046 9045 -1
GCP,sim_50_0-5_13_map.h5,60,10,34,0.37582,59.9402,0.0120459,4960 5152 5541 5542 5346 5153 5154 5347 5155 5156 5545 5544 5543 5742 6149 7435 8343 8344 8345 8346 8347 8579 9050 9287 9049 8812 8578 8577 8811 9048 9047 9046 9045 -1
GCP,sim_50_0-5_13_map.h5,70,10,39,0.412448,69.701,0.0139234,4960 5152 5541 5542 5346 5153 5154 5347 5155 5156 5545 5946 5544 5543 5742 5741 6149 7216 7435 8343 8344 8345 8346 8347 8348 8579 9050 9287 9049 8812 8578 8577 8811 9048 9047 9046 9045 8574 -1
GCP,sim_50_0-5_13_map.h5,80,10,45,0.452508,79.7032,0.013068,4960 5152 5153 5346 5543 5347 5154 5155 5156 5348 5545 5544 5743 5946 5742 5542 5345 5541 5942 5741 5944 6149 6783 7216 7435 8343 8344 8345 8346 8579 8347 8348 9050 9287 9049 8812 8578 8577 8811 9048 9047 9046 9045 8574 -1
GCP,sim_50_0-5_13_map.h5,90,10,51,0.489694,89.9495,0.0148462,4960 5152 5153 5346 5543 5347 5154 5155 5156 5348 5545 5544 5743 5946 5945 5742 5542 5345 5541 5942 5943 5741 5944 6149 6568 6783 7216 7435 7434 8342 8343 8344 8345 8346 8579 8347 8348 9050 9287 9049 8812 8578 8577 8811 9048 9047 8810 9046 9045 8574 -1
GCP,sim_50_0-5_13_map.h5,100,10,57,0.523083,99.6557,0.0148471,4960 5151 5152 5345 5541 5740 5942 5943 5741 5542 5153 5346 5543 5544 5347 5154 5155 5156 5348 5545 5743 5946 5945 5742 5944 6149 6568 6783 7216 7435 7434 8574 9045 9046 9047 8810 8576 8575 8342 8343 8344 8577 8811 9048 9286 9287 9050 8813 9049 8812 8578 8345 8346 8579 8347 8348 -1
GCP,sim_200_0-5_33_map.h5,5,10,5,0.944947,4.51811,0.000630611,31652 31652 31499 31344 -1
GCP,sim_200_0-5_33_map.h5,10,10,7,0.984867,8.40479,0.000697013,31652 31652 31499 31345 31344 31184 -1
GCP,sim_200_0-5_33_map.h5,20,10,12,0.999312,17.3223,0.000841561,31652 31652 31498 31184 31022 31185 31344 31499 31345 31500 31653 -1
GCP,sim_200_0-5_33_map.h5,30,10,12,0.999312,17.3223,0.00116752,31652 31652 31498 31184 31022 31185 31344 31499 31345 31500 31653 -1
GCP,sim_200_0-5_33_map.h5,40,10,12,0.999312,17.3223,0.000837401,31652 31652 31498 31184 31022 31185 31344 31499 31345 31500 31653 -1
GCP,sim_200_0-5_33_map.h5,50,10,12,0.999312,17.3223,0.00088265,31652 31652 31498 31184 31022 31185 31344 31499 31345 31500 31653 -1
GCP,sim_200_0-5_33_map.h5,60,10,12,0.999312,17.3223,0.000904026,31652 31652 31498 31184 31022 31185 31344 31499 31345 31500 31653 -1
GCP,sim_200_0-5_33_map.h5,70,10,12,0.999312,17.3223,0.000846265,31652 31652 31498 31184 31022 31185 31344 31499 31345 31500 31653 -1
GCP,sim_200_0-5_33_map.h5,80,10,12,0.999312,17.3223,0.00120996,31652 31652 31498 31184 31022 31185 31344 31499 31345 31500 31653 -1
GCP,sim_200_0-5_33_map.h5,90,10,12,0.999312,17.3223,0.000882074,31652 31652 31498 31184 31022 31185 31344 31499 31345 31500 31653 -1
GCP,sim_200_0-5_33_map.h5,100,10,12,0.999312,17.3223,0.00115418,31652 31652 31498 31184 31022 31185 31344 31499 31345 31500 31653 -1
GCP,sim_300_0-5_71_map.h5,5,10,5,0.923764,4.65505,0.000670228,23202 23202 22948 23203 -1
