dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_200_1-0_10_map.h5,5,6,init,0.230791,0.230791
sim_200_1-0_10_map.h5,5,6,mapping,20.2009,20.4317
sim_200_1-0_10_map.h5,5,6,gcp,0.584787,21.0165
sim_200_1-0_10_map.h5,5,6,total,10.0442,31.0607
sim_200_1-0_10_map.h5,10,6,init,0.225287,0.225287
sim_200_1-0_10_map.h5,10,6,mapping,20.2454,20.4707
sim_200_1-0_10_map.h5,10,6,gcp,1.22273,21.6934
sim_200_1-0_10_map.h5,10,6,total,9.5939,31.2873
sim_200_1-0_10_map.h5,20,6,init,0.218343,0.218343
sim_200_1-0_10_map.h5,20,6,mapping,20.0024,20.2207
sim_200_1-0_10_map.h5,20,6,gcp,0.643476,20.8642
sim_200_1-0_10_map.h5,20,6,total,9.92694,30.7911
sim_200_1-0_10_map.h5,30,6,init,0.212775,0.212775
sim_200_1-0_10_map.h5,30,6,mapping,20.1812,20.394
sim_200_1-0_10_map.h5,30,6,gcp,0.666197,21.0602
sim_200_1-0_10_map.h5,30,6,total,9.89829,30.9585
sim_200_1-0_10_map.h5,40,6,init,0.231783,0.231783
sim_200_1-0_10_map.h5,40,6,mapping,20.081,20.3128
sim_200_1-0_10_map.h5,40,6,gcp,0.928061,21.2409
sim_200_1-0_10_map.h5,40,6,total,9.86972,31.1106
sim_200_1-0_10_map.h5,50,6,init,0.232295,0.232295
sim_200_1-0_10_map.h5,50,6,mapping,20.1829,20.4152
sim_200_1-0_10_map.h5,50,6,gcp,0.603731,21.0189
sim_200_1-0_10_map.h5,50,6,total,9.94694,30.9658
sim_200_1-0_10_map.h5,60,6,init,0.221543,0.221543
sim_200_1-0_10_map.h5,60,6,mapping,20.1479,20.3695
sim_200_1-0_10_map.h5,60,6,gcp,0.59605,20.9655
sim_200_1-0_10_map.h5,60,6,total,9.97628,30.9418
sim_200_1-0_10_map.h5,70,6,init,0.222439,0.222439
sim_200_1-0_10_map.h5,70,6,mapping,20.0378,20.2602
sim_200_1-0_10_map.h5,70,6,gcp,0.63538,20.8956
sim_200_1-0_10_map.h5,70,6,total,9.93014,30.8257
sim_200_1-0_10_map.h5,80,6,init,0.215527,0.215527
sim_200_1-0_10_map.h5,80,6,mapping,20.2683,20.4839
sim_200_1-0_10_map.h5,80,6,gcp,0.688022,21.1719
sim_200_1-0_10_map.h5,80,6,total,9.89807,31.07
sim_200_1-0_10_map.h5,90,6,init,0.217671,0.217671
sim_200_1-0_10_map.h5,90,6,mapping,20.1669,20.3845
sim_200_1-0_10_map.h5,90,6,gcp,0.658932,21.0435
sim_200_1-0_10_map.h5,90,6,total,9.90735,30.9508
sim_200_1-0_10_map.h5,100,6,init,0.214694,0.214694
sim_200_1-0_10_map.h5,100,6,mapping,20.0943,20.309
sim_200_1-0_10_map.h5,100,6,gcp,0.589587,20.8985
sim_200_1-0_10_map.h5,100,6,total,10.0259,30.9244
sim_50_0-5_13_map.h5,5,132,init,0.224615,0.224615
sim_50_0-5_13_map.h5,5,132,mapping,21.818,22.0426
sim_50_0-5_13_map.h5,5,132,gcp,0.719831,22.7624
sim_50_0-5_13_map.h5,5,132,total,9.91148,32.6739
sim_50_0-5_13_map.h5,10,132,init,0.22676,0.22676
sim_50_0-5_13_map.h5,10,132,mapping,21.8892,22.1159
sim_50_0-5_13_map.h5,10,132,gcp,0.794841,22.9108
sim_50_0-5_13_map.h5,10,132,total,9.85007,32.7608
sim_50_0-5_13_map.h5,20,132,init,0.213319,0.213319
sim_50_0-5_13_map.h5,20,132,mapping,21.6634,21.8767
sim_50_0-5_13_map.h5,20,132,gcp,1.35771,23.2344
sim_50_0-5_13_map.h5,20,132,total,9.30128,32.5357
sim_50_0-5_13_map.h5,30,132,init,0.212039,0.212039
sim_50_0-5_13_map.h5,30,132,mapping,21.6458,21.8579
sim_50_0-5_13_map.h5,30,132,gcp,1.37326,23.2311
sim_50_0-5_13_map.h5,30,132,total,9.26445,32.4956
sim_50_0-5_13_map.h5,40,132,init,0.224743,0.224743
sim_50_0-5_13_map.h5,40,132,mapping,21.9599,22.1846
sim_50_0-5_13_map.h5,40,132,gcp,2.0816,24.2662
sim_50_0-5_13_map.h5,40,132,total,8.53761,32.8038
sim_50_0-5_13_map.h5,50,132,init,0.215303,0.215303
sim_50_0-5_13_map.h5,50,132,mapping,21.841,22.0563
sim_50_0-5_13_map.h5,50,132,gcp,2.39275,24.4491
sim_50_0-5_13_map.h5,50,132,total,8.25258,32.7017
sim_50_0-5_13_map.h5,60,132,init,0.221639,0.221639
sim_50_0-5_13_map.h5,60,132,mapping,21.9073,22.129
sim_50_0-5_13_map.h5,60,132,gcp,3.29009,25.4191
sim_50_0-5_13_map.h5,60,132,total,7.32298,32.7421
sim_50_0-5_13_map.h5,70,132,init,0.210375,0.210375
sim_50_0-5_13_map.h5,70,132,mapping,21.6922,21.9026
sim_50_0-5_13_map.h5,70,132,gcp,3.44676,25.3494
sim_50_0-5_13_map.h5,70,132,total,7.20557,32.5549
sim_50_0-5_13_map.h5,80,132,init,0.231463,0.231463
sim_50_0-5_13_map.h5,80,132,mapping,21.8715,22.103
sim_50_0-5_13_map.h5,80,132,gcp,3.5444,25.6474
sim_50_0-5_13_map.h5,80,132,total,7.06406,32.7114
sim_50_0-5_13_map.h5,90,132,init,0.213478,0.213478
sim_50_0-5_13_map.h5,90,132,mapping,21.5987,21.8122
sim_50_0-5_13_map.h5,90,132,gcp,3.92316,25.7353
