dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_200_1-0_10_map.h5,5,23,init,0.217063,0.217063
sim_200_1-0_10_map.h5,5,23,mapping,61.2216,61.4387
sim_200_1-0_10_map.h5,5,23,gcp,1.04726,62.4859
sim_200_1-0_10_map.h5,5,23,total,9.53942,72.0253
sim_200_1-0_10_map.h5,10,23,init,0.222311,0.222311
sim_200_1-0_10_map.h5,10,23,mapping,60.8006,61.0229
sim_200_1-0_10_map.h5,10,23,gcp,0.777527,61.8004
sim_200_1-0_10_map.h5,10,23,total,9.82333,71.6237
sim_200_1-0_10_map.h5,20,23,init,0.21383,0.21383
sim_200_1-0_10_map.h5,20,23,mapping,60.7282,60.942
sim_200_1-0_10_map.h5,20,23,gcp,1.0393,61.9813
sim_200_1-0_10_map.h5,20,23,total,9.60163,71.583
sim_200_1-0_10_map.h5,30,23,init,0.208518,0.208518
sim_200_1-0_10_map.h5,30,23,mapping,61.4504,61.6589
sim_200_1-0_10_map.h5,30,23,gcp,1.35815,63.0171
sim_200_1-0_10_map.h5,30,23,total,9.30418,72.3213
sim_200_1-0_10_map.h5,40,23,init,0.221094,0.221094
sim_200_1-0_10_map.h5,40,23,mapping,60.8394,61.0605
sim_200_1-0_10_map.h5,40,23,gcp,1.69618,62.7567
sim_200_1-0_10_map.h5,40,23,total,8.98366,71.7404
sim_200_1-0_10_map.h5,50,23,init,0.209703,0.209703
sim_200_1-0_10_map.h5,50,23,mapping,61.1481,61.3578
sim_200_1-0_10_map.h5,50,23,gcp,1.60981,62.9676
sim_200_1-0_10_map.h5,50,23,total,9.02171,71.9893
sim_200_1-0_10_map.h5,60,23,init,0.222279,0.222279
sim_200_1-0_10_map.h5,60,23,mapping,61.0155,61.2378
sim_200_1-0_10_map.h5,60,23,gcp,1.6476,62.8854
sim_200_1-0_10_map.h5,60,23,total,9.01201,71.8974
sim_200_1-0_10_map.h5,70,23,init,0.21831,0.21831
sim_200_1-0_10_map.h5,70,23,mapping,61.0877,61.306
sim_200_1-0_10_map.h5,70,23,gcp,1.72664,63.0326
sim_200_1-0_10_map.h5,70,23,total,8.89962,71.9322
sim_200_1-0_10_map.h5,80,23,init,0.229351,0.229351
sim_200_1-0_10_map.h5,80,23,mapping,61.4379,61.6673
sim_200_1-0_10_map.h5,80,23,gcp,1.66475,63.332
sim_200_1-0_10_map.h5,80,23,total,8.93511,72.2671
sim_200_1-0_10_map.h5,90,23,init,0.215718,0.215718
sim_200_1-0_10_map.h5,90,23,mapping,61.1493,61.3651
sim_200_1-0_10_map.h5,90,23,gcp,1.6501,63.0151
sim_200_1-0_10_map.h5,90,23,total,8.96564,71.9808
sim_200_1-0_10_map.h5,100,23,init,0.215398,0.215398
sim_200_1-0_10_map.h5,100,23,mapping,60.4156,60.631
sim_200_1-0_10_map.h5,100,23,gcp,1.91116,62.5422
sim_200_1-0_10_map.h5,100,23,total,8.94699,71.4892
sim_50_0-5_13_map.h5,5,641,init,0.21735,0.21735
sim_50_0-5_13_map.h5,5,641,mapping,92.9804,93.1977
sim_50_0-5_13_map.h5,5,641,gcp,7.52806,100.726
sim_50_0-5_13_map.h5,5,641,total,3.16579,103.892
sim_50_0-5_13_map.h5,10,641,init,0.220839,0.220839
sim_50_0-5_13_map.h5,10,641,mapping,91.973,92.1938
sim_50_0-5_13_map.h5,10,641,gcp,7.40262,99.5965
sim_50_0-5_13_map.h5,10,641,total,3.29379,102.89
sim_50_0-5_13_map.h5,20,641,init,0.218983,0.218983
sim_50_0-5_13_map.h5,20,641,mapping,92.8014,93.0204
sim_50_0-5_13_map.h5,20,641,gcp,7.34803,100.368
sim_50_0-5_13_map.h5,20,641,total,3.28314,103.652
sim_50_0-5_13_map.h5,30,641,init,0.20855,0.20855
sim_50_0-5_13_map.h5,30,641,mapping,92.9043,93.1128
sim_50_0-5_13_map.h5,30,641,gcp,9.15704,102.27
sim_50_0-5_13_map.h5,30,641,total,1.52017,103.79
sim_50_0-5_13_map.h5,40,641,init,0.229959,0.229959
sim_50_0-5_13_map.h5,40,641,mapping,91.0707,91.3006
sim_50_0-5_13_map.h5,40,641,gcp,9.13522,100.436
sim_50_0-5_13_map.h5,40,641,total,1.53665,101.972
sim_50_0-5_13_map.h5,50,641,init,0.213319,0.213319
sim_50_0-5_13_map.h5,50,641,mapping,92.5487,92.762
sim_50_0-5_13_map.h5,50,641,gcp,9.65622,102.418
sim_50_0-5_13_map.h5,50,641,total,1.04429,103.462
sim_50_0-5_13_map.h5,60,641,init,0.210662,0.210662
sim_50_0-5_13_map.h5,60,641,mapping,93.069,93.2796
sim_50_0-5_13_map.h5,60,641,gcp,12.0459,105.325
sim_50_0-5_13_map.h5,60,641,total,8.85143,114.177
sim_50_0-5_13_map.h5,70,641,init,0.208294,0.208294
sim_50_0-5_13_map.h5,70,641,mapping,90.8688,91.0771
sim_50_0-5_13_map.h5,70,641,gcp,13.9234,105
sim_50_0-5_13_map.h5,70,641,total,6.99195,111.992
sim_50_0-5_13_map.h5,80,641,init,0.204582,0.204582
sim_50_0-5_13_map.h5,80,641,mapping,93.0848,93.2894
sim_50_0-5_13_map.h5,80,641,gcp,13.068,106.357
sim_50_0-5_13_map.h5,80,641,total,7.85476,114.212
sim_50_0-5_13_map.h5,90,641,init,0.219975,0.219975
sim_50_0-5_13_map.h5,90,641,mapping,93.0607,93.2807
sim_50_0-5_13_map.h5,90,641,gcp,14.8462,108.127
sim_50_0-5_13_map.h5,90,641,total,6.03263,114.16
sim_50_0-5_13_map.h5,100,641,init,0.209447,0.209447
sim_50_0-5_13_map.h5,100,641,mapping,92.834,93.0434
sim_50_0-5_13_map.h5,100,641,gcp,14.8471,107.89
sim_50_0-5_13_map.h5,100,641,total,6.04354,113.934
sim_200_0-5_33_map.h5,5,10,init,0.215782,0.215782
sim_200_0-5_33_map.h5,5,10,mapping,60.7229,60.9387
sim_200_0-5_33_map.h5,5,10,gcp,0.630611,61.5693
sim_200_0-5_33_map.h5,5,10,total,9.95857,71.5279
sim_200_0-5_33_map.h5,10,10,init,0.20247,0.20247
sim_200_0-5_33_map.h5,10,10,mapping,60.8455,61.048
sim_200_0-5_33_map.h5,10,10,gcp,0.697013,61.745
sim_200_0-5_33_map.h5,10,10,total,9.96414,71.7092
sim_200_0-5_33_map.h5,20,10,init,0.206918,0.206918
sim_200_0-5_33_map.h5,20,10,mapping,60.5142,60.7212
sim_200_0-5_33_map.h5,20,10,gcp,0.841561,61.5627
sim_200_0-5_33_map.h5,20,10,total,9.80547,71.3682
sim_200_0-5_33_map.h5,30,10,init,0.221223,0.221223
sim_200_0-5_33_map.h5,30,10,mapping,61.3564,61.5777
sim_200_0-5_33_map.h5,30,10,gcp,1.16752,62.7452
sim_200_0-5_33_map.h5,30,10,total,9.68662,72.4318
sim_200_0-5_33_map.h5,40,10,init,0.211814,0.211814
sim_200_0-5_33_map.h5,40,10,mapping,61.7972,62.009
sim_200_0-5_33_map.h5,40,10,gcp,0.837401,62.8464
sim_200_0-5_33_map.h5,40,10,total,9.80253,72.6489
sim_200_0-5_33_map.h5,50,10,init,0.222086,0.222086
sim_200_0-5_33_map.h5,50,10,mapping,61.0349,61.257
sim_200_0-5_33_map.h5,50,10,gcp,0.88265,62.1397
sim_200_0-5_33_map.h5,50,10,total,9.69408,71.8337
sim_200_0-5_33_map.h5,60,10,init,0.21143,0.21143
sim_200_0-5_33_map.h5,60,10,mapping,61.4645,61.6759
sim_200_0-5_33_map.h5,60,10,gcp,0.904026,62.58
sim_200_0-5_33_map.h5,60,10,total,9.75059,72.3306
sim_200_0-5_33_map.h5,70,10,init,0.222631,0.222631
sim_200_0-5_33_map.h5,70,10,mapping,61.2172,61.4398
sim_200_0-5_33_map.h5,70,10,gcp,0.846265,62.2861
sim_200_0-5_33_map.h5,70,10,total,9.7168,72.0029
sim_200_0-5_33_map.h5,80,10,init,0.20999,0.20999
sim_200_0-5_33_map.h5,80,10,mapping,60.833,61.043
sim_200_0-5_33_map.h5,80,10,gcp,1.20996,62.253
sim_200_0-5_33_map.h5,80,10,total,9.66112,71.9141
sim_200_0-5_33_map.h5,90,10,init,0.233062,0.233062
sim_200_0-5_33_map.h5,90,10,mapping,60.8183,61.0513
sim_200_0-5_33_map.h5,90,10,gcp,0.882074,61.9334
sim_200_0-5_33_map.h5,90,10,total,9.6913,71.6247
sim_200_0-5_33_map.h5,100,10,init,0.211015,0.211015
sim_200_0-5_33_map.h5,100,10,mapping,60.7438,60.9548
sim_200_0-5_33_map.h5,100,10,gcp,1.15418,62.109
sim_200_0-5_33_map.h5,100,10,total,9.69936,71.8083
sim_300_0-5_71_map.h5,5,9,init,0.209958,0.209958
sim_300_0-5_71_map.h5,5,9,mapping,60.2563,60.4662
sim_300_0-5_71_map.h5,5,9,gcp,0.670228,61.1364
sim_300_0-5_71_map.h5,5,9,total,9.87037,71.0068
sim_300_0-5_71_map.h5,10,9,init,0.21399,0.21399
sim_300_0-5_71_map.h5,10,9,mapping,60.6095,60.8235
sim_300_0-5_71_map.h5,10,9,gcp,1.0408,61.8643
sim_300_0-5_71_map.h5,10,9,total,9.59494,71.4592
sim_300_0-5_71_map.h5,20,9,init,0.206694,0.206694
sim_300_0-5_71_map.h5,20,9,mapping,60.5403,60.747
sim_300_0-5_71_map.h5,20,9,gcp,0.75343,61.5004
sim_300_0-5_71_map.h5,20,9,total,9.8361,71.3365
sim_300_0-5_71_map.h5,30,9,init,0.207494,0.207494
sim_300_0-5_71_map.h5,30,9,mapping,61.2472,61.4547
sim_300_0-5_71_map.h5,30,9,gcp,1.13245,62.5871
sim_300_0-5_71_map.h5,30,9,total,9.73997,72.3271
sim_300_0-5_71_map.h5,40,9,init,0.212646,0.212646
sim_300_0-5_71_map.h5,40,9,mapping,60.9531,61.1658
sim_300_0-5_71_map.h5,40,9,gcp,0.841113,62.0069
sim_300_0-5_71_map.h5,40,9,total,9.71485,71.7217
sim_300_0-5_71_map.h5,50,9,init,0.276936,0.276936
sim_300_0-5_71_map.h5,50,9,mapping,60.3822,60.6591
