method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,7.873,10,561,341,30.000000:270.000000,1339,True,12,5,1339,0.965789,7.75038,0,0.0127914,1396 1397 1339 1396 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,4.84,10,503,1447,19.471220:146.250000,1193,True,14,4,1193,0.719422,3.72392,0,0.0126895,1128 1128 1193 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,6.723,10,260,780,9.594069:247.500000,1080,False,29,5,1082,0.599614,6.21227,0,0.0139845,1084 1084 1083 1082 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,6.842,10,280,715,19.471220:78.750000,1181,False,17,5,1245,0.652752,6.10006,0,0.0129683,1307 1307 1244 1245 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,3.855,10,479,1911,78.284149:315.000000,1778,False,13,4,1762,0.631932,3.76679,0,0.0126874,1779 1779 1762 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,7.87,10,723,400,41.810314:101.250000,1481,True,8,5,1428,0.985725,6.13052,0,0.0134019,1481 1481 1427 1428 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,5.228,10,86,1093,30.000000:270.000000,1339,False,110,4,1595,0.341404,5.14869,0,0.0143613,1501 1550 1595 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,7.761,10,171,383,9.594069:67.500000,1047,True,28,5,1046,0.860678,7.66413,0,0.0127886,1048 1047 1046 1045 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,6.341,10,80,352,30.000000:337.500000,1350,False,235,2,1288,0,0,0,0.0184936,1446 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,4.808,10,259,1590,30.000000:157.500000,1320,True,21,4,1320,0.595592,3.70155,0,0.0128085,1378 1378 1320 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,5.78,10,237,1156,30.000000:180.000000,1324,True,27,4,1324,0.662465,5.09998,0,0.0126779,1383 1324 1323 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,6.6,10,96,730,41.810314:168.750000,1491,False,55,4,1438,0.509946,5.57856,0,0.0137054,1324 1439 1438 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,5.872,10,579,1123,78.284149:45.000000,1766,True,13,4,1746,0.672983,4.86838,0,0.0130146,1767 1766 1746 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,7.878,10,428,395,78.284149:45.000000,1766,False,12,5,1747,0.980009,7.54452,0,0.0127039,1722 1721 1747 1722 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,6.822,10,237,708,19.471220:168.750000,1197,True,21,5,1197,0.751431,6.66858,0,0.0129299,1199 1199 1132 1197 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,4.866,10,561,1461,9.594069:202.500000,1072,False,13,4,1071,0.689362,3.65106,0,0.012725,1003 1003 1071 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,7.884,10,516,395,30.000000:22.500000,1298,True,10,5,1357,0.96543,7.644,0,0.0126821,1358 1357 1298 1358 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,3.85,10,507,1805,30.000000:315.000000,1346,False,13,4,1347,0.569546,3.74494,0,0.0127207,1404 1404 1347 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,4.85,10,481,1503,54.340912:45.000000,1572,False,14,4,1525,0.577966,3.54735,0,0.0128938,1473 1473 1525 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,7.778,10,399,382,9.594069:270.000000,1084,True,24,5,1084,0.92573,7.68312,0,0.0135267,1149 1084 1085 1151 -1
GCP,adapt_p35-659087696138755_a105-0_477_map.h5,6.878,10,641,760,54.340912:105.000000,1579,True,10,5,1623,0.990563,6.12295,0,0.01272,1579 1579 1622 1623 -1
GCP,adapt_p80-40593177313954_a224-99999999999997_341_map.h5,3.805,10,532,1912,9.594069:225.000000,1076,True,17,3,1141,0.751058,2.70734,0,0.0127273,1076 1141 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,4.861,10,665,1509,9.594069:90.000000,1051,True,10,4,1051,0.864674,3.65755,0,0.0127448,1052 1052 1051 -1
GCP,adapt_p35-659087696138755_a195-0_210_map.h5,4.858,10,646,1513,54.340912:195.000000,1590,False,10,4,1633,0.88239,3.58296,0,0.0129563,1670 1670 1633 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,5.847,10,370,1087,41.810314:11.250000,1468,True,10,4,1467,0.971779,5.05297,0,0.0126048,1413 1467 1468 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,7.478,10,104,360,19.471220:326.250000,1225,False,76,5,1158,0.320007,6.72454,0,0.0132688,1287 1287 1159 1158 -1
GCP,adapt_p60-00000000000001_a112-49999999999999_477_map.h5,4.864,10,719,1390,30.000000:112.500000,1313,True,11,4,1313,0.685036,3.80618,0,0.0129699,1371 1371 1313 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,6.572,10,56,831,54.340912:15.000000,1568,False,60,4,1716,0.517002,5.81245,0,0.0131077,1682 1716 1685 -1
GCP,adapt_p60-00000000000001_a45-0_497_map.h5,4.79,10,274,1475,30.000000:45.000000,1301,False,18,4,1239,0.430453,4.16997,0,0.0129989,1174 1174 1239 -1
GCP,adapt_p80-40593177313954_a112-49999999999999_222_map.h5,3.876,10,687,1926,9.594069:112.500000,1055,False,10,4,1120,0.576807,3.56489,0,0.0126428,1054 1054 1120 -1
GCP,adapt_p80-40593177313954_a292-5_3_map.h5,6.876,10,474,711,9.594069:292.500000,1088,True,12,5,1088,0.994585,6.20578,0,0.0129576,1021 1021 1089 1088 -1
GCP,adapt_p11-715852394892384_a45-0_473_map.h5,4.867,10,594,1535,78.284149:45.000000,1766,True,12,4,1766,0.843515,3.52666,0,0.0127297,1767 1767 1766 -1
GCP,adapt_p70-52877936550931_a348-74999999999994_314_map.h5,5.633,10,205,1098,19.471220:348.750000,1229,False,45,4,1099,0.632848,5.10317,0,0.013738,1033 1100 1099 -1
GCP,adapt_p35-659087696138755_a285-0_99_map.h5,7.89,10,605,351,54.340912:285.000000,1601,True,8,5,1601,0.994658,6.13168,0,0.0129897,1642 1642 1601 1600 -1
GCP,adapt_p23-556464309101234_a202-5_295_map.h5,5.82,10,306,1099,66.443535:202.500000,1704,True,22,4,1705,0.747812,4.99279,0,0.0130762,1706 1705 1704 -1
GCP,adapt_p48-18968510422141_a258-75_507_map.h5,3.849,10,722,1899,41.810314:258.750000,1504,False,11,4,1503,0.659489,3.58715,0,0.0129282,1553 1553 1503 -1
GCP,adapt_p80-40593177313954_a315-0_265_map.h5,4.79,10,380,1443,9.594069:315.000000,1093,True,23,4,1093,0.636375,4.25961,0,0.0131072,1095 1095 1093 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_519_map.h5,4.815,10,344,1491,41.810314:168.750000,1491,True,19,4,1491,0.418545,3.70004,0,0.0127556,1541 1541 1491 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_38_map.h5,4.848,10,498,1440,9.594069:202.500000,1072,True,15,4,1072,0.906885,3.55034,0,0.0134009,1138 1138 1072 -1
GCP,adapt_p48-18968510422141_a258-75_599_map.h5,5.771,10,377,1114,41.810314:258.750000,1504,False,23,4,1451,0.910736,5.07321,0,0.0130044,1449 1450 1451 -1
GCP,adapt_p23-556464309101234_a112-5_421_map.h5,5.771,10,277,1085,66.443535:112.500000,1697,False,26,4,1661,0.708419,5.04997,0,0.0128681,1621 1660 1661 -1
GCP,adapt_p60-00000000000001_a0-0_368_map.h5,6.851,10,422,713,30.000000:0.000000,1294,True,14,5,1294,0.729004,6.18699,0,0.0127678,1295 1295 1354 1294 -1
GCP,adapt_p48-18968510422141_a33-75_457_map.h5,6.871,10,334,752,41.810314:33.750000,1471,False,12,5,1416,0.991838,6.11789,0,0.0129237,1358 1358 1416 1417 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_311_map.h5,7.87,10,531,342,9.594069:247.500000,1080,True,11,5,1080,0.998298,6.11944,0,0.0131608,1146 1146 1080 1081 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_371_map.h5,7.888,10,533,421,41.810314:123.750000,1484,True,10,5,1484,0.961056,6.07935,0,0.0133726,1536 1536 1485 1484 -1
GCP,adapt_p60-00000000000001_a292-5_378_map.h5,5.778,10,244,1098,30.000000:292.500000,1343,False,29,4,1402,0.742203,5.31041,0,0.0131315,1459 1402 1401 -1
GCP,adapt_p48-18968510422141_a78-75_491_map.h5,7.898,10,495,389,41.810314:78.750000,1478,True,7,5,1424,0.97886,7.81257,0,0.0135505,1423 1424 1478 1423 -1
GCP,adapt_p70-52877936550931_a101-24999999999999_126_map.h5,7.862,10,482,383,19.471220:101.250000,1185,True,12,5,1185,0.975574,6.12313,0,0.0134179,1248 1248 1185 1184 -1
GCP,adapt_p80-40593177313954_a180-0_148_map.h5,6.886,10,596,659,9.594069:180.000000,1067,True,9,5,1133,0.964503,6.09983,0,0.0130104,1132 1132 1133 1067 -1
GCP,adapt_p60-00000000000001_a247-49999999999997_411_map.h5,6.723,10,127,768,30.000000:247.500000,1335,True,34,5,1274,0.693225,6.48494,0,0.0130943,1210 1210 1274 1335 -1
GCP,adapt_p60-00000000000001_a67-5_588_map.h5,7.889,10,532,407,30.000000:67.500000,1305,True,8,5,1305,0.981962,6.26073,0,0.0135838,1306 1306 1365 1305 -1
GCP,adapt_p80-40593177313954_a45-0_362_map.h5,5.82,10,269,1115,9.594069:45.000000,1042,True,24,4,1042,0.70588,5.10942,0,0.0128556,1044 1043 1042 -1
GCP,adapt_p23-556464309101234_a337-5_335_map.h5,7.82,10,257,385,66.443535:337.500000,1716,True,20,5,1716,0.855062,7.71264,0,0.0134976,1683 1716 1742 1741 -1
GCP,adapt_p80-40593177313954_a90-0_365_map.h5,5.819,10,225,1228,9.594069:90.000000,1051,True,19,4,1050,0.696473,5.21152,0,0.0128685,1118 1051 1050 -1
GCP,adapt_p70-52877936550931_a281-24999999999994_494_map.h5,4.839,10,523,1571,19.471220:281.250000,1217,True,15,4,1217,0.768176,3.58426,0,0.0128381,1280 1280 1217 -1
GCP,adapt_p60-00000000000001_a0-0_104_map.h5,6.665,10,101,729,30.000000:0.000000,1294,False,50,5,1469,0.501714,6.65778,0,0.0129255,1569 1569 1469 1468 -1
GCP,adapt_p35-659087696138755_a315-0_146_map.h5,7.843,10,330,414,54.340912:315.000000,1605,True,19,5,1646,0.961941,7.68216,0,0.0130315,1682 1645 1646 1605 -1
GCP,adapt_p35-659087696138755_a285-0_144_map.h5,4.916,10,192,1135,54.340912:285.000000,1601,False,157,3,1602,0.234624,4.5195,0,0.0154104,1741 1602 -1
GCP,adapt_p48-18968510422141_a78-75_474_map.h5,4.786,10,336,1508,41.810314:78.750000,1478,False,23,4,1424,0.440183,3.94869,0,0.0132914,1479 1479 1424 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_597_map.h5,5.864,10,370,1100,41.810314:168.750000,1491,True,15,4,1491,0.900695,4.9835,0,0.0129182,1439 1438 1491 -1
GCP,adapt_p11-715852394892384_a135-0_375_map.h5,5.89,10,789,1101,78.284149:135.000000,1770,False,7,4,1752,0.83099,3.61794,0,0.0127353,1771 1771 1752 -1
GCP,adapt_p35-659087696138755_a75-0_363_map.h5,5.659,10,208,1168,54.340912:75.000000,1576,False,40,4,1578,0.555738,5.53963,0,0.0128661,1661 1621 1578 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_190_map.h5,7.898,10,726,370,41.810314:123.750000,1484,True,7,5,1484,0.998325,6.17736,0,0.0129434,1431 1431 1484 1430 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_498_map.h5,4.837,10,381,1448,41.810314:123.750000,1484,False,17,4,1431,0.474627,4.08958,0,0.0126236,1483 1483 1431 -1
GCP,adapt_p11-715852394892384_a45-0_415_map.h5,6.82,10,236,717,78.284149:45.000000,1766,True,22,5,1746,0.690005,6.5404,0,0.0128094,1744 1744 1766 1746 -1
GCP,adapt_p11-715852394892384_a135-0_306_map.h5,7.73,10,139,311,78.284149:135.000000,1770,False,40,5,1786,0.672294,7.19792,0,0.0128393,1787 1786 1785 1771 -1
