method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,37.847,10,561,694,30.000000:270.000000,1339,True,16,16,1339,0.999999,33.7176,0,0.0131609,1396 1396 1395 1337 1276 1338 1277 1278 1339 1397 1398 1340 1279 1341 1399 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,35.848,10,503,1447,19.471220:146.250000,1193,True,14,14,1193,0.999999,29.5002,0,0.0129226,1128 1128 1127 1194 1129 1195 1258 1257 1256 1193 1126 1192 1255 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,36.747,10,264,1175,9.594069:247.500000,1080,True,26,17,1080,0.99986,36.7298,0,0.0130345,1078 1078 1010 1011 945 1012 1079 1145 1146 1080 1013 1014 1081 1147 1082 1083 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,38.803,10,237,352,19.471220:78.750000,1181,True,24,17,1245,0.999992,37.7111,0,0.0130571,1183 1183 1117 1184 1247 1244 1307 1245 1308 1309 1246 1182 1116 1115 1181 1180 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,35.856,10,442,1529,78.284149:315.000000,1778,True,16,16,1763,0.999998,33.339,0,0.0129355,1761 1761 1777 1778 1762 1739 1740 1741 1763 1742 1764 1780 1779 1791 1790 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,37.897,10,723,710,41.810314:101.250000,1481,True,8,8,1428,0.999999,15.2142,0,0.0134457,1481 1533 1482 1429 1428 1427 1481 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,36.187,10,86,1093,30.000000:270.000000,1339,False,110,16,1595,0.971928,36.1412,0,0.0143486,1501 1501 1551 1550 1549 1594 1636 1673 1674 1637 1595 1596 1638 1639 1340 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,38.771,10,171,383,9.594069:67.500000,1047,True,28,17,1046,0.999933,36.6793,0,0.0129013,1048 1048 1115 1114 1113 1047 980 979 978 1046 1112 1111 1045 977 1044 1110 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,37.455,10,80,352,30.000000:337.500000,1350,False,235,14,1288,0.871678,37.4293,0,0.0188206,1446 1285 1286 1287 1224 1225 1161 1226 1227 1290 1289 1288 1349 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,36.774,10,231,1203,30.000000:157.500000,1320,True,21,17,1378,0.999965,36.559,0,0.0132739,1377 1377 1434 1435 1378 1318 1319 1257 1258 1320 1379 1436 1437 1380 1321 1322 -1
