method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,13.8528,10,561,341,30.000000:270.000000,5149,True,29,9,5148,0.966151,13.1375,0,0.0220645,5150 5150 5149 5271 5270 5147 5148 5022 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,10.8382,10,503,1447,19.471220:146.250000,4444,True,35,7,4582,0.87584,10.1286,0,0.0215647,4719 4718 4583 4582 4581 4444 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,12.7223,10,260,780,9.594069:247.500000,4063,False,97,7,4068,0.680675,11.2527,0,0.0225151,3777 4066 4067 4068 3924 3925 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,13.7977,10,237,352,19.471220:78.750000,4418,False,64,8,4692,0.834602,12.3251,0,0.0221358,4421 4558 4557 4692 4693 4826 4827 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,10.8488,10,442,1529,78.284149:315.000000,6711,True,33,7,6679,0.90288,10.418,0,0.0209319,6681 6680 6711 6678 6679 6641 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,13.8852,10,723,400,41.810314:101.250000,5566,True,18,9,5453,0.999099,13.2,0,0.0215749,5676 5676 5675 5566 5567 5452 5453 5568 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,9.53383,10,93,1872,30.000000:270.000000,5149,False,176,6,6014,0.352814,8.66434,0,0.0238915,5915 6013 6014 6103 6104 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,13.7576,10,171,383,9.594069:67.500000,3992,True,78,8,3991,0.757277,12.2072,0,0.0222051,4274 4132 4131 3989 3990 3991 3992 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,12.3883,10,80,352,30.000000:337.500000,5172,False,755,3,4783,0.0786677,10.7385,0,0.0747664,5490 4783 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,11.794,10,231,1203,30.000000:157.500000,5110,True,63,7,5232,0.781755,10.1467,0,0.0218285,4980 5108 5231 5232 5109 5110 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,12.7917,10,237,747,30.000000:180.000000,5117,True,68,8,5239,0.783244,11.981,0,0.0221247,5241 5240 5239 5238 5115 5116 5117 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,9.67091,10,97,1898,41.810314:168.750000,5587,False,121,6,4613,0.504153,8.50142,0,0.0226424,4195 4475 4476 4613 4612 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,12.8702,10,535,748,78.284149:45.000000,6687,True,26,8,6650,0.966885,12.3522,0,0.0215815,6607 6606 6649 6605 6650 6651 6687 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,13.8725,10,428,395,78.284149:45.000000,6687,False,29,9,6608,0.954974,13.3431,0,0.0222939,6558 6558 6559 6560 6607 6651 6608 6609 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,13.7836,10,165,346,19.471220:168.750000,4452,True,67,8,4453,0.743263,12.4944,0,0.0222451,4726 4591 4452 4314 4453 4454 4455 -1
