method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,53.8355,10,588,1009,30.000000:270.000000,1339,True,15,15,1339,0.999998,30.7398,0,0.0132782,1337 1337 1277 1276 1338 1339 1278 1279 1341 1340 1398 1397 1396 1395 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,66.3918,10,59,470,19.471220:146.250000,1193,False,88,27,1498,0.999507,64.0293,0,0.0140455,1317 1317 1376 1377 1496 1547 1498 1548 1593 1594 1549 1550 1500 1447 1499 1446 1389 1388 1445 1497 1444 1387 1329 1328 1386 1443 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,61.8924,10,648,646,9.594069:247.500000,1080,True,11,11,1080,0.999998,22.6876,0,0.0123764,1013 1080 1079 1012 1146 1147 1082 1014 1081 1013 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,59.7238,10,178,720,19.471220:78.750000,1181,True,36,26,1180,0.999989,58.5046,0,0.0130319,1242 1242 1180 1114 1048 1047 1113 1179 1181 1115 1049 1116 1182 1245 1244 1307 1306 1243 1178 1112 1046 1111 1177 1241 1305 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,69.8606,10,319,357,78.284149:315.000000,1778,True,13,13,1762,0.999998,25.7306,0,0.0131574,1739 1739 1738 1740 1741 1763 1764 1779 1778 1777 1762 1761 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,59.8508,10,438,699,41.810314:101.250000,1481,True,12,12,1481,0.999999,22.8673,0,0.0129698,1428 1428 1427 1480 1532 1481 1482 1533 1534 1483 1429 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,63.8398,10,363,562,30.000000:270.000000,1339,True,16,16,1339,0.999999,32.9259,0,0.0129651,1277 1277 1278 1340 1279 1280 1341 1399 1398 1397 1339 1276 1337 1338 1396 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,63.7276,10,138,571,9.594069:67.500000,1047,True,39,28,1112,0.999994,63.463,0,0.0131959,1047 979 978 977 1045 1111 1176 1110 1044 1043 1109 1108 1174 1175 1238 1239 1240 1177 1241 1178 1112 1046 1047 1114 1113 1179 1242 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,71.8954,10,677,242,30.000000:337.500000,1350,True,10,10,1350,0.999999,19.0493,0,0.0124609,1408 1408 1407 1409 1291 1290 1351 1350 1289 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,64.8302,10,42,483,30.000000:157.500000,1320,True,343,25,1203,0.609376,64.1792,0,0.0243417,1320 1629 1667 1668 1669 1631 1630 1201 1135 1136 1137 1202 1203 1138 1139 1204 1205 1209 1144 1145 1210 1211 1274 1336 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,64.8994,10,699,541,30.000000:180.000000,1324,True,7,7,1324,0.999999,10.5849,0,0.0123552,1323 1323 1261 1262 1324 1382 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,49.8869,10,767,1143,41.810314:168.750000,1491,True,8,8,1438,0.999999,13.6509,0,0.0128799,1491 1491 1490 1437 1492 1439 1438 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,60.8853,10,636,661,78.284149:45.000000,1766,True,11,11,1746,0.999998,20.3986,0,0.0124948,1766 1766 1745 1719 1720 1746 1767 1747 1721 1722 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,71.8856,10,585,282,78.284149:45.000000,1766,True,10,10,1747,0.999998,18.065,0,0.0122353,1746 1746 1767 1766 1747 1748 1722 1721 1720 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,67.8381,10,360,392,19.471220:168.750000,1197,True,18,18,1197,0.999998,37.4887,0,0.0126854,1196 1196 1131 1130 1195 1259 1321 1322 1260 1197 1198 1132 1133 1199 1262 1261 1323 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,72.7323,10,111,210,9.594069:202.500000,1072,True,35,31,1073,0.999998,70.3917,0,0.0135394,1007 1007 1076 1008 1075 1141 1206 1205 1140 1074 1006 1073 1072 1071 1003 936 937 1004 1005 938 939 940 1139 1204 1203 1138 1137 1136 1070 1002 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,60.7226,10,174,722,30.000000:22.500000,1298,True,31,27,1233,0.999994,60.4744,0,0.0131794,1356 1356 1415 1357 1298 1235 1172 1105 1171 1234 1297 1295 1232 1233 1170 1104 1103 1169 1168 1231 1294 1354 1355 1296 1414 1413 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,58.8555,10,335,746,30.000000:315.000000,1346,True,13,13,1403,0.999998,25.4297,0,0.0123433,1459 1459 1460 1461 1405 1347 1346 1404 1403 1458 1402 1345 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,70.8944,10,819,281,54.340912:45.000000,1572,True,10,10,1616,0.999999,18.2944,0,0.0123525,1615 1615 1654 1655 1571 1572 1616 1617 1573 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,67.8835,10,509,408,9.594069:270.000000,1084,True,11,11,1084,0.999998,21.0986,0,0.012343,1083 1083 1015 1016 1084 1149 1150 1017 1085 1151 -1
GCP,adapt_p35-659087696138755_a105-0_477_map.h5,72.9054,10,713,217,54.340912:105.000000,1579,True,7,7,1579,0.999999,10.629,0,0.0123681,1580 1580 1623 1622 1579 1578 -1
GCP,adapt_p80-40593177313954_a224-99999999999997_341_map.h5,67.8828,10,598,402,9.594069:225.000000,1076,True,11,11,1075,0.999999,20.9808,0,0.0129441,1076 1076 1075 1074 1140 1141 1077 1143 1142 1207 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,72.7744,10,181,231,9.594069:90.000000,1051,True,27,27,1117,0.999998,60.3352,0,0.0134371,1115 1115 981 982 1049 1048 1114 1180 1181 1245 1182 1116 1117 1184 1118 1052 984 1051 983 1050 1183 1246 1247 1248 1185 1119 -1
GCP,adapt_p35-659087696138755_a195-0_210_map.h5,61.8846,10,694,658,54.340912:195.000000,1590,True,7,7,1633,0.999999,10.5916,0,0.012203,1632 1632 1590 1591 1633 1670 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,66.8911,10,610,478,41.810314:11.250000,1468,True,9,9,1468,0.999999,15.7033,0,0.0127545,1469 1469 1414 1413 1467 1468 1521 1520 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,71.8754,10,489,280,19.471220:326.250000,1225,True,11,11,1225,0.999998,20.9529,0,0.0123661,1160 1160 1226 1162 1161 1225 1288 1287 1224 1159 -1
GCP,adapt_p60-00000000000001_a112-49999999999999_477_map.h5,55.8847,10,609,819,30.000000:112.500000,1313,True,10,10,1371,0.999998,18.2721,0,0.0130521,1312 1312 1372 1313 1371 1429 1428 1370 1311 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,61.8544,10,310,594,54.340912:15.000000,1568,True,16,16,1569,0.999999,33.0132,0,0.0134031,1522 1522 1469 1468 1520 1521 1568 1612 1613 1569 1470 1523 1570 1614 1615 -1
GCP,adapt_p60-00000000000001_a45-0_497_map.h5,61.8895,10,448,688,30.000000:45.000000,1301,True,11,11,1301,0.999999,21.1384,0,0.0122778,1360 1360 1302 1239 1361 1301 1238 1237 1300 1359 -1
GCP,adapt_p80-40593177313954_a112-49999999999999_222_map.h5,66.8811,10,611,436,9.594069:112.500000,1055,True,10,10,1054,0.999998,18.0959,0,0.0126578,1120 1120 1053 1054 987 1055 1121 1122 1056 -1
GCP,adapt_p80-40593177313954_a292-5_3_map.h5,61.874,10,536,553,9.594069:292.500000,1088,True,12,12,1088,0.999999,23.5801,0,0.0127468,1154 1154 1155 1153 1087 1020 1088 1021 1089 1022 1090 -1
GCP,adapt_p11-715852394892384_a45-0_473_map.h5,63.8815,10,484,566,78.284149:45.000000,1766,True,11,11,1766,0.999998,20.2616,0,0.0123019,1746 1746 1765 1745 1766 1782 1783 1767 1747 1748 -1
GCP,adapt_p70-52877936550931_a348-74999999999994_314_map.h5,70.7741,10,138,272,19.471220:348.750000,1229,True,28,28,1229,0.999998,63.8474,0,0.0136291,1164 1164 1100 1099 1098 1163 1228 1165 1166 1230 1167 1101 1168 1231 1293 1294 1353 1292 1229 1291 1352 1290 1227 1162 1226 1289 1351 -1
GCP,adapt_p35-659087696138755_a285-0_99_map.h5,63.8725,10,519,570,54.340912:285.000000,1601,True,12,12,1643,0.999999,22.6243,0,0.0122855,1602 1602 1603 1644 1680 1679 1643 1642 1600 1601 1557 -1
GCP,adapt_p23-556464309101234_a202-5_295_map.h5,55.7976,10,185,876,66.443535:202.500000,1704,True,24,24,1733,0.999998,51.5522,0,0.013181,1706 1706 1671 1670 1704 1732 1705 1672 1673 1707 1708 1735 1734 1733 1756 1757 1758 1775 1774 1773 1755 1731 1703 -1
GCP,adapt_p48-18968510422141_a258-75_507_map.h5,59.862,10,490,730,41.810314:258.750000,1504,True,13,13,1451,0.999998,26.8234,0,0.0128117,1503 1503 1552 1502 1394 1450 1395 1396 1452 1451 1553 1504 -1
GCP,adapt_p80-40593177313954_a315-0_265_map.h5,57.8533,10,425,762,9.594069:315.000000,1093,True,17,17,1093,0.999998,35.5983,0,0.0134486,1158 1158 1094 1160 1159 1224 1223 1222 1157 1091 1092 1025 1093 1026 1027 1095 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_519_map.h5,54.8845,10,690,951,41.810314:168.750000,1491,True,13,13,1491,0.999999,25.2788,0,0.0123016,1438 1438 1439 1440 1493 1492 1491 1437 1490 1541 1542 1543 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_38_map.h5,66.3477,10,72,400,9.594069:202.500000,1072,False,254,28,1322,0.89412,64.9899,0,0.0220276,1265 1323 1261 1260 1322 1321 1320 1257 1256 1255 1191 1125 1059 1060 1126 1192 1193 1127 1061 1128 1062 1063 1129 1195 1258 1259 1196 -1
GCP,adapt_p48-18968510422141_a258-75_599_map.h5,67.8896,10,679,381,41.810314:258.750000,1504,True,10,10,1504,0.999999,18.1707,0,0.0122491,1452 1452 1505 1554 1553 1503 1504 1451 1450 -1
GCP,adapt_p23-556464309101234_a112-5_421_map.h5,56.7491,10,92,908,66.443535:112.500000,1697,True,34,25,1662,0.999993,54.3233,0,0.0137411,1726 1726 1725 1696 1661 1623 1580 1581 1624 1662 1697 1625 1626 1664 1663 1698 1699 1727 1751 1750 1724 1695 1660 1622 -1
GCP,adapt_p60-00000000000001_a0-0_368_map.h5,64.8865,10,628,554,30.000000:0.000000,1294,True,10,10,1294,0.999999,18.6776,0,0.0123337,1354 1354 1295 1296 1355 1411 1294 1231 1232 -1
GCP,adapt_p48-18968510422141_a33-75_457_map.h5,67.8873,10,481,379,41.810314:33.750000,1471,True,10,10,1417,0.999998,17.7972,0,0.0125355,1416 1416 1417 1418 1472 1524 1523 1471 1470 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_311_map.h5,61.4674,10,129,664,9.594069:247.500000,1080,True,76,27,1080,0.999463,59.8632,0,0.0133957,1209 1209 1143 1076 1077 1010 1078 1144 1210 1145 1079 1011 1012 1013 1014 1082 1148 1149 1213 1212 1147 1081 1080 1146 1211 1274 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_371_map.h5,55.8808,10,812,880,41.810314:123.750000,1484,True,9,9,1431,0.999998,15.5838,0,0.0129791,1484 1484 1430 1431 1432 1486 1485 1536 -1
GCP,adapt_p60-00000000000001_a292-5_378_map.h5,63.858,10,346,572,30.000000:292.500000,1343,True,15,15,1343,0.999999,31.0156,0,0.0127796,1282 1282 1218 1281 1342 1400 1399 1341 1280 1219 1283 1344 1343 1401 -1
GCP,adapt_p48-18968510422141_a78-75_491_map.h5,59.774,10,216,680,41.810314:78.750000,1478,True,27,26,1478,0.999997,57.6902,0,0.0128162,1576 1576 1530 1478 1425 1367 1366 1424 1423 1365 1422 1476 1528 1477 1529 1575 1527 1574 1618 1619 1577 1531 1479 1480 1426 -1
GCP,adapt_p70-52877936550931_a101-24999999999999_126_map.h5,56.8955,10,521,863,19.471220:101.250000,1185,True,8,8,1119,0.999998,13.1653,0,0.0132686,1120 1120 1119 1118 1184 1185 1186 -1
GCP,adapt_p80-40593177313954_a180-0_148_map.h5,62.8393,10,642,565,9.594069:180.000000,1067,True,16,16,1135,0.999999,33.1652,0,0.012464,1133 1133 1066 1132 1198 1199 1200 1134 1067 1068 1069 1135 1070 1136 1201 -1
GCP,adapt_p60-00000000000001_a247-49999999999997_411_map.h5,72.7455,10,176,232,30.000000:247.500000,1335,True,33,32,1334,0.999998,72.6517,0,0.0132606,1271 1271 1334 1273 1210 1145 1144 1209 1272 1335 1274 1211 1146 1212 1275 1337 1336 1394 1393 1392 1449 1448 1391 1333 1332 1390 1447 1389 1331 1270 1208 -1
GCP,adapt_p60-00000000000001_a67-5_588_map.h5,65.4843,10,160,444,30.000000:67.500000,1305,True,78,28,1421,0.998992,64.4166,0,0.0134665,1526 1474 1419 1420 1362 1303 1304 1363 1421 1422 1364 1305 1242 1243 1306 1307 1366 1365 1423 1477 1476 1475 1526 1527 1574 1528 1660 -1
GCP,adapt_p80-40593177313954_a45-0_362_map.h5,71.7826,10,142,272,9.594069:45.000000,1042,True,25,25,1041,0.999999,56.6093,0,0.0131589,1107 1107 973 906 907 974 1041 1040 905 972 971 1038 1039 1105 1106 1108 1042 1043 1109 975 908 909 976 1044 -1
GCP,adapt_p23-556464309101234_a337-5_335_map.h5,60.8449,10,468,674,66.443535:337.500000,1716,True,18,18,1716,0.999999,37.6002,0,0.0128869,1683 1683 1646 1682 1714 1740 1763 1741 1715 1647 1648 1684 1685 1717 1716 1742 1743 -1
GCP,adapt_p80-40593177313954_a90-0_365_map.h5,63.8722,10,386,582,9.594069:90.000000,1051,True,13,13,1118,0.999999,25.6808,0,0.012604,1052 1052 1117 1183 1116 1050 1051 1118 1184 1185 1119 1053 -1
GCP,adapt_p70-52877936550931_a281-24999999999994_494_map.h5,72.7278,10,129,231,19.471220:281.250000,1217,True,33,32,1150,0.999999,72.0458,0,0.0129687,1086 1086 1017 1016 1084 1150 1214 1149 1083 1082 1148 1213 1276 1277 1215 1278 1279 1216 1151 1085 1018 1019 1087 1152 1217 1280 1218 1153 1088 1020 1021 -1
GCP,adapt_p60-00000000000001_a0-0_104_map.h5,65.8925,10,584,531,30.000000:0.000000,1294,True,9,9,1294,0.999999,16.1042,0,0.0132807,1231 1231 1293 1294 1295 1354 1353 1411 -1
GCP,adapt_p35-659087696138755_a315-0_146_map.h5,60.6761,10,98,620,54.340912:315.000000,1605,False,193,25,1334,0.97255,57.1826,0,0.0164764,1149 1394 1450 1449 1393 1335 1273 1210 1144 1209 1272 1334 1392 1391 1333 1271 1208 1143 1077 1076 1075 1141 1142 1207 -1
GCP,adapt_p35-659087696138755_a285-0_144_map.h5,61.8531,10,425,653,54.340912:285.000000,1601,True,14,14,1643,0.999998,27.8501,0,0.0127589,1679 1679 1680 1644 1603 1602 1643 1642 1601 1557 1600 1641 1678 -1
GCP,adapt_p48-18968510422141_a78-75_474_map.h5,67.8861,10,440,396,41.810314:78.750000,1478,True,11,11,1478,0.999998,20.7847,0,0.0127399,1529 1529 1530 1479 1478 1424 1477 1528 1476 1423 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_597_map.h5,58.374,10,81,778,41.810314:168.750000,1491,False,84,26,1326,0.999275,57.1745,0,0.0137434,1136 1136 1200 1199 1262 1324 1263 1325 1383 1384 1326 1264 1201 1137 1202 1265 1327 1385 1386 1328 1266 1203 1204 1267 1329 -1
GCP,adapt_p11-715852394892384_a135-0_375_map.h5,67.3003,10,71,413,78.284149:135.000000,1770,True,105,29,1637,0.992353,66.8723,0,0.0145938,1500 1551 1596 1597 1639 1676 1708 1675 1638 1595 1550 1594 1636 1673 1637 1674 1707 1706 1731 1755 1772 1771 1770 1751 1752 1753 1754 1730 -1
GCP,adapt_p35-659087696138755_a75-0_363_map.h5,64.8673,10,291,535,54.340912:75.000000,1576,True,14,14,1575,0.999999,28.4837,0,0.0125023,1574 1574 1527 1528 1575 1617 1618 1619 1620 1576 1529 1577 1530 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_190_map.h5,65.815,10,289,478,41.810314:123.750000,1484,True,22,22,1484,0.999998,48.2063,0,0.0127795,1536 1536 1431 1374 1373 1430 1429 1483 1482 1533 1580 1534 1535 1582 1581 1484 1485 1432 1433 1486 1537 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_498_map.h5,59.8733,10,351,693,41.810314:123.750000,1484,True,15,15,1535,0.999999,29.8724,0,0.0124958,1485 1485 1484 1535 1581 1582 1536 1537 1486 1432 1431 1430 1483 1534 -1
GCP,adapt_p11-715852394892384_a45-0_415_map.h5,70.7997,10,173,312,78.284149:45.000000,1766,True,28,28,1767,0.999999,60.4072,0,0.0131401,1748 1748 1746 1720 1721 1747 1722 1723 1749 1750 1770 1769 1768 1767 1766 1782 1783 1784 1785 1793 1792 1781 1765 1780 1744 1745 1719 -1
GCP,adapt_p11-715852394892384_a135-0_306_map.h5,59.8811,10,691,707,78.284149:135.000000,1770,True,12,12,1785,0.999999,22.7808,0,0.0127485,1771 1771 1751 1752 1753 1770 1769 1784 1785 1786 1794 -1
GCP,adapt_p48-18968510422141_a191-25_203_map.h5,70.8173,10,202,297,41.810314:191.250000,1494,True,23,23,1442,0.999999,49.6172,0,0.0125413,1545 1545 1546 1496 1444 1387 1443 1386 1328 1327 1385 1442 1495 1494 1441 1384 1326 1383 1440 1493 1544 1543 -1
GCP,adapt_p60-00000000000001_a202-49999999999997_218_map.h5,68.8785,10,596,374,30.000000:202.500000,1328,True,11,11,1328,0.999999,21.1722,0,0.0133199,1386 1386 1329 1267 1387 1328 1266 1265 1327 1385 -1
GCP,adapt_p11-715852394892384_a135-0_384_map.h5,73.8323,10,191,189,78.284149:135.000000,1770,True,20,20,1752,0.999999,42.0415,0,0.012438,1772 1772 1755 1754 1753 1729 1728 1727 1726 1751 1752 1771 1773 1786 1785 1770 1769 1750 1725 -1
