method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,7.74192,10,260,780,9.594069:247.500000,1080,False,29,5,1082,0.789627,7.35863,0,0.0139651,1084 1083 1015 1082 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,5.86533,10,442,1529,78.284149:315.000000,1778,False,16,4,1763,0.738085,4.73707,0,0.0124841,1761 1762 1763 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,5.33215,10,93,1481,30.000000:270.000000,1339,False,91,3,1595,0.259591,3.12629,0,0.0136594,1548 1595 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,8.78295,10,171,383,9.594069:67.500000,1047,True,28,5,1046,0.860678,7.37026,0,0.0128476,1048 1047 1046 1045 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,7.51494,10,80,352,30.000000:337.500000,1350,False,235,2,1288,0,0.0175676,0,0.0175676,1446 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,7.88026,10,535,748,78.284149:45.000000,1766,True,13,5,1746,0.975357,7.03855,0,0.0125492,1767 1766 1746 1747 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,8.80735,10,399,382,9.594069:270.000000,1084,True,24,5,1084,0.92573,7.39004,0,0.0124433,1149 1084 1085 1151 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,6.87814,10,650,1105,9.594069:90.000000,1051,True,12,5,1051,0.967924,5.9182,0,0.0126562,1050 1050 1051 1052 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,7.87819,10,298,705,41.810314:11.250000,1468,True,13,5,1468,0.987239,7.27511,0,0.0126108,1521 1520 1468 1467 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,8.4835,10,104,360,19.471220:326.250000,1225,False,76,5,1158,0.438903,7.88022,0,0.0133366,1287 1159 1158 1157 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,6.61397,10,83,1205,54.340912:15.000000,1568,False,52,4,1685,0.552943,5.28526,0,0.0128396,1608 1650 1685 -1
GCP,adapt_p80-40593177313954_a112-49999999999999_222_map.h5,6.88573,10,534,1143,9.594069:112.500000,1055,False,11,5,1120,0.941819,5.82296,0,0.0130705,1054 1054 1120 1121 -1
GCP,adapt_p11-715852394892384_a45-0_473_map.h5,6.86641,10,544,1174,78.284149:45.000000,1766,True,12,4,1766,0.913545,4.67571,0,0.0123898,1746 1766 1767 -1
GCP,adapt_p70-52877936550931_a348-74999999999994_314_map.h5,6.66131,10,205,1098,19.471220:348.750000,1229,False,45,4,1099,0.632848,4.91191,0,0.0135092,1033 1100 1099 -1
GCP,adapt_p23-556464309101234_a202-5_295_map.h5,7.82884,10,254,724,66.443535:202.500000,1704,True,22,5,1704,0.916814,7.16759,0,0.0129486,1671 1705 1704 1732 -1
GCP,adapt_p48-18968510422141_a258-75_507_map.h5,6.82767,10,485,1168,41.810314:258.750000,1504,True,18,5,1451,0.703816,6.35434,0,0.0131474,1502 1502 1451 1504 -1
GCP,adapt_p80-40593177313954_a315-0_265_map.h5,5.80441,10,380,1443,9.594069:315.000000,1093,True,23,4,1093,0.826969,4.91703,0,0.0123874,1095 1094 1093 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_38_map.h5,6.85914,10,426,1106,9.594069:202.500000,1072,True,14,5,1072,0.885827,5.90546,0,0.0126615,1073 1073 1005 1072 -1
GCP,adapt_p60-00000000000001_a0-0_368_map.h5,6.85027,10,422,1084,30.000000:0.000000,1294,False,15,4,1411,0.738267,4.8852,0,0.0125473,1353 1411 1354 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_371_map.h5,8.88707,10,533,421,41.810314:123.750000,1484,True,10,6,1484,0.998809,8.22183,0,0.0127282,1536 1536 1535 1484 1485 -1
GCP,adapt_p60-00000000000001_a292-5_378_map.h5,6.77495,10,244,1098,30.000000:292.500000,1343,False,29,4,1402,0.742203,5.11845,0,0.0128581,1459 1402 1401 -1
