method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,7.72996,10,260,780,9.594069:247.500000,1080,False,29,5,1082,0.789627,7.35749,0,0.0128273,1084 1083 1015 1082 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,5.86022,10,442,1529,78.284149:315.000000,1778,False,16,4,1763,0.738085,4.73718,0,0.0125943,1761 1762 1763 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,4.55405,10,93,1872,30.000000:270.000000,1339,False,57,3,1595,0.371379,3.69381,0,0.0127872,1640 1595 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,8.77717,10,171,383,9.594069:67.500000,1047,True,28,5,1046,0.860678,7.37106,0,0.0136404,1048 1047 1046 1045 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,7.46303,10,80,352,30.000000:337.500000,1350,False,235,2,1288,0,0.0174954,0,0.0174954,1446 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,7.87927,10,535,748,78.284149:45.000000,1766,True,13,5,1746,0.975357,7.03854,0,0.012535,1767 1766 1746 1747 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,8.80232,10,399,382,9.594069:270.000000,1084,True,24,5,1084,0.92573,7.39008,0,0.0124859,1149 1084 1085 1151 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,7.86422,10,461,763,9.594069:90.000000,1051,True,13,5,1051,0.98148,7.28045,0,0.0125769,1117 1118 1052 1051 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,7.87522,10,298,705,41.810314:11.250000,1468,True,13,5,1468,0.987239,7.2751,0,0.0125964,1521 1520 1468 1467 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,8.46061,10,104,360,19.471220:326.250000,1225,False,76,5,1158,0.438903,7.88008,0,0.0131978,1287 1159 1158 1157 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,7.55684,10,56,831,54.340912:15.000000,1568,False,60,4,1716,0.517002,5.62084,0,0.0129468,1682 1716 1685 -1
GCP,adapt_p80-40593177313954_a112-49999999999999_222_map.h5,6.88469,10,534,1143,9.594069:112.500000,1055,False,11,5,1120,0.941819,5.82301,0,0.0131179,1054 1054 1120 1121 -1
GCP,adapt_p11-715852394892384_a45-0_473_map.h5,7.83909,10,321,807,78.284149:45.000000,1766,True,19,5,1766,0.943349,7.03863,0,0.0127121,1745 1746 1766 1767 -1
GCP,adapt_p70-52877936550931_a348-74999999999994_314_map.h5,6.65397,10,205,1098,19.471220:348.750000,1229,False,45,4,1099,0.632848,4.91124,0,0.0128454,1033 1100 1099 -1
