method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,19.129,10,561,262,30.000000:270.000000,1339,True,12,10,1339,0.999991,18.8466,0,0.0131823,1396 1396 1397 1398 1340 1339 1277 1338 1337 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,15.271,10,526,1667,19.471220:146.250000,1193,True,14,8,1193,0.998193,13.7622,0,0.0131338,1256 1256 1257 1194 1128 1193 1192 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,17.583,10,264,841,9.594069:247.500000,1080,True,32,9,1082,0.923576,16.8788,0,0.0131737,1014 1014 1082 1083 1015 1081 1080 1079 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,18.505,10,280,471,19.471220:78.750000,1181,True,17,9,1245,0.998584,17.6875,0,0.0128349,1246 1245 1308 1307 1244 1181 1182 1246 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,14.894,10,479,1901,78.284149:315.000000,1778,True,13,8,1762,0.999965,13.4039,0,0.012816,1779 1779 1778 1777 1761 1762 1763 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,19.617,10,723,101,41.810314:101.250000,1481,True,7,7,1428,0.999999,11.126,0,0.0127226,1481 1481 1427 1428 1482 1533 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,15.945,10,93,1290,30.000000:270.000000,1339,False,74,8,1595,0.844292,15.5645,0,0.0133684,1640 1638 1637 1595 1594 1549 1550 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,18.703,10,174,412,9.594069:67.500000,1047,True,28,9,1046,0.99221,17.6707,0,0.0130287,1111 1045 1112 1046 1047 1113 1114 1048 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,17.174,10,82,390,30.000000:337.500000,1350,False,251,6,1287,0.547022,17.064,0,0.0187257,1447 1286 1287 1288 1225 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,16.126,10,259,1469,30.000000:157.500000,1320,True,19,8,1320,0.993828,13.7771,0,0.0129702,1380 1380 1379 1378 1319 1320 1321 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,18.471,10,237,495,30.000000:180.000000,1324,True,20,9,1381,0.997071,16.4156,0,0.0129136,1324 1324 1382 1323 1322 1381 1438 1380 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,17.516,10,97,767,41.810314:168.750000,1491,False,54,9,1438,0.899207,16.2605,0,0.0138583,1324 1324 1382 1439 1381 1438 1437 1380 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,17.534,10,579,875,78.284149:45.000000,1766,True,11,9,1746,0.999997,16.0983,0,0.0127321,1747 1747 1748 1767 1782 1766 1746 1745 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,19.451,10,428,170,78.284149:45.000000,1766,True,10,10,1747,0.999999,18.3334,0,0.012911,1721 1721 1720 1746 1766 1767 1747 1748 1722 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,18.305,10,237,548,19.471220:168.750000,1197,True,19,9,1197,0.999891,16.3613,0,0.0133344,1133 1133 1199 1198 1132 1131 1197 1196 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,15.935,10,561,1431,9.594069:202.500000,1072,True,13,8,1071,0.999752,14.0152,0,0.0130786,1003 1003 1004 1072 1138 1071 1070 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,19.3,10,516,254,30.000000:22.500000,1298,True,8,8,1357,0.999999,13.7934,0,0.012677,1298 1298 1358 1357 1356 1297 1234 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,15.098,10,507,1723,30.000000:315.000000,1346,True,13,8,1405,0.999944,13.7681,0,0.0130034,1346 1346 1347 1348 1406 1405 1404 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,15.64,10,488,1571,54.340912:45.000000,1572,True,15,8,1572,0.999602,13.7312,0,0.0127396,1524 1524 1571 1572 1525 1473 1526 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,19.476,10,399,158,9.594069:270.000000,1084,True,16,10,1084,0.999966,19.1596,0,0.012995,1083 1083 1084 1085 1086 1151 1150 1215 1149 -1
GCP,adapt_p35-659087696138755_a105-0_477_map.h5,18.479,10,641,528,54.340912:105.000000,1579,True,11,9,1622,0.999991,16.6694,0,0.0131138,1661 1661 1662 1623 1660 1622 1579 1578 -1
GCP,adapt_p80-40593177313954_a224-99999999999997_341_map.h5,15.504,10,532,1640,9.594069:225.000000,1076,True,15,8,1141,0.999029,13.5628,0,0.0128038,1142 1142 1076 1075 1141 1140 1074 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,16.563,10,665,1221,9.594069:90.000000,1051,True,11,9,1051,0.999992,16.2381,0,0.0130409,1050 1050 983 1051 1117 1118 1052 984 -1
GCP,adapt_p35-659087696138755_a195-0_210_map.h5,15.838,10,646,1530,54.340912:195.000000,1590,True,10,8,1633,0.999959,14.3282,0,0.0129044,1670 1670 1591 1590 1632 1633 1671 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,17.115,10,370,1007,41.810314:11.250000,1468,True,10,9,1467,0.999994,16.6894,0,0.0127295,1413 1413 1412 1467 1414 1468 1520 1521 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,18.98,10,104,170,19.471220:326.250000,1225,True,82,9,1092,0.75797,18.2839,0,0.0142793,1225 1094 1093 1025 1092 1158 1157 1091 -1
GCP,adapt_p60-00000000000001_a112-49999999999999_477_map.h5,15.854,10,721,1399,30.000000:112.500000,1313,True,11,8,1313,0.999929,13.8928,0,0.0128107,1371 1371 1312 1372 1313 1250 1251 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,16.374,10,84,1274,54.340912:15.000000,1568,False,59,8,1650,0.854976,15.6564,0,0.013111,1683 1716 1717 1685 1649 1686 1650 -1
GCP,adapt_p60-00000000000001_a45-0_497_map.h5,15.359,10,285,1657,30.000000:45.000000,1301,False,17,8,1239,0.996716,13.811,0,0.012761,1174 1174 1175 1238 1302 1239 1176 -1
GCP,adapt_p80-40593177313954_a112-49999999999999_222_map.h5,15.523,10,687,1666,9.594069:112.500000,1055,True,10,8,1121,0.999993,14.0487,0,0.0128997,1054 1054 1055 1122 1187 1121 1120 -1
GCP,adapt_p80-40593177313954_a292-5_3_map.h5,17.81,10,477,735,9.594069:292.500000,1088,True,12,9,1088,0.99996,16.3676,0,0.0132077,1021 1021 1020 1087 1088 1154 1089 1155 -1
GCP,adapt_p11-715852394892384_a45-0_473_map.h5,16.143,10,594,1450,78.284149:45.000000,1766,True,11,9,1766,0.999838,15.8264,0,0.0135582,1767 1767 1747 1746 1766 1765 1782 1783 -1
GCP,adapt_p70-52877936550931_a348-74999999999994_314_map.h5,15.605,10,237,1494,19.471220:348.750000,1229,True,38,8,1229,0.930168,15.2258,0,0.0138641,1291 1228 1163 1164 1229 1165 1099 -1
GCP,adapt_p35-659087696138755_a285-0_99_map.h5,19.402,10,605,182,54.340912:285.000000,1601,True,8,8,1601,0.999999,13.6822,0,0.0128185,1642 1642 1643 1602 1601 1600 1641 -1
GCP,adapt_p23-556464309101234_a202-5_295_map.h5,17.029,10,306,1037,66.443535:202.500000,1704,True,20,9,1705,0.997865,16.1073,0,0.0129009,1706 1706 1672 1671 1705 1733 1732 1704 -1
GCP,adapt_p48-18968510422141_a258-75_507_map.h5,14.981,10,722,1853,41.810314:258.750000,1504,True,11,8,1503,0.998993,14.1806,0,0.0128194,1553 1553 1502 1552 1503 1451 1504 -1
GCP,adapt_p80-40593177313954_a315-0_265_map.h5,15.5,10,389,1556,9.594069:315.000000,1093,True,20,8,1093,0.994534,13.8064,0,0.012706,1026 1026 1094 1159 1093 1092 1158 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_519_map.h5,15.689,10,344,1545,41.810314:168.750000,1491,True,20,8,1491,0.994369,13.5284,0,0.0134434,1542 1542 1491 1438 1437 1490 1541 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_38_map.h5,15.777,10,501,1463,9.594069:202.500000,1072,True,14,8,1072,0.997816,14.0955,0,0.0131665,1138 1138 1071 1004 1072 1005 1073 -1
GCP,adapt_p48-18968510422141_a258-75_599_map.h5,16.429,10,393,1263,41.810314:258.750000,1504,True,22,9,1451,0.991671,16.2805,0,0.0134993,1504 1504 1452 1451 1503 1450 1502 1449 -1
GCP,adapt_p23-556464309101234_a112-5_421_map.h5,16.838,10,277,1056,66.443535:112.500000,1697,False,27,9,1661,0.965844,16.6028,0,0.013774,1621 1621 1622 1660 1623 1662 1661 1696 -1
GCP,adapt_p60-00000000000001_a0-0_368_map.h5,18.497,10,422,459,30.000000:0.000000,1294,True,14,9,1411,0.999978,16.3701,0,0.0132214,1353 1353 1410 1411 1294 1295 1354 1412 -1
GCP,adapt_p48-18968510422141_a33-75_457_map.h5,18.416,10,334,577,41.810314:33.750000,1471,True,12,9,1417,0.999714,16.2339,0,0.0127783,1358 1358 1416 1417 1471 1472 1418 1359 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_311_map.h5,18.918,10,531,338,9.594069:247.500000,1080,True,11,9,1080,0.999992,16.9621,0,0.0128255,1146 1146 1081 1147 1013 1080 1012 1079 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_371_map.h5,18.816,10,546,450,41.810314:123.750000,1484,True,10,10,1484,0.999998,18.7534,0,0.01334,1536 1536 1535 1484 1485 1432 1431 1430 1483 -1
GCP,adapt_p60-00000000000001_a292-5_378_map.h5,16.301,10,248,1268,30.000000:292.500000,1343,False,31,8,1402,0.980326,15.3431,0,0.0133253,1510 1458 1457 1401 1344 1402 1459 -1
GCP,adapt_p48-18968510422141_a78-75_491_map.h5,19.27,10,495,227,41.810314:78.750000,1478,True,8,8,1424,0.999999,13.7746,0,0.0128675,1478 1478 1425 1424 1423 1477 1529 -1
GCP,adapt_p70-52877936550931_a101-24999999999999_126_map.h5,18.816,10,492,421,19.471220:101.250000,1185,True,12,10,1185,0.999767,18.5695,0,0.012888,1119 1119 1185 1184 1247 1248 1249 1186 1120 -1
GCP,adapt_p80-40593177313954_a180-0_148_map.h5,17.59,10,637,782,9.594069:180.000000,1067,True,8,8,1133,0.999999,13.6506,0,0.0128572,1067 1067 1068 1134 1133 1132 1066 -1
GCP,adapt_p60-00000000000001_a247-49999999999997_411_map.h5,18.151,10,127,594,30.000000:247.500000,1335,True,39,9,1335,0.963764,17.7171,0,0.0133835,1449 1393 1394 1336 1274 1335 1334 1273 -1
GCP,adapt_p60-00000000000001_a67-5_588_map.h5,19.065,10,532,333,30.000000:67.500000,1305,True,8,8,1306,0.999999,15.0767,0,0.0127916,1305 1306 1307 1366 1365 1364 1305 -1
GCP,adapt_p80-40593177313954_a45-0_362_map.h5,16.318,10,282,1271,9.594069:45.000000,1042,True,24,8,1042,0.979122,15.7184,0,0.0136068,1044 1043 975 1109 1108 1042 1041 -1
GCP,adapt_p23-556464309101234_a337-5_335_map.h5,18.828,10,257,381,66.443535:337.500000,1716,True,20,10,1716,0.997018,18.5373,0,0.0128476,1683 1683 1715 1741 1742 1717 1716 1684 1685 -1
GCP,adapt_p80-40593177313954_a90-0_365_map.h5,17.585,10,225,925,9.594069:90.000000,1051,True,15,9,1050,0.998624,16.771,0,0.0128839,1116 1116 1051 1052 1118 1117 1050 1049 -1
GCP,adapt_p70-52877936550931_a281-24999999999994_494_map.h5,17.225,10,523,1001,19.471220:281.250000,1217,True,15,9,1217,0.99987,17.0702,0,0.0131358,1280 1280 1216 1278 1279 1217 1152 1218 -1
GCP,adapt_p60-00000000000001_a0-0_104_map.h5,16.434,10,140,1132,30.000000:0.000000,1294,False,64,8,1415,0.73342,15.4809,0,0.0135011,1296 1356 1414 1357 1415 1469 1521 -1
GCP,adapt_p35-659087696138755_a315-0_146_map.h5,19.259,10,330,261,54.340912:315.000000,1605,True,16,10,1645,0.99997,18.7821,0,0.0128418,1681 1681 1644 1603 1645 1604 1605 1646 1682 -1
GCP,adapt_p35-659087696138755_a285-0_144_map.h5,15.739,10,196,1197,54.340912:285.000000,1601,True,155,8,1557,0.684125,15.6527,0,0.0151232,1762 1762 1602 1558 1508 1557 1601 -1
GCP,adapt_p48-18968510422141_a78-75_474_map.h5,14.834,10,371,1869,41.810314:78.750000,1478,True,19,8,1478,0.992188,13.7894,0,0.0128608,1476 1476 1423 1477 1478 1424 1425 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_597_map.h5,16.679,10,379,1170,41.810314:168.750000,1491,True,16,9,1491,0.999325,16.2218,0,0.0133046,1437 1437 1438 1439 1492 1542 1491 1490 -1
GCP,adapt_p11-715852394892384_a135-0_375_map.h5,16.829,10,791,1117,78.284149:135.000000,1770,True,7,7,1752,0.999999,12.3569,0,0.0138374,1771 1753 1752 1771 1770 1751 -1
GCP,adapt_p35-659087696138755_a75-0_363_map.h5,16.854,10,208,1084,54.340912:75.000000,1576,False,38,9,1621,0.965779,16.2271,0,0.0131934,1624 1624 1623 1622 1579 1578 1621 1577 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_190_map.h5,18.833,10,735,388,41.810314:123.750000,1484,True,7,7,1484,0.999999,11.2747,0,0.0127621,1431 1431 1485 1484 1483 1430 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_498_map.h5,15.593,10,388,1540,41.810314:123.750000,1484,True,16,8,1430,0.998389,13.7997,0,0.0127535,1485 1485 1431 1430 1484 1483 1429 -1
GCP,adapt_p11-715852394892384_a45-0_415_map.h5,17.566,10,240,818,78.284149:45.000000,1766,True,23,9,1746,0.996024,16.1023,0,0.013067,1744 1744 1745 1765 1766 1767 1746 1747 -1
