method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,39.129,10,561,262,30.000000:270.000000,1339,True,12,12,1339,0.999998,23.6725,0,0.0128627,1396 1396 1397 1398 1340 1339 1278 1277 1338 1337 1395 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,35.271,10,526,1667,19.471220:146.250000,1193,True,14,14,1193,0.999999,28.7907,0,0.0135398,1256 1256 1255 1192 1126 1127 1128 1193 1194 1257 1258 1195 1129 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,37.583,10,264,841,9.594069:247.500000,1080,True,32,17,1082,0.996971,37.3492,0,0.0135704,1014 1014 1083 1084 1016 1015 1082 1148 1147 1081 1013 1012 1080 1146 1079 1078 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,38.505,10,280,471,19.471220:78.750000,1181,True,17,17,1245,0.999998,36.5905,0,0.0127924,1246 1246 1183 1117 1182 1116 1115 1181 1114 1180 1243 1244 1307 1245 1308 1309 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,34.894,10,479,1901,78.284149:315.000000,1778,True,13,13,1762,0.999998,25.6488,0,0.0128798,1779 1779 1763 1762 1740 1739 1761 1760 1777 1778 1790 1791 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,39.617,10,723,101,41.810314:101.250000,1481,True,7,7,1428,0.999999,11.126,0,0.0126562,1481 1481 1427 1428 1482 1533 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,35.945,10,93,1290,30.000000:270.000000,1339,False,74,16,1595,0.984697,35.4741,0,0.0134987,1640 1639 1638 1596 1595 1550 1499 1549 1594 1593 1636 1673 1637 1674 1675 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,38.703,10,174,412,9.594069:67.500000,1047,True,28,17,1046,0.999904,36.6038,0,0.0130468,1111 1111 1044 977 1045 978 979 1046 1112 1113 1047 980 1048 1114 1115 1049 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,37.174,10,82,390,30.000000:337.500000,1350,False,251,14,1287,0.846985,36.8349,0,0.0195267,1447 1285 1286 1223 1224 1159 1160 1225 1287 1288 1289 1226 1161 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,36.126,10,259,1469,30.000000:157.500000,1320,True,19,16,1320,0.999992,34.0427,0,0.0129324,1380 1380 1381 1322 1259 1321 1320 1258 1257 1319 1377 1378 1379 1436 1437 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,38.471,10,237,495,30.000000:180.000000,1324,True,20,17,1381,0.999996,36.4551,0,0.0134041,1324 1324 1262 1261 1323 1381 1322 1260 1321 1380 1437 1438 1439 1382 1383 1325 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,37.516,10,97,767,41.810314:168.750000,1491,True,54,17,1438,0.991522,36.4049,0,0.0131476,1324 1324 1382 1383 1440 1493 1492 1439 1381 1438 1491 1490 1437 1380 1436 1379 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,37.534,10,579,875,78.284149:45.000000,1766,True,11,11,1746,0.999998,21.3264,0,0.0125989,1747 1747 1748 1767 1782 1766 1746 1720 1745 1765 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,39.451,10,428,170,78.284149:45.000000,1766,True,10,10,1747,0.999999,18.3334,0,0.0127069,1721 1721 1720 1746 1766 1767 1747 1748 1722 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,38.305,10,237,548,19.471220:168.750000,1197,True,19,17,1197,0.999997,37.5257,0,0.01314,1133 1133 1067 1134 1200 1199 1261 1198 1132 1066 1065 1197 1131 1130 1196 1260 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,35.935,10,561,1431,9.594069:202.500000,1072,True,13,13,1071,0.999999,26.4124,0,0.0127006,1003 1003 1002 1070 1071 1137 1138 1139 1073 1005 1072 1004 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,39.3,10,516,254,30.000000:22.500000,1298,True,8,8,1357,0.999999,13.7934,0,0.0128363,1298 1298 1358 1357 1356 1297 1234 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,35.098,10,507,1723,30.000000:315.000000,1346,True,13,13,1405,0.999998,26.8889,0,0.0128471,1346 1346 1286 1347 1348 1349 1406 1461 1405 1404 1460 1403 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,35.64,10,488,1571,54.340912:45.000000,1572,True,15,15,1572,0.999999,31.5048,0,0.0131451,1524 1524 1472 1473 1525 1571 1523 1570 1615 1616 1572 1573 1526 1474 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,39.476,10,399,158,9.594069:270.000000,1084,True,16,16,1084,0.999998,34.2641,0,0.0129999,1083 1083 1082 1149 1214 1215 1150 1084 1016 1017 1085 1151 1216 1152 1086 -1
GCP,adapt_p35-659087696138755_a105-0_477_map.h5,38.479,10,641,528,54.340912:105.000000,1579,True,11,11,1622,0.999998,22.0872,0,0.0128672,1661 1661 1662 1580 1623 1660 1622 1579 1578 1621 -1
GCP,adapt_p80-40593177313954_a224-99999999999997_341_map.h5,35.504,10,532,1640,9.594069:225.000000,1076,True,15,15,1141,0.999998,32.4471,0,0.0129531,1142 1142 1206 1269 1207 1141 1205 1139 1140 1074 1075 1076 1077 1143 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,36.563,10,665,1221,9.594069:90.000000,1051,True,11,11,1051,0.999998,22.1687,0,0.0129272,1050 1050 983 1051 1116 1117 1118 1053 1052 984 -1
GCP,adapt_p35-659087696138755_a195-0_210_map.h5,35.838,10,646,1530,54.340912:195.000000,1590,True,10,10,1633,0.999998,19.4622,0,0.0128342,1670 1670 1669 1591 1590 1632 1633 1634 1671 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,37.115,10,370,1007,41.810314:11.250000,1468,True,10,10,1467,0.999998,19.1781,0,0.0126588,1413 1413 1412 1467 1414 1468 1520 1521 1469 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,38.98,10,104,170,19.471220:326.250000,1225,True,82,17,1092,0.957652,38.344,0,0.0137101,1225 1160 1094 1026 1025 1024 1091 1157 1222 1223 1158 1092 1093 1159 1286 1287 -1
GCP,adapt_p60-00000000000001_a112-49999999999999_477_map.h5,35.854,10,721,1399,30.000000:112.500000,1313,True,11,11,1313,0.999999,21.8697,0,0.0128339,1371 1371 1312 1372 1313 1249 1250 1251 1314 1373 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,36.374,10,84,1274,54.340912:15.000000,1568,False,59,17,1650,0.990314,36.3414,0,0.0136905,1683 1683 1648 1684 1716 1742 1743 1717 1686 1611 1610 1609 1650 1685 1649 1608 -1
GCP,adapt_p60-00000000000001_a45-0_497_map.h5,35.359,10,285,1657,30.000000:45.000000,1301,True,17,16,1239,0.999999,34.3226,0,0.0129506,1174 1174 1237 1300 1238 1301 1302 1239 1175 1108 1109 1176 1177 1240 1303 -1
GCP,adapt_p80-40593177313954_a112-49999999999999_222_map.h5,35.523,10,687,1666,9.594069:112.500000,1055,True,10,10,1121,0.999999,19.0468,0,0.0129059,1054 1054 1055 1056 1122 1187 1121 1120 1053 -1
GCP,adapt_p80-40593177313954_a292-5_3_map.h5,37.81,10,477,735,9.594069:292.500000,1088,True,12,12,1088,0.999999,24.0826,0,0.0129215,1021 1021 1020 1087 1153 1088 1154 1089 1155 1090 1022 -1
GCP,adapt_p11-715852394892384_a45-0_473_map.h5,36.143,10,594,1450,78.284149:45.000000,1766,True,11,11,1766,0.999999,21.2497,0,0.0127461,1767 1767 1746 1747 1766 1745 1765 1781 1782 1783 -1
GCP,adapt_p70-52877936550931_a348-74999999999994_314_map.h5,35.605,10,237,1494,19.471220:348.750000,1229,True,38,15,1229,0.997476,33.1791,0,0.013538,1291 1292 1230 1165 1166 1100 1099 1098 1164 1163 1227 1228 1229 1291 -1
GCP,adapt_p35-659087696138755_a285-0_99_map.h5,39.402,10,605,182,54.340912:285.000000,1601,True,8,8,1601,0.999999,13.6822,0,0.0130387,1642 1642 1643 1602 1601 1600 1641 -1
GCP,adapt_p23-556464309101234_a202-5_295_map.h5,37.029,10,306,1037,66.443535:202.500000,1704,True,20,17,1705,0.999998,36.8347,0,0.0130271,1706 1706 1707 1734 1733 1705 1673 1672 1634 1671 1670 1704 1732 1756 1731 1703 -1
GCP,adapt_p48-18968510422141_a258-75_507_map.h5,34.981,10,722,1853,41.810314:258.750000,1504,True,11,11,1503,0.999999,21.7223,0,0.0130223,1553 1553 1502 1552 1503 1450 1451 1452 1504 1554 -1
GCP,adapt_p80-40593177313954_a315-0_265_map.h5,35.5,10,389,1556,9.594069:315.000000,1093,True,20,16,1093,0.999995,35.2592,0,0.0132734,1026 1026 1095 1096 1027 1094 1160 1159 1093 1025 1092 1158 1223 1157 1091 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_519_map.h5,35.689,10,344,1545,41.810314:168.750000,1491,True,20,16,1491,0.999996,34.0265,0,0.01408,1542 1542 1541 1490 1540 1489 1436 1437 1380 1381 1438 1491 1543 1492 1439 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_38_map.h5,35.777,10,501,1463,9.594069:202.500000,1072,True,14,14,1072,0.999999,29.6743,0,0.0136889,1138 1138 1071 1070 1136 1137 1072 1139 1073 1074 1006 1005 1004 -1
