method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,42.873,10,561,341,30.000000:270.000000,1339,True,12,12,1339,0.999998,24.1554,0,0.0128297,1396 1396 1397 1398 1340 1278 1339 1338 1277 1337 1395 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,39.84,10,503,1447,19.471220:146.250000,1193,True,14,14,1193,0.999999,29.5002,0,0.0132823,1128 1128 1127 1194 1129 1195 1258 1257 1256 1193 1126 1192 1255 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,41.723,10,260,780,9.594069:247.500000,1080,True,29,18,1082,0.999264,39.5652,0,0.0131711,1084 1084 1016 1149 1083 1015 1014 1082 1148 1147 1081 1013 1080 1012 1079 1011 1078 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,41.842,10,280,715,19.471220:78.750000,1181,True,17,17,1245,0.999998,36.5304,0,0.0136099,1307 1307 1308 1309 1246 1183 1182 1245 1244 1306 1243 1180 1114 1181 1115 1116 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,38.855,10,479,1911,78.284149:315.000000,1778,True,13,13,1762,0.999998,25.6488,0,0.0128842,1779 1779 1763 1762 1740 1739 1761 1760 1777 1778 1790 1791 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,42.87,10,723,400,41.810314:101.250000,1481,True,8,8,1428,0.999999,14.1907,0,0.0126908,1481 1481 1427 1428 1533 1482 1429 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,40.228,10,86,1093,30.000000:270.000000,1339,False,110,17,1595,0.978161,40.1143,0,0.0142257,1501 1551 1550 1549 1594 1593 1636 1673 1674 1637 1595 1596 1638 1639 1597 1340 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,42.761,10,171,383,9.594069:67.500000,1047,True,28,19,1046,0.999977,42.5356,0,0.0133882,1048 1048 1114 1115 1049 979 980 1047 1113 1112 1046 978 977 1044 1110 1177 1111 1045 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,41.341,10,80,352,30.000000:337.500000,1350,True,235,16,1288,0.896094,41.2775,0,0.0188192,1446 1446 1286 1287 1224 1225 1288 1349 1350 1289 1226 1161 1162 1227 1290 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,39.808,10,259,1590,30.000000:157.500000,1320,True,21,18,1320,0.999999,39.5835,0,0.0132734,1378 1378 1435 1377 1257 1319 1258 1320 1379 1436 1437 1380 1321 1259 1260 1322 1381 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,40.78,10,237,1156,30.000000:180.000000,1324,True,27,18,1324,0.99999,39.269,0,0.0133182,1383 1383 1324 1262 1263 1325 1440 1439 1382 1323 1261 1260 1322 1381 1438 1380 1321 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,41.6,10,96,730,41.810314:168.750000,1491,True,55,19,1438,0.996092,41.4662,0,0.0138481,1324 1324 1323 1382 1383 1440 1441 1493 1492 1439 1381 1438 1491 1490 1437 1380 1379 1436 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,40.872,10,579,1123,78.284149:45.000000,1766,True,13,13,1746,0.999998,26.0704,0,0.0129553,1767 1767 1748 1747 1721 1720 1746 1766 1783 1782 1765 1745 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,42.878,10,428,395,78.284149:45.000000,1766,True,12,12,1747,0.999999,23.7192,0,0.0130247,1722 1722 1692 1721 1691 1720 1746 1747 1748 1767 1766 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,41.822,10,237,708,19.471220:168.750000,1197,True,21,18,1197,0.999997,39.6124,0,0.0129955,1199 1199 1200 1134 1133 1132 1066 1067 1198 1261 1260 1197 1131 1065 1130 1196 1195 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,39.866,10,561,1461,9.594069:202.500000,1072,True,13,13,1071,0.999999,26.4124,0,0.0131557,1003 1003 1002 1070 1071 1137 1138 1139 1073 1005 1072 1004 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,42.884,10,516,395,30.000000:22.500000,1298,True,10,10,1357,0.999999,19.3495,0,0.0131871,1358 1358 1299 1235 1234 1357 1298 1297 1356 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,38.85,10,507,1805,30.000000:315.000000,1346,True,13,13,1347,0.999999,26.3864,0,0.0131266,1404 1404 1403 1345 1346 1286 1347 1348 1406 1405 1461 1460 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,39.85,10,481,1503,54.340912:45.000000,1572,True,14,14,1525,0.999999,29.9243,0,0.0129385,1473 1474 1526 1573 1525 1572 1616 1615 1571 1524 1472 1473 1419 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,42.778,10,399,382,9.594069:270.000000,1084,True,24,19,1084,0.999995,42.3177,0,0.0129152,1149 1149 1214 1278 1215 1150 1084 1015 1082 1083 1016 1017 1018 1086 1152 1216 1151 1085 -1
GCP,adapt_p35-659087696138755_a105-0_477_map.h5,41.878,10,641,760,54.340912:105.000000,1579,True,10,10,1623,0.999999,19.3476,0,0.0129409,1579 1579 1622 1580 1623 1660 1661 1662 1624 -1
GCP,adapt_p80-40593177313954_a224-99999999999997_341_map.h5,38.805,10,532,1912,9.594069:225.000000,1076,True,17,17,1141,0.999998,37.1885,0,0.0135638,1076 1076 1075 1074 1140 1139 1205 1269 1270 1206 1141 1207 1142 1208 1143 1077 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,39.861,10,665,1509,9.594069:90.000000,1051,True,10,10,1051,0.999998,18.7279,0,0.0127959,1052 1052 1118 1117 1051 984 983 1050 1116 -1
GCP,adapt_p35-659087696138755_a195-0_210_map.h5,39.858,10,646,1513,54.340912:195.000000,1590,True,10,10,1633,0.999998,19.4622,0,0.0129471,1670 1670 1669 1591 1590 1632 1633 1634 1671 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,40.847,10,370,1087,41.810314:11.250000,1468,True,10,10,1467,0.999998,19.1781,0,0.0128236,1413 1413 1412 1467 1414 1468 1520 1521 1469 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,42.478,10,104,360,19.471220:326.250000,1225,False,76,19,1158,0.976654,41.9926,0,0.013725,1287 1287 1224 1223 1158 1285 1222 1221 1156 1157 1091 1092 1093 1159 1160 1094 1095 1161 -1
GCP,adapt_p60-00000000000001_a112-49999999999999_477_map.h5,39.864,10,719,1390,30.000000:112.500000,1313,True,11,11,1313,0.999999,21.8697,0,0.0129018,1371 1371 1312 1372 1313 1249 1250 1251 1314 1373 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,41.572,10,56,831,54.340912:15.000000,1568,False,60,18,1716,0.995056,40.5968,0,0.0134826,1682 1714 1683 1684 1715 1741 1716 1742 1743 1687 1717 1685 1649 1650 1686 1611 1610 -1
GCP,adapt_p60-00000000000001_a45-0_497_map.h5,39.79,10,274,1475,30.000000:45.000000,1301,True,18,18,1239,0.999999,39.3106,0,0.0128592,1174 1174 1173 1237 1300 1238 1301 1302 1303 1240 1177 1110 1176 1239 1175 1109 1108 -1
GCP,adapt_p80-40593177313954_a112-49999999999999_222_map.h5,38.876,10,687,1926,9.594069:112.500000,1055,True,10,10,1120,0.999999,19.0468,0,0.0128362,1054 1054 1055 1056 1122 1187 1121 1120 1053 -1
GCP,adapt_p80-40593177313954_a292-5_3_map.h5,41.876,10,474,711,9.594069:292.500000,1088,True,12,12,1088,0.999999,24.0826,0,0.0128111,1021 1021 1020 1087 1153 1088 1154 1089 1155 1090 1022 -1
GCP,adapt_p11-715852394892384_a45-0_473_map.h5,39.867,10,594,1535,78.284149:45.000000,1766,True,12,12,1766,0.999999,23.2833,0,0.0130028,1767 1767 1748 1747 1746 1745 1766 1765 1781 1782 1783 -1
GCP,adapt_p70-52877936550931_a348-74999999999994_314_map.h5,40.633,10,205,1098,19.471220:348.750000,1229,True,45,18,1099,0.996398,39.6767,0,0.0130714,1033 1033 1034 1100 1166 1167 1230 1165 1099 1032 1031 1098 1164 1229 1292 1228 1163 -1
GCP,adapt_p35-659087696138755_a285-0_99_map.h5,42.89,10,605,351,54.340912:285.000000,1601,True,8,8,1601,0.999999,13.6822,0,0.0130755,1642 1642 1643 1602 1601 1600 1641 -1
GCP,adapt_p23-556464309101234_a202-5_295_map.h5,40.82,10,306,1099,66.443535:202.500000,1704,True,22,18,1705,0.999997,39.3701,0,0.0129479,1706 1706 1734 1707 1673 1672 1705 1671 1634 1670 1704 1733 1757 1756 1732 1731 1703 -1
GCP,adapt_p48-18968510422141_a258-75_507_map.h5,38.849,10,722,1899,41.810314:258.750000,1504,True,11,11,1503,0.999999,21.7223,0,0.0128755,1553 1553 1502 1552 1503 1450 1451 1452 1504 1554 -1
GCP,adapt_p80-40593177313954_a315-0_265_map.h5,39.79,10,380,1443,9.594069:315.000000,1093,True,23,18,1093,0.999996,39.3304,0,0.0129439,1095 1095 1096 1161 1160 1094 1027 1026 1025 1092 1093 1159 1223 1158 1222 1157 1091 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_519_map.h5,39.815,10,344,1491,41.810314:168.750000,1491,True,19,18,1491,0.999999,38.7008,0,0.0129757,1541 1541 1540 1489 1436 1379 1380 1437 1490 1491 1438 1381 1439 1492 1543 1542 1587 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_38_map.h5,39.848,10,498,1440,9.594069:202.500000,1072,True,15,15,1072,0.999999,31.7121,0,0.0132438,1138 1138 1139 1073 1072 1137 1136 1070 1003 1071 1004 1005 1006 1074 -1
GCP,adapt_p48-18968510422141_a258-75_599_map.h5,40.771,10,377,1114,41.810314:258.750000,1504,True,23,18,1451,0.999995,39.1399,0,0.0130437,1449 1449 1448 1501 1502 1450 1393 1394 1451 1395 1396 1453 1452 1504 1503 1553 1552 -1
GCP,adapt_p23-556464309101234_a112-5_421_map.h5,40.771,10,277,1085,66.443535:112.500000,1697,True,26,18,1661,0.99992,39.4345,0,0.0130325,1621 1621 1661 1623 1622 1578 1577 1620 1659 1660 1695 1725 1696 1697 1662 1624 1663 -1
GCP,adapt_p60-00000000000001_a0-0_368_map.h5,41.851,10,422,713,30.000000:0.000000,1294,True,14,14,1294,0.999999,29.5311,0,0.0128401,1295 1295 1355 1354 1294 1231 1293 1411 1353 1410 1466 1412 1413 -1
GCP,adapt_p48-18968510422141_a33-75_457_map.h5,41.871,10,334,752,41.810314:33.750000,1471,True,12,12,1416,0.999999,23.6651,0,0.0132003,1358 1358 1359 1417 1418 1472 1471 1470 1416 1415 1357 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_311_map.h5,42.87,10,531,342,9.594069:247.500000,1080,True,11,11,1080,0.999998,22.0245,0,0.0127591,1146 1146 1081 1147 1082 1013 1080 1012 1079 1145 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_371_map.h5,42.888,10,533,421,41.810314:123.750000,1484,True,10,10,1484,0.999998,19.021,0,0.0132626,1536 1536 1485 1535 1484 1430 1431 1432 1486 -1
GCP,adapt_p60-00000000000001_a292-5_378_map.h5,40.778,10,244,1098,30.000000:292.500000,1343,True,29,18,1402,0.999975,39.8009,0,0.0131574,1459 1459 1345 1344 1402 1403 1511 1560 1510 1458 1509 1457 1401 1343 1342 1400 1456 -1
GCP,adapt_p48-18968510422141_a78-75_491_map.h5,42.898,10,495,389,41.810314:78.750000,1478,True,7,7,1424,0.999999,12.7161,0,0.0134821,1423 1424 1425 1478 1477 1423 -1
GCP,adapt_p70-52877936550931_a101-24999999999999_126_map.h5,42.862,10,482,383,19.471220:101.250000,1185,True,12,12,1185,0.999998,25.3142,0,0.0129217,1248 1247 1183 1184 1118 1119 1120 1186 1185 1248 1249 -1
GCP,adapt_p80-40593177313954_a180-0_148_map.h5,41.886,10,596,659,9.594069:180.000000,1067,True,9,9,1133,0.999997,16.5403,0,0.0133077,1132 1132 1133 1134 1068 1067 1066 1131 -1
GCP,adapt_p60-00000000000001_a247-49999999999997_411_map.h5,41.723,10,127,768,30.000000:247.500000,1335,True,34,19,1274,0.999758,41.323,0,0.0138251,1210 1210 1209 1272 1273 1274 1211 1212 1275 1337 1336 1394 1450 1449 1393 1335 1334 1392 -1
GCP,adapt_p60-00000000000001_a67-5_588_map.h5,42.889,10,532,407,30.000000:67.500000,1305,True,8,8,1305,0.999999,13.6303,0,0.0133989,1306 1306 1307 1366 1365 1364 1305 -1
GCP,adapt_p80-40593177313954_a45-0_362_map.h5,40.82,10,269,1115,9.594069:45.000000,1042,True,24,18,1042,0.999988,39.3867,0,0.013152,1044 1044 1045 977 976 975 974 973 1040 1107 1041 1042 1108 1175 1109 1043 1110 -1
GCP,adapt_p23-556464309101234_a337-5_335_map.h5,42.82,10,257,385,66.443535:337.500000,1716,True,20,19,1716,0.999997,41.229,0,0.01315,1683 1683 1647 1648 1684 1715 1682 1714 1740 1741 1763 1764 1743 1742 1716 1717 1685 1649 -1
GCP,adapt_p80-40593177313954_a90-0_365_map.h5,40.819,10,225,1228,9.594069:90.000000,1051,True,19,18,1050,0.999998,40.0801,0,0.0130766,1118 1118 1184 1183 1117 1119 1052 984 983 1051 1116 1050 982 981 1048 1049 1115 -1
GCP,adapt_p70-52877936550931_a281-24999999999994_494_map.h5,39.839,10,523,1571,19.471220:281.250000,1217,True,15,15,1217,0.999999,33.2319,0,0.0127677,1280 1217 1152 1153 1218 1151 1216 1215 1278 1279 1340 1341 1280 1281 -1
GCP,adapt_p60-00000000000001_a0-0_104_map.h5,41.665,10,101,729,30.000000:0.000000,1294,False,50,19,1469,0.999022,41.5075,0,0.0133101,1569 1569 1568 1521 1520 1467 1413 1468 1414 1356 1357 1415 1469 1522 1470 1416 1471 1523 -1
GCP,adapt_p35-659087696138755_a315-0_146_map.h5,42.843,10,330,414,54.340912:315.000000,1605,True,19,19,1646,0.999999,41.9768,0,0.0132631,1682 1682 1683 1648 1607 1647 1606 1646 1605 1562 1512 1561 1560 1604 1645 1681 1644 1603 -1
GCP,adapt_p35-659087696138755_a285-0_144_map.h5,39.916,10,192,1135,54.340912:285.000000,1601,True,157,17,1602,0.946627,39.1825,0,0.0153806,1741 1713 1681 1680 1644 1643 1603 1509 1558 1602 1601 1557 1508 1456 1507 1556 -1
GCP,adapt_p48-18968510422141_a78-75_474_map.h5,39.786,10,336,1508,41.810314:78.750000,1478,True,23,18,1424,0.999982,39.1254,0,0.013135,1479 1479 1530 1529 1478 1425 1367 1366 1424 1477 1423 1365 1422 1476 1528 1527 1475 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_597_map.h5,40.864,10,370,1100,41.810314:168.750000,1491,True,15,15,1491,0.999999,31.2808,0,0.0135382,1439 1439 1440 1493 1492 1543 1542 1541 1490 1437 1491 1438 1381 1382 -1
GCP,adapt_p11-715852394892384_a135-0_375_map.h5,40.89,10,789,1101,78.284149:135.000000,1770,True,7,7,1752,0.999999,12.3569,0,0.0126619,1771 1753 1752 1771 1770 1751 -1
GCP,adapt_p35-659087696138755_a75-0_363_map.h5,40.659,10,208,1168,54.340912:75.000000,1576,True,40,18,1578,0.998323,39.0262,0,0.0131205,1661 1661 1660 1622 1621 1620 1619 1575 1576 1577 1531 1532 1578 1579 1623 1580 1624 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_190_map.h5,42.898,10,726,370,41.810314:123.750000,1484,True,7,7,1484,0.999999,11.2747,0,0.0130066,1431 1431 1485 1484 1483 1430 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_498_map.h5,39.837,10,381,1448,41.810314:123.750000,1484,True,17,17,1431,0.999999,37.3579,0,0.0135337,1483 1483 1482 1429 1430 1484 1534 1535 1536 1485 1486 1432 1431 1372 1373 1374 -1
GCP,adapt_p11-715852394892384_a45-0_415_map.h5,41.82,10,236,717,78.284149:45.000000,1766,True,22,19,1746,0.999997,40.9543,0,0.0133235,1744 1744 1766 1767 1783 1782 1781 1780 1765 1745 1718 1719 1720 1746 1747 1721 1722 1748 -1
GCP,adapt_p11-715852394892384_a135-0_306_map.h5,42.73,10,139,311,78.284149:135.000000,1770,True,40,20,1786,0.999747,42.3255,0,0.0133127,1787 1787 1786 1795 1794 1793 1784 1785 1770 1769 1751 1752 1728 1753 1771 1772 1754 1755 1773 -1
GCP,adapt_p48-18968510422141_a191-25_203_map.h5,39.876,10,810,1499,41.810314:191.250000,1494,True,12,12,1441,0.999999,23.7535,0,0.0131843,1440 1440 1441 1442 1495 1545 1494 1544 1493 1492 1439 -1
GCP,adapt_p60-00000000000001_a202-49999999999997_218_map.h5,39.847,10,804,1497,30.000000:202.500000,1328,True,13,13,1328,0.999998,26.8801,0,0.0127471,1266 1266 1265 1327 1385 1386 1387 1388 1330 1328 1329 1267 -1
GCP,adapt_p11-715852394892384_a135-0_384_map.h5,42.903,10,654,369,78.284149:135.000000,1770,True,8,8,1770,0.999999,15.0701,0,0.0127327,1752 1751 1769 1770 1785 1771 1752 -1
GCP,adapt_p48-18968510422141_a11-25_371_map.h5,39.855,10,555,1589,41.810314:11.250000,1468,True,10,10,1414,0.999998,19.1536,0,0.0125656,1356 1356 1355 1413 1468 1414 1357 1415 1469 -1
