method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,87.873,10,561,341,30.000000:270.000000,1339,True,12,12,1339,0.999998,24.1554,0,0.0128158,1396 1396 1397 1398 1340 1278 1339 1338 1277 1337 1395 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,84.84,10,503,1447,19.471220:146.250000,1193,True,14,14,1193,0.999999,29.5002,0,0.0126798,1128 1128 1127 1194 1129 1195 1258 1257 1256 1193 1126 1192 1255 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,86.723,10,260,780,9.594069:247.500000,1080,True,29,29,1082,0.999998,68.8578,0,0.0136476,1084 1084 1150 1085 1017 1014 947 948 1015 1016 1083 1149 1148 1082 1147 1146 1081 1013 946 945 1080 1012 1079 1011 1010 1078 1144 1145 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,86.842,10,280,715,19.471220:78.750000,1181,True,17,17,1245,0.999998,36.5304,0,0.0136028,1307 1307 1308 1309 1246 1183 1182 1245 1244 1306 1243 1180 1114 1181 1115 1116 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,83.855,10,479,1911,78.284149:315.000000,1778,True,13,13,1762,0.999998,25.6488,0,0.0129546,1779 1779 1763 1762 1740 1739 1761 1760 1777 1778 1790 1791 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,87.87,10,723,400,41.810314:101.250000,1481,True,8,8,1428,0.999999,14.1907,0,0.01265,1481 1481 1427 1428 1533 1482 1429 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,85.228,10,86,1093,30.000000:270.000000,1339,True,110,35,1595,0.998677,84.0253,0,0.0155375,1501 1501 1500 1550 1594 1549 1499 1548 1593 1635 1636 1673 1595 1637 1674 1707 1675 1638 1596 1551 1552 1597 1639 1676 1640 1598 1397 1398 1340 1341 1279 1278 1339 1277 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,87.761,10,171,383,9.594069:67.500000,1047,True,28,28,1046,0.999998,64.5659,0,0.013284,1048 1048 1114 1180 1181 1115 1049 981 979 980 1047 1113 1179 1178 1112 1046 978 977 1044 976 1043 1109 1110 1176 1177 1111 1045 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,86.341,10,80,352,30.000000:337.500000,1350,True,235,33,1288,0.985991,85.862,0,0.0195715,1446 1221 1284 1346 1286 1223 1158 1157 1222 1285 1347 1348 1349 1287 1224 1159 1160 1225 1288 1226 1161 1095 1096 1162 1227 1289 1350 1351 1290 1291 1228 1163 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,84.808,10,259,1590,30.000000:157.500000,1320,True,21,21,1320,0.999999,47.2025,0,0.0130205,1378 1378 1435 1377 1318 1257 1319 1195 1258 1320 1379 1436 1437 1380 1321 1259 1260 1322 1381 1323 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,85.78,10,237,1156,30.000000:180.000000,1324,True,27,27,1324,0.999999,61.5996,0,0.0133322,1383 1383 1324 1262 1199 1200 1263 1325 1264 1326 1384 1440 1439 1382 1323 1261 1198 1260 1322 1381 1438 1437 1380 1379 1321 1259 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,86.6,10,96,730,41.810314:168.750000,1491,True,55,36,1438,0.999976,85.0755,0,0.0143269,1324 1324 1384 1441 1385 1442 1495 1494 1544 1493 1440 1383 1325 1382 1439 1492 1543 1542 1541 1490 1540 1489 1488 1435 1378 1436 1379 1321 1380 1437 1491 1438 1381 1322 1323 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,85.872,10,579,1123,78.284149:45.000000,1766,True,13,13,1746,0.999998,26.0704,0,0.0134173,1767 1767 1748 1747 1721 1720 1746 1766 1783 1782 1765 1745 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,87.878,10,428,395,78.284149:45.000000,1766,True,12,12,1747,0.999999,23.7192,0,0.0130055,1722 1722 1692 1721 1691 1720 1746 1747 1748 1767 1766 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,86.822,10,237,708,19.471220:168.750000,1197,True,21,21,1197,0.999998,47.4232,0,0.013125,1199 1199 1262 1200 1135 1134 1133 1132 1066 1067 1198 1261 1260 1197 1131 1065 1130 1196 1259 1195 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,84.866,10,561,1461,9.594069:202.500000,1072,True,13,13,1071,0.999999,26.4124,0,0.0127944,1003 1003 1002 1070 1071 1137 1138 1139 1073 1005 1072 1004 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,87.884,10,516,395,30.000000:22.500000,1298,True,10,10,1357,0.999999,19.3495,0,0.0127747,1358 1358 1299 1235 1234 1357 1298 1297 1356 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,83.85,10,507,1805,30.000000:315.000000,1346,True,13,13,1347,0.999999,26.3864,0,0.0127584,1404 1404 1403 1345 1346 1286 1347 1348 1406 1405 1461 1460 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,84.85,10,481,1503,54.340912:45.000000,1572,True,14,14,1525,0.999999,29.9243,0,0.0128666,1473 1474 1526 1573 1525 1572 1616 1615 1571 1524 1472 1473 1419 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,87.778,10,399,382,9.594069:270.000000,1084,True,24,24,1084,0.999998,55.8276,0,0.0132132,1149 1149 1085 1017 1084 1016 1015 1082 1148 1083 1150 1214 1277 1215 1278 1216 1151 1217 1152 1086 1018 1019 1087 -1
GCP,adapt_p35-659087696138755_a105-0_477_map.h5,86.878,10,641,760,54.340912:105.000000,1579,True,10,10,1623,0.999999,19.3476,0,0.0128015,1579 1579 1622 1580 1623 1660 1661 1662 1624 -1
GCP,adapt_p80-40593177313954_a224-99999999999997_341_map.h5,83.805,10,532,1912,9.594069:225.000000,1076,True,17,17,1141,0.999998,37.1885,0,0.0131934,1076 1076 1075 1074 1140 1139 1205 1269 1270 1206 1141 1207 1142 1208 1143 1077 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,84.861,10,665,1509,9.594069:90.000000,1051,True,10,10,1051,0.999998,18.7279,0,0.0127479,1052 1052 1118 1117 1051 984 983 1050 1116 -1
GCP,adapt_p35-659087696138755_a195-0_210_map.h5,84.858,10,646,1513,54.340912:195.000000,1590,True,10,10,1633,0.999998,19.4622,0,0.0126639,1670 1670 1669 1591 1590 1632 1633 1634 1671 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,85.847,10,370,1087,41.810314:11.250000,1468,True,10,10,1467,0.999998,19.1781,0,0.0128116,1413 1413 1412 1467 1414 1468 1520 1521 1469 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,87.478,10,104,360,19.471220:326.250000,1225,True,76,37,1158,0.999512,87.4276,0,0.0146265,1287 1287 1288 1226 1227 1162 1096 1161 1095 1027 1026 1094 1160 1225 1224 1159 1093 1025 1024 1092 1158 1223 1286 1222 1157 1091 1090 1156 1221 1220 1283 1284 1345 1285 1346 1347 -1
GCP,adapt_p60-00000000000001_a112-49999999999999_477_map.h5,84.864,10,719,1390,30.000000:112.500000,1313,True,11,11,1313,0.999999,21.8697,0,0.0130983,1371 1371 1312 1372 1313 1249 1250 1251 1314 1373 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,86.572,10,56,831,54.340912:15.000000,1568,True,60,36,1716,0.999967,85.5981,0,0.0147682,1682 1682 1647 1646 1683 1685 1649 1608 1648 1684 1716 1717 1651 1612 1568 1567 1520 1519 1610 1611 1609 1650 1686 1687 1718 1744 1743 1742 1764 1763 1741 1715 1714 1740 1762 -1
GCP,adapt_p60-00000000000001_a45-0_497_map.h5,84.79,10,274,1475,30.000000:45.000000,1301,True,18,18,1239,0.999999,39.3106,0,0.0130995,1174 1174 1173 1237 1300 1238 1301 1302 1303 1240 1177 1110 1176 1239 1175 1109 1108 -1
GCP,adapt_p80-40593177313954_a112-49999999999999_222_map.h5,83.876,10,687,1926,9.594069:112.500000,1055,True,10,10,1120,0.999999,19.0468,0,0.012745,1054 1054 1055 1056 1122 1187 1121 1120 1053 -1
GCP,adapt_p80-40593177313954_a292-5_3_map.h5,86.876,10,474,711,9.594069:292.500000,1088,True,12,12,1088,0.999999,24.0826,0,0.012991,1021 1021 1020 1087 1153 1088 1154 1089 1155 1090 1022 -1
GCP,adapt_p11-715852394892384_a45-0_473_map.h5,84.867,10,594,1535,78.284149:45.000000,1766,True,12,12,1766,0.999999,23.2833,0,0.0128,1767 1767 1748 1747 1746 1745 1766 1765 1781 1782 1783 -1
GCP,adapt_p70-52877936550931_a348-74999999999994_314_map.h5,85.633,10,205,1098,19.471220:348.750000,1229,True,45,36,1099,0.999992,85.4539,0,0.0141057,1033 1033 967 1035 1101 1168 1167 1166 1034 1100 1032 965 1031 1099 1165 1230 1231 1293 1294 1353 1352 1292 1229 1164 1098 1030 1097 1163 1228 1291 1290 1227 1162 1096 1029 -1
GCP,adapt_p35-659087696138755_a285-0_99_map.h5,87.89,10,605,351,54.340912:285.000000,1601,True,8,8,1601,0.999999,13.6822,0,0.0133229,1642 1642 1643 1602 1601 1600 1641 -1
GCP,adapt_p23-556464309101234_a202-5_295_map.h5,85.82,10,306,1099,66.443535:202.500000,1704,True,22,22,1705,0.999998,49.2268,0,0.0131001,1706 1706 1734 1707 1673 1635 1672 1705 1671 1634 1633 1670 1704 1733 1757 1756 1732 1755 1731 1703 1669 -1
GCP,adapt_p48-18968510422141_a258-75_507_map.h5,83.849,10,722,1899,41.810314:258.750000,1504,True,11,11,1503,0.999999,21.7223,0,0.0128058,1553 1553 1502 1552 1503 1450 1451 1452 1504 1554 -1
GCP,adapt_p80-40593177313954_a315-0_265_map.h5,84.79,10,380,1443,9.594069:315.000000,1093,True,23,23,1093,0.999998,52.5246,0,0.0133168,1095 1095 1028 1096 1162 1161 1026 1027 1094 1160 1225 1224 1159 1093 1025 1092 1158 1223 1222 1157 1091 1024 -1
