method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,22.853,10,561,694,30.000000:270.000000,1339,True,16,11,1339,0.999985,21.3219,0,0.0131684,1396 1396 1337 1338 1277 1278 1339 1397 1398 1340 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,20.852,10,503,1447,19.471220:146.250000,1193,True,14,10,1193,0.999434,19.4024,0,0.0132154,1128 1128 1127 1194 1258 1257 1256 1193 1192 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,22.747,10,260,780,9.594069:247.500000,1080,True,29,11,1082,0.98057,21.4959,0,0.0132721,1084 1084 1083 1015 1082 1014 1081 1013 1080 1012 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,22.846,10,280,715,19.471220:78.750000,1181,True,17,11,1245,0.999787,21.6185,0,0.0130239,1307 1307 1308 1246 1182 1245 1244 1180 1181 1115 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,20.863,10,442,1529,78.284149:315.000000,1778,True,16,11,1763,0.999985,20.7694,0,0.0131099,1761 1761 1762 1778 1779 1763 1741 1742 1764 1780 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,22.9,10,723,710,41.810314:101.250000,1481,True,8,8,1428,0.999999,15.2142,0,0.0136361,1481 1533 1482 1429 1428 1427 1481 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,21.219,10,86,1093,30.000000:270.000000,1339,False,110,11,1595,0.941009,21.1713,0,0.0152196,1501 1501 1550 1549 1594 1636 1637 1595 1596 1638 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,23.786,10,171,383,9.594069:67.500000,1047,True,28,11,1046,0.993228,21.2505,0,0.0136119,1048 1048 1114 1113 1047 979 1046 1112 1111 1045 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,22.514,10,80,352,30.000000:337.500000,1350,False,235,8,1288,0.720264,21.6271,0,0.0187131,1446 1446 1287 1225 1288 1289 1226 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,21.804,10,231,1203,30.000000:157.500000,1320,True,21,11,1378,0.999173,21.7437,0,0.0140271,1377 1377 1320 1319 1378 1435 1436 1379 1380 1321 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,22.795,10,237,747,30.000000:180.000000,1324,True,23,11,1382,0.998972,22.3894,0,0.013989,1438 1438 1382 1324 1383 1439 1323 1322 1381 1380 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,21.212,10,97,1115,41.810314:168.750000,1491,False,112,8,1437,0.847142,20.6022,0,0.014175,1209 1381 1438 1380 1437 1436 1379 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,22.885,10,535,748,78.284149:45.000000,1766,True,13,11,1746,0.999998,21.4949,0,0.0137936,1767 1767 1748 1747 1746 1720 1721 1766 1765 1745 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,22.837,10,428,791,78.284149:45.000000,1766,True,13,11,1746,0.999993,20.9877,0,0.0134029,1767 1767 1766 1745 1746 1720 1721 1747 1748 1722 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,23.818,10,165,346,19.471220:168.750000,1197,True,26,12,1197,0.999385,23.7895,0,0.0141376,1196 1196 1197 1131 1132 1198 1261 1262 1199 1133 1134 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,21.879,10,495,1101,9.594069:202.500000,1072,True,13,11,1071,0.999997,21.6625,0,0.0129841,1004 1004 1070 1003 1071 1137 1138 1072 1073 1139 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,22.862,10,516,747,30.000000:22.500000,1298,True,13,11,1357,0.999997,21.6213,0,0.0141501,1297 1297 1356 1357 1298 1235 1299 1358 1416 1359 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,21.858,10,368,1068,30.000000:315.000000,1346,True,13,11,1404,0.999998,21.4762,0,0.0130208,1403 1403 1345 1346 1347 1405 1404 1459 1460 1461 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,21.862,10,415,1114,54.340912:45.000000,1572,True,13,11,1525,0.999991,21.2018,0,0.0133938,1524 1524 1571 1572 1525 1472 1473 1474 1526 1573 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,22.757,10,399,779,9.594069:270.000000,1084,True,27,11,1085,0.992889,21.8498,0,0.0137874,1149 1149 1083 1150 1151 1086 1085 1017 1084 1016 -1
GCP,adapt_p35-659087696138755_a105-0_477_map.h5,23.873,10,503,389,54.340912:105.000000,1579,True,11,11,1622,0.999998,21.701,0,0.0141946,1579 1579 1622 1580 1623 1662 1661 1660 1621 1578 -1
