method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detectec,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,27.853,10,561,694,30.000000:270.000000,1339,True,16,13,1339,0.999997,26.4641,0,0.0130199,1396 1396 1337 1338 1277 1278 1339 1397 1398 1340 1279 1341 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,25.84,10,503,1447,19.471220:146.250000,1193,True,14,12,1193,0.999998,24.2227,0,0.0131322,1128 1128 1127 1194 1129 1195 1258 1257 1256 1193 1192 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,27.73,10,260,780,9.594069:247.500000,1080,True,29,13,1082,0.994516,26.5864,0,0.0133076,1084 1084 1016 1083 1015 1082 1014 1081 1013 1080 1012 1079 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,28.806,10,237,352,19.471220:78.750000,1181,True,24,14,1245,0.999866,28.7345,0,0.0130523,1183 1183 1117 1116 1182 1246 1309 1308 1245 1307 1244 1181 1115 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,25.861,10,442,1529,78.284149:315.000000,1778,True,16,13,1763,0.999996,25.7119,0,0.0128446,1761 1761 1777 1778 1762 1740 1741 1763 1764 1780 1779 1791 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,27.894,10,723,710,41.810314:101.250000,1481,True,8,8,1428,0.999999,15.2142,0,0.0128522,1481 1533 1482 1429 1428 1427 1481 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,26.239,10,86,1093,30.000000:270.000000,1339,False,110,13,1595,0.957388,26.0497,0,0.0142757,1501 1501 1550 1549 1594 1636 1673 1674 1637 1595 1596 1638 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,28.787,10,171,383,9.594069:67.500000,1047,True,28,13,1046,0.998064,26.3687,0,0.0135916,1048 1048 1114 1113 1047 979 978 1046 1112 1111 1045 1044 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,27.379,10,80,352,30.000000:337.500000,1350,False,235,10,1288,0.785619,26.6701,0,0.0182899,1446 1446 1287 1224 1225 1288 1289 1226 1227 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,26.805,10,231,1203,30.000000:157.500000,1320,True,21,13,1378,0.99981,26.4887,0,0.0129404,1377 1377 1318 1319 1320 1378 1435 1436 1379 1380 1321 1258 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,27.807,10,237,747,30.000000:180.000000,1324,True,23,13,1382,0.999622,27.1234,0,0.01316,1438 1438 1382 1324 1383 1439 1381 1380 1322 1323 1261 1262 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,26.2,10,97,1115,41.810314:168.750000,1491,False,112,10,1437,0.902719,25.6119,0,0.0138713,1209 1381 1438 1380 1437 1436 1379 1378 1435 -1
