method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p70-52877936550931_a236-25_106_map.h5,-0.37,10,109,1474,19.471220:236.250000,1209,False,50,0,1144,0,0,0,0,
GCP,adapt_p23-556464309101234_a292-5_471_map.h5,-2.043,10,116,1497,66.443535:292.500000,1712,False,147,0,1312,0,0,0,0,
GCP,adapt_p60-00000000000001_a22-5_547_map.h5,-0.475,10,73,1221,30.000000:22.500000,1298,False,756,0,1702,0,0,0,0,
GCP,adapt_p70-52877936550931_a303-75_352_map.h5,-0.639,10,102,1525,19.471220:303.750000,1221,False,233,0,1102,0,0,0,0,
GCP,adapt_p70-52877936550931_a191-25_306_map.h5,-0.837,10,112,1463,19.471220:191.250000,1201,False,127,0,1588,0,0,0,0,
GCP,adapt_p23-556464309101234_a67-5_244_map.h5,-0.427,10,101,1417,66.443535:67.500000,1693,False,62,0,1576,0,0,0,0,
GCP,adapt_p48-18968510422141_a123-74999999999999_259_map.h5,-1.202,10,192,1477,41.810314:123.750000,1484,False,28,0,1482,0,0,0,0,
GCP,adapt_p23-556464309101234_a157-5_322_map.h5,-0.391,10,84,1439,66.443535:157.500000,1701,False,54,0,1663,0,0,0,0,
GCP,adapt_p60-00000000000001_a45-0_15_map.h5,-1.178,10,213,1487,30.000000:45.000000,1301,False,20,0,1300,0,0,0,0,
GCP,adapt_p35-659087696138755_a315-0_575_map.h5,-0.433,10,184,1405,54.340912:315.000000,1605,False,64,0,1645,0,0,0,0,
GCP,adapt_p70-52877936550931_a348-74999999999994_543_map.h5,-0.168,10,67,1332,19.471220:348.750000,1229,False,328,0,1465,0,0,0,0,
