method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p70-52877936550931_a281-24999999999994_130_map.h5,-0.954,10,85,3441,19.471220:281.250000,1217,False,112,0,1085,0,0,0,0,
GCP,adapt_p70-52877936550931_a326-24999999999994_254_map.h5,-1.405,10,101,3772,19.471220:326.250000,1225,False,46,0,1043,0,0,0,0,
GCP,adapt_p80-40593177313954_a45-0_303_map.h5,-2.796,10,82,3669,9.594069:45.000000,1042,False,213,0,1258,0,0,0,0,
GCP,adapt_p35-659087696138755_a45-0_491_map.h5,-1.579,10,75,3710,54.340912:45.000000,1572,False,65,0,1045,0,0,0,0,
GCP,adapt_p60-00000000000001_a292-5_535_map.h5,-0.892,10,169,3445,30.000000:292.500000,1343,False,100,0,1219,0,0,0,0,
GCP,adapt_p60-00000000000001_a90-0_187_map.h5,-0.225,10,77,3026,30.000000:90.000000,1309,False,152,0,1248,0,0,0,0,
GCP,adapt_p35-659087696138755_a135-0_20_map.h5,-2.726,10,97,3703,54.340912:135.000000,1583,False,224,0,1697,0,0,0,0,
GCP,adapt_p35-659087696138755_a14-999999999999998_374_map.h5,-2.275,10,99,3789,54.340912:15.000000,1568,False,142,0,1035,0,0,0,0,
GCP,adapt_p70-52877936550931_a101-24999999999999_581_map.h5,-1.596,10,95,3001,19.471220:101.250000,1185,False,339,0,1493,0,0,0,0,
GCP,adapt_p35-659087696138755_a75-0_229_map.h5,-0.44,10,151,3330,54.340912:75.000000,1576,False,51,0,1576,0,0,0,0,
GCP,adapt_p70-52877936550931_a281-24999999999994_253_map.h5,-2.565,10,63,3664,19.471220:281.250000,1217,False,200,0,1460,0,0,0,0,
GCP,adapt_p70-52877936550931_a236-25_572_map.h5,-1.421,10,59,2895,19.471220:236.250000,1209,False,346,0,1357,0,0,0,0,
GCP,adapt_p80-40593177313954_a157-5_367_map.h5,-1.251,10,168,3441,9.594069:157.500000,1063,False,134,0,1170,0,0,0,0,
GCP,adapt_p80-40593177313954_a22-5_349_map.h5,-1.026,10,86,3443,9.594069:22.500000,1038,False,129,0,1476,0,0,0,0,
GCP,adapt_p80-40593177313954_a22-5_204_map.h5,-0.745,10,89,2915,9.594069:22.500000,1038,False,248,0,1168,0,0,0,0,
GCP,adapt_p70-52877936550931_a56-24999999999999_393_map.h5,-0.548,10,84,2589,19.471220:56.250000,1177,False,340,0,1286,0,0,0,0,
GCP,adapt_p48-18968510422141_a348-74999999999994_444_map.h5,-3.144,10,90,3793,41.810314:348.750000,1517,False,255,0,1351,0,0,0,0,
GCP,adapt_p11-715852394892384_a225-0_53_map.h5,-1.024,10,68,2649,78.284149:225.000000,1774,False,411,0,1673,0,0,0,0,
GCP,adapt_p70-52877936550931_a258-75_577_map.h5,-1.122,10,75,3328,19.471220:258.750000,1213,False,143,0,1368,0,0,0,0,
GCP,adapt_p48-18968510422141_a168-74999999999997_55_map.h5,-1.779,10,101,3820,41.810314:168.750000,1491,False,86,0,1318,0,0,0,0,
GCP,adapt_p70-52877936550931_a348-74999999999994_507_map.h5,-0.299,10,172,3414,19.471220:348.750000,1229,False,33,0,1161,0,0,0,0,
GCP,adapt_p70-52877936550931_a168-74999999999997_554_map.h5,-1.959,10,67,2828,19.471220:168.750000,1197,False,422,0,1355,0,0,0,0,
GCP,adapt_p35-659087696138755_a105-0_41_map.h5,-1.547,10,102,3742,54.340912:105.000000,1579,False,56,0,1535,0,0,0,0,
GCP,adapt_p70-52877936550931_a101-24999999999999_387_map.h5,-0.552,10,70,2173,19.471220:101.250000,1185,False,522,0,1175,0,0,0,0,
GCP,adapt_p80-40593177313954_a337-49999999999994_196_map.h5,-2.751,10,67,3734,9.594069:337.500000,1097,False,208,0,1161,0,0,0,0,
GCP,adapt_p35-659087696138755_a224-99999999999997_423_map.h5,-2.307,10,86,3694,54.340912:225.000000,1594,False,172,0,1541,0,0,0,0,
GCP,adapt_p48-18968510422141_a78-75_396_map.h5,-1.704,10,125,3757,41.810314:78.750000,1478,False,91,0,1186,0,0,0,0,
GCP,adapt_p70-52877936550931_a11-25_235_map.h5,-0.857,10,73,3429,19.471220:11.250000,1169,False,93,0,1166,0,0,0,0,
GCP,adapt_p80-40593177313954_a67-5_51_map.h5,-4.928,10,62,3236,9.594069:67.500000,1047,False,692,0,1304,0,0,0,0,
GCP,adapt_p80-40593177313954_a247-49999999999997_459_map.h5,-2.416,10,91,3815,9.594069:247.500000,1080,False,159,0,1271,0,0,0,0,
GCP,adapt_p70-52877936550931_a56-24999999999999_81_map.h5,-1.304,10,108,3670,19.471220:56.250000,1177,False,33,0,1223,0,0,0,0,
GCP,adapt_p48-18968510422141_a78-75_342_map.h5,-3.552,10,81,3333,41.810314:78.750000,1478,False,454,0,1391,0,0,0,0,
GCP,adapt_p70-52877936550931_a168-74999999999997_110_map.h5,-0.429,10,103,3477,19.471220:168.750000,1197,False,48,0,1199,0,0,0,0,
GCP,adapt_p70-52877936550931_a281-24999999999994_513_map.h5,-0.446,10,91,3425,19.471220:281.250000,1217,False,44,0,1088,0,0,0,0,
GCP,adapt_p48-18968510422141_a101-24999999999999_455_map.h5,-1.956,10,126,3745,41.810314:101.250000,1481,False,114,0,1011,0,0,0,0,
GCP,adapt_p80-40593177313954_a337-49999999999994_390_map.h5,-1.599,10,83,3790,9.594069:337.500000,1097,False,61,0,1160,0,0,0,0,
GCP,adapt_p80-40593177313954_a135-0_155_map.h5,-0.744,10,133,3418,9.594069:135.000000,1059,False,86,0,1598,0,0,0,0,
GCP,adapt_p80-40593177313954_a315-0_495_map.h5,-1.53,10,140,3416,9.594069:315.000000,1093,False,185,0,1160,0,0,0,0,
