method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,0.342883,10,619,1175,30.000000:270.000000,1339,False,15,2,1338,0,0.0129182,0,0.0129182,1337 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,9.2132,10,92,758,19.471220:146.250000,1193,False,69,5,1319,0.533592,8.1066,0,0.0136077,1489 1378 1319 1318 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,11.0592,10,662,712,9.594069:247.500000,1080,True,10,6,1081,0.999955,9.23988,0,0.0126272,1013 1013 1082 1081 1080 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,3.38111,10,221,990,19.471220:78.750000,1181,False,32,3,1179,0.567551,3.11677,0,0.0126971,1244 1179 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,17.9479,10,352,462,78.284149:315.000000,1778,True,13,9,1762,0.99928,15.8363,0,0.0128772,1741 1741 1763 1779 1778 1762 1740 1739 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,5.86839,10,479,899,41.810314:101.250000,1481,True,11,4,1482,0.851345,5.02974,0,0.0124035,1533 1482 1481 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,13.2603,10,374,612,30.000000:270.000000,1339,True,15,7,1339,0.991696,11.663,0,0.0124652,1338 1338 1278 1340 1339 1397 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,1.24846,10,254,1076,9.594069:67.500000,1047,False,20,2,1045,0,0.012335,0,0.012335,978 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,22.5343,10,685,257,30.000000:337.500000,1350,True,8,8,1350,0.999999,13.9295,0,0.0125346,1351 1351 1409 1408 1407 1350 1290 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,0.911308,10,152,1129,30.000000:157.500000,1320,False,55,2,1321,0,0.0125028,0,0.0125028,1194 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,16.3883,10,699,516,30.000000:180.000000,1324,True,7,7,1324,0.999998,11.0953,0,0.0124763,1323 1323 1261 1262 1324 1382 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,1.06726,10,767,1139,41.810314:168.750000,1491,True,8,2,1438,0,0.0125493,0,0.0125493,1491 -1
