method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,43.8404,10,588,1009,30.000000:270.000000,1339,True,15,15,1339,0.999998,32.0536,0,0.0143592,1337 1337 1277 1276 1338 1339 1278 1279 1341 1340 1398 1397 1396 1395 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,56.4152,10,59,470,19.471220:146.250000,1193,False,88,22,1498,0.999086,55.4175,0,0.0135504,1317 1443 1496 1547 1498 1548 1593 1594 1549 1550 1500 1447 1499 1446 1389 1388 1445 1497 1444 1387 1329 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,51.8852,10,648,646,9.594069:247.500000,1080,True,11,11,1080,0.999998,23.8659,0,0.012533,1013 1081 1082 1147 1146 1079 1012 1080 1014 1013 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,49.725,10,178,720,19.471220:78.750000,1181,True,36,21,1180,0.999879,47.6024,0,0.0127845,1242 1242 1180 1114 1048 1047 1113 1179 1181 1115 1116 1182 1245 1244 1307 1306 1243 1241 1178 1112 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,59.8362,10,319,357,78.284149:315.000000,1778,True,13,13,1762,0.999998,26.8475,0,0.0125819,1739 1739 1738 1740 1741 1763 1764 1779 1778 1777 1762 1761 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,49.8721,10,438,699,41.810314:101.250000,1481,True,12,12,1481,0.999999,23.827,0,0.0127258,1428 1428 1482 1429 1483 1534 1533 1532 1480 1481 1427 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,53.8429,10,363,562,30.000000:270.000000,1339,True,16,16,1339,0.999999,34.3364,0,0.0129389,1277 1277 1278 1340 1279 1280 1341 1399 1398 1397 1339 1276 1337 1338 1396 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,53.7295,10,138,571,9.594069:67.500000,1047,True,39,23,1112,0.999934,52.3381,0,0.0132407,1047 1047 979 978 1045 1044 1043 1109 1175 1239 1110 1176 1111 1177 1240 1241 1178 1112 1046 1113 1179 1242 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,61.8953,10,677,242,30.000000:337.500000,1350,True,10,10,1350,0.999999,19.2912,0,0.0124975,1408 1408 1407 1350 1289 1290 1351 1409 1291 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,54.8174,10,42,483,30.000000:157.500000,1320,True,343,20,1203,0.539857,54.0793,0,0.0240124,1320 1630 1667 1668 1669 1201 1136 1137 1202 1203 1138 1139 1204 1205 1144 1145 1210 1211 1336 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,54.9021,10,699,541,30.000000:180.000000,1324,True,7,7,1324,0.999999,11.0955,0,0.0127402,1323 1323 1261 1262 1324 1382 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,39.8844,10,767,1143,41.810314:168.750000,1491,True,8,8,1438,0.999999,14.262,0,0.0123945,1491 1491 1490 1437 1492 1439 1438 -1
