method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,63.7292,10,341,681,30.000000:270.000000,1339,True,31,27,1339,0.999996,62.0923,0,0.013582,1341 1341 1281 1280 1279 1340 1342 1400 1399 1455 1454 1398 1397 1339 1278 1215 1214 1277 1338 1396 1395 1337 1276 1213 1275 1336 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,67.3723,10,59,470,19.471220:146.250000,1193,False,88,27,1498,0.999507,65.805,0,0.0135113,1317 1317 1376 1377 1496 1547 1498 1548 1593 1594 1549 1550 1500 1447 1499 1446 1389 1388 1445 1497 1444 1387 1329 1328 1386 1443 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,65.8831,10,564,516,9.594069:247.500000,1080,True,12,12,1080,0.999998,25.8735,0,0.0126597,1013 1081 1082 1014 1013 1147 1146 1080 1012 1079 1145 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,56.7419,10,210,869,19.471220:78.750000,1181,True,30,24,1179,0.999996,54.7281,0,0.0139019,1242 1242 1177 1111 1045 1046 1112 1178 1241 1305 1306 1243 1179 1113 1047 1048 1114 1180 1181 1115 1182 1245 1244 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,58.8508,10,352,824,78.284149:315.000000,1778,True,16,16,1763,0.999999,33.7096,0,0.0130006,1739 1739 1713 1714 1715 1741 1763 1742 1764 1780 1779 1778 1762 1740 1761 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,59.8761,10,447,737,41.810314:101.250000,1481,True,12,12,1481,0.999999,24.3142,0,0.0126655,1533 1533 1480 1532 1481 1427 1428 1482 1429 1483 1534 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,57.8251,10,374,799,30.000000:270.000000,1339,True,19,19,1339,0.999999,42.1828,0,0.0126647,1338 1338 1276 1337 1396 1339 1277 1214 1215 1278 1216 1279 1340 1397 1398 1399 1341 1280 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,55.7982,10,238,906,9.594069:67.500000,1047,True,22,22,1045,0.999997,50.3971,0,0.0135887,1110 1110 1045 1044 977 978 1046 979 1047 1113 1179 1178 1112 1111 1177 1176 1175 1109 1043 976 1108 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,66.8874,10,685,441,30.000000:337.500000,1350,True,9,9,1350,0.999999,16.9551,0,0.0123697,1408 1408 1352 1409 1351 1290 1350 1407 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,51.6144,10,152,1099,30.000000:157.500000,1320,True,50,22,1320,0.999374,49.2482,0,0.0133599,1381 1381 1323 1260 1322 1259 1258 1320 1379 1321 1380 1437 1490 1436 1435 1378 1377 1318 1319 1257 1194 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,70.8864,10,564,353,30.000000:180.000000,1324,True,10,10,1324,0.999998,19.2486,0,0.0124019,1323 1323 1262 1261 1324 1382 1383 1325 1263 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,64.8698,10,401,595,41.810314:168.750000,1491,True,12,12,1438,0.999998,24.7605,0,0.0130031,1439 1439 1381 1438 1542 1541 1490 1437 1491 1492 1440 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,65.8704,10,523,511,78.284149:45.000000,1766,True,12,12,1746,0.999998,23.6201,0,0.0124495,1766 1766 1745 1719 1720 1746 1747 1721 1722 1748 1767 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,71.882,10,585,329,78.284149:45.000000,1766,True,10,10,1747,0.999998,18.3317,0,0.0127953,1748 1748 1747 1767 1766 1746 1720 1721 1722 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,57.8199,10,361,805,19.471220:168.750000,1197,True,22,22,1197,0.999997,49.9884,0,0.012862,1261 1261 1322 1323 1262 1198 1260 1259 1196 1195 1130 1064 1065 1131 1197 1132 1066 1067 1133 1199 1134 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,66.2378,10,122,484,9.594069:202.500000,1072,True,104,27,1005,0.994038,65.3918,0,0.0140365,1543 1543 1542 1491 1438 1381 1492 1440 1439 1382 1003 936 937 1004 1005 1006 939 938 1072 1073 1139 1140 1074 1007 1075 1141 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,57.7491,10,209,864,30.000000:22.500000,1298,True,30,25,1296,0.999995,57.7299,0,0.0127175,1232 1232 1170 1169 1233 1296 1295 1231 1294 1354 1412 1413 1355 1356 1414 1415 1297 1234 1171 1235 1298 1357 1358 1299 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,57.8511,10,357,815,30.000000:315.000000,1346,True,17,17,1403,0.999999,36.0401,0,0.0126984,1346 1346 1345 1344 1402 1458 1510 1511 1459 1403 1404 1460 1512 1461 1405 1347 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,67.8905,10,819,440,54.340912:45.000000,1572,True,10,10,1616,0.999999,19.1098,0,0.0123111,1615 1615 1654 1655 1571 1572 1616 1617 1573 -1
