method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,24.1161,10,561,262,30.000000:270.000000,1339,True,12,12,1339,0.999998,24.0135,0,0.0126926,1396 1396 1337 1395 1338 1277 1278 1339 1397 1398 1340 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,20.2582,10,526,1667,19.471220:146.250000,1193,True,14,10,1193,0.999922,19.1876,0,0.0126196,1256 1256 1192 1127 1128 1193 1194 1257 1258 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,22.57,10,264,841,9.594069:247.500000,1080,True,32,11,1082,0.96608,22.4879,0,0.0128648,1014 1014 1083 1084 1015 1082 1147 1081 1080 1079 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,23.4922,10,280,471,19.471220:78.750000,1181,True,17,11,1245,0.999568,21.2838,0,0.0125915,1246 1246 1182 1116 1115 1181 1244 1307 1245 1308 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,19.8806,10,479,1901,78.284149:315.000000,1778,True,13,10,1762,0.999994,18.4169,0,0.0131903,1779 1779 1791 1790 1777 1761 1778 1762 1763 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,24.6041,10,723,101,41.810314:101.250000,1481,True,7,7,1428,0.999999,11.6564,0,0.0127149,1481 1481 1533 1482 1427 1428 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,20.9306,10,93,1290,30.000000:270.000000,1339,False,74,9,1595,0.904347,18.4638,0,0.0142221,1640 1596 1550 1595 1637 1636 1594 1549 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,23.6904,10,174,412,9.594069:67.500000,1047,True,28,11,1046,0.997989,21.3285,0,0.0123778,1111 1111 1045 1112 1046 979 1047 1113 1114 1048 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,22.1542,10,82,390,30.000000:337.500000,1350,False,251,7,1287,0.638383,20.1286,0,0.0187305,1447 1224 1287 1288 1225 1226 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,21.1124,10,259,1469,30.000000:157.500000,1320,True,19,10,1320,0.998811,18.919,0,0.0133963,1380 1380 1322 1321 1258 1320 1379 1378 1319 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,23.4584,10,237,495,30.000000:180.000000,1324,True,20,11,1381,0.99947,23.4662,0,0.0123969,1324 1323 1381 1382 1439 1438 1380 1322 1261 1324 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,22.5031,10,97,767,41.810314:168.750000,1491,True,54,10,1438,0.943964,20.6322,0,0.0126636,1324 1382 1440 1439 1381 1438 1491 1437 1380 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,22.5213,10,579,875,78.284149:45.000000,1766,True,11,11,1746,0.999998,21.322,0,0.0124957,1747 1747 1748 1767 1782 1765 1766 1745 1746 1720 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,24.4385,10,428,170,78.284149:45.000000,1766,True,10,10,1747,0.999999,18.8418,0,0.0122789,1721 1721 1748 1722 1747 1767 1766 1746 1720 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,23.2921,10,237,548,19.471220:168.750000,1197,True,19,11,1197,0.999974,21.4545,0,0.0127014,1133 1133 1134 1199 1198 1132 1197 1131 1130 1196 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,20.9225,10,561,1431,9.594069:202.500000,1072,True,13,10,1071,0.999984,19.2264,0,0.0123267,1003 1003 1070 1071 1137 1138 1072 1004 1073 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,24.2874,10,516,254,30.000000:22.500000,1298,True,8,8,1357,0.999999,13.8171,0,0.0124319,1298 1298 1234 1297 1356 1357 1358 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,20.0853,10,507,1723,30.000000:315.000000,1346,True,13,10,1405,0.999997,18.8171,0,0.0124439,1346 1346 1347 1348 1406 1461 1405 1404 1460 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,20.6269,10,488,1571,54.340912:45.000000,1572,True,15,10,1572,0.999896,19.0496,0,0.0128119,1524 1524 1473 1525 1571 1572 1573 1526 1474 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,24.4625,10,399,158,9.594069:270.000000,1084,True,16,12,1084,0.999988,23.8932,0,0.0132758,1083 1083 1016 1084 1149 1214 1215 1150 1151 1085 1086 -1
GCP,adapt_p35-659087696138755_a105-0_477_map.h5,23.4659,10,641,528,54.340912:105.000000,1579,True,11,11,1622,0.999998,21.8528,0,0.0128431,1661 1661 1662 1660 1622 1621 1578 1579 1623 1580 -1
GCP,adapt_p80-40593177313954_a224-99999999999997_341_map.h5,20.4912,10,532,1640,9.594069:225.000000,1076,True,15,10,1141,0.99956,19.3224,0,0.0126331,1142 1142 1206 1207 1141 1140 1074 1075 1076 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,21.5502,10,665,1221,9.594069:90.000000,1051,True,11,10,1051,0.999998,18.923,0,0.0125732,1050 1050 983 984 1052 1118 1051 1117 1116 -1
GCP,adapt_p35-659087696138755_a195-0_210_map.h5,20.8251,10,646,1530,54.340912:195.000000,1590,True,10,10,1633,0.999998,19.1846,0,0.0127409,1670 1670 1633 1634 1671 1669 1632 1590 1591 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,22.1025,10,370,1007,41.810314:11.250000,1468,True,10,10,1467,0.999998,19.6926,0,0.0122806,1413 1413 1469 1521 1520 1468 1414 1467 1412 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,23.9664,10,104,170,19.471220:326.250000,1225,True,82,11,1092,0.852258,23.6343,0,0.0134408,1225 1094 1159 1093 1025 1092 1158 1223 1157 1091 -1
GCP,adapt_p60-00000000000001_a112-49999999999999_477_map.h5,20.8413,10,721,1399,30.000000:112.500000,1313,True,11,10,1313,0.999996,18.6571,0,0.0124472,1371 1371 1312 1250 1313 1372 1373 1314 1251 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,21.36,10,84,1274,54.340912:15.000000,1568,False,59,10,1650,0.935508,20.6967,0,0.0137862,1683 1716 1717 1685 1649 1686 1650 1609 1610 -1
GCP,adapt_p60-00000000000001_a45-0_497_map.h5,20.3463,10,285,1657,30.000000:45.000000,1301,True,17,10,1239,0.999488,18.9252,0,0.012509,1174 1174 1238 1301 1302 1239 1175 1176 1240 -1
GCP,adapt_p80-40593177313954_a112-49999999999999_222_map.h5,20.5102,10,687,1666,9.594069:112.500000,1055,True,10,10,1121,0.999999,19.4558,0,0.0125643,1054 1054 1121 1055 1056 1122 1187 1120 1053 -1
GCP,adapt_p80-40593177313954_a292-5_3_map.h5,22.7974,10,477,735,9.594069:292.500000,1088,True,12,11,1088,0.999994,21.7962,0,0.0124047,1021 1021 1090 1089 1155 1154 1088 1020 1087 1153 -1
GCP,adapt_p11-715852394892384_a45-0_473_map.h5,21.1302,10,594,1450,78.284149:45.000000,1766,True,11,10,1766,0.999998,18.8749,0,0.0125804,1767 1767 1747 1783 1782 1765 1766 1746 1745 -1
GCP,adapt_p70-52877936550931_a348-74999999999994_314_map.h5,20.5914,10,237,1494,19.471220:348.750000,1229,True,38,9,1229,0.95099,18.2402,0,0.0133973,1291 1229 1228 1163 1164 1230 1165 1099 -1
GCP,adapt_p35-659087696138755_a285-0_99_map.h5,24.3892,10,605,182,54.340912:285.000000,1601,True,8,8,1601,0.999999,14.1552,0,0.0126219,1642 1642 1602 1643 1601 1600 1641 -1
GCP,adapt_p23-556464309101234_a202-5_295_map.h5,22.016,10,306,1037,66.443535:202.500000,1704,True,20,11,1705,0.999735,21.2727,0,0.0127566,1706 1706 1733 1732 1731 1704 1670 1671 1705 1672 -1
GCP,adapt_p48-18968510422141_a258-75_507_map.h5,19.9682,10,722,1853,41.810314:258.750000,1504,True,11,10,1503,0.999987,19.2308,0,0.0125678,1553 1553 1451 1452 1504 1503 1450 1502 1552 -1
GCP,adapt_p80-40593177313954_a315-0_265_map.h5,20.4871,10,389,1556,9.594069:315.000000,1093,True,20,10,1093,0.997885,19.3826,0,0.0127214,1026 1026 1095 1094 1159 1093 1025 1092 1158 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_519_map.h5,20.6752,10,344,1545,41.810314:168.750000,1491,True,20,10,1491,0.999638,18.539,0,0.0135607,1542 1542 1541 1490 1437 1438 1491 1492 1439 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_38_map.h5,20.7637,10,501,1463,9.594069:202.500000,1072,True,14,10,1072,0.999917,18.9652,0,0.0130757,1138 1138 1139 1073 1072 1137 1071 1004 1005 -1
GCP,adapt_p48-18968510422141_a258-75_599_map.h5,21.4162,10,393,1263,41.810314:258.750000,1504,True,22,10,1451,0.996965,18.7788,0,0.0126277,1504 1504 1452 1451 1503 1502 1449 1450 1394 -1
GCP,adapt_p23-556464309101234_a112-5_421_map.h5,21.825,10,277,1056,66.443535:112.500000,1697,True,27,11,1661,0.996683,21.4824,0,0.0128344,1621 1621 1695 1660 1622 1623 1661 1696 1697 1662 -1
GCP,adapt_p60-00000000000001_a0-0_368_map.h5,23.4836,10,422,459,30.000000:0.000000,1294,True,14,11,1411,0.999994,21.4528,0,0.0131807,1353 1353 1294 1295 1355 1354 1411 1410 1466 1412 -1
GCP,adapt_p48-18968510422141_a33-75_457_map.h5,23.4033,10,334,577,41.810314:33.750000,1471,True,12,11,1417,0.999987,21.9197,0,0.0124411,1358 1358 1357 1359 1418 1472 1471 1417 1416 1470 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_311_map.h5,23.9052,10,531,338,9.594069:247.500000,1080,True,11,11,1080,0.999999,21.6935,0,0.0126042,1146 1146 1147 1082 1081 1080 1145 1079 1012 1013 -1
GCP,adapt_p48-18968510422141_a123-74999999999999_371_map.h5,23.8026,10,546,450,41.810314:123.750000,1484,True,10,10,1484,0.999998,19.2999,0,0.013168,1536 1536 1432 1485 1431 1430 1483 1484 1535 -1
GCP,adapt_p60-00000000000001_a292-5_378_map.h5,21.2875,10,248,1268,30.000000:292.500000,1343,True,31,11,1402,0.99476,21.1994,0,0.013273,1510 1510 1457 1401 1343 1344 1402 1458 1459 1403 -1
GCP,adapt_p48-18968510422141_a78-75_491_map.h5,24.2575,10,495,227,41.810314:78.750000,1478,True,8,8,1424,0.999999,13.7869,0,0.0123029,1478 1478 1425 1424 1423 1477 1529 -1
GCP,adapt_p70-52877936550931_a101-24999999999999_126_map.h5,23.8032,10,492,421,19.471220:101.250000,1185,True,12,11,1185,0.999999,21.4753,0,0.0126053,1119 1119 1120 1186 1249 1248 1247 1184 1185 1118 -1
GCP,adapt_p80-40593177313954_a180-0_148_map.h5,22.5767,10,637,782,9.594069:180.000000,1067,True,8,8,1133,0.999999,14.3581,0,0.013082,1067 1067 1068 1134 1066 1132 1133 -1
GCP,adapt_p60-00000000000001_a247-49999999999997_411_map.h5,23.1382,10,127,594,30.000000:247.500000,1335,True,39,11,1335,0.990324,23.0648,0,0.0126136,1449 1450 1392 1334 1273 1274 1335 1393 1394 1336 -1
GCP,adapt_p60-00000000000001_a67-5_588_map.h5,24.0512,10,532,333,30.000000:67.500000,1305,True,8,8,1306,0.999999,13.7418,0,0.0135644,1305 1305 1306 1307 1366 1365 1364 -1
GCP,adapt_p80-40593177313954_a45-0_362_map.h5,21.3052,10,282,1271,9.594069:45.000000,1042,True,24,10,1042,0.994115,19.3342,0,0.012539,1044 1044 975 1043 1109 1108 1042 974 1041 -1
GCP,adapt_p23-556464309101234_a337-5_335_map.h5,23.8151,10,257,381,66.443535:337.500000,1716,True,20,12,1716,0.998911,23.6715,0,0.0128159,1683 1683 1684 1715 1714 1740 1741 1742 1716 1717 1685 -1
GCP,adapt_p80-40593177313954_a90-0_365_map.h5,22.5723,10,225,925,9.594069:90.000000,1051,True,15,11,1050,0.99982,21.2954,0,0.0124494,1116 1116 1050 1049 982 983 1051 1117 1118 1052 -1
GCP,adapt_p70-52877936550931_a281-24999999999994_494_map.h5,22.2118,10,523,1001,19.471220:281.250000,1217,True,15,11,1217,0.999957,21.824,0,0.0130196,1280 1280 1281 1218 1279 1278 1215 1216 1217 1152 -1
