method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,27.8598,10,561,341,30.000000:270.000000,1339,True,12,12,1339,0.999998,24.0137,0,0.0129574,1396 1396 1337 1395 1338 1277 1278 1339 1397 1398 1340 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,24.8272,10,503,1447,19.471220:146.250000,1193,True,14,12,1193,0.999998,24.3313,0,0.0125726,1128 1128 1192 1127 1193 1256 1257 1194 1129 1195 1258 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,26.7098,10,260,780,9.594069:247.500000,1080,True,29,13,1082,0.994516,26.5993,0,0.0129696,1084 1084 1016 1083 1015 1082 1014 1081 1013 1080 1012 1079 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,26.8289,10,280,715,19.471220:78.750000,1181,True,17,12,1245,0.99988,23.8007,0,0.0128956,1307 1307 1244 1180 1181 1115 1116 1182 1245 1308 1246 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,23.8423,10,479,1911,78.284149:315.000000,1778,True,13,12,1762,0.999997,23.5752,0,0.0125191,1779 1779 1791 1790 1777 1761 1739 1740 1762 1778 1763 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,27.857,10,723,400,41.810314:101.250000,1481,True,8,8,1428,0.999999,13.8387,0,0.0127745,1481 1481 1533 1482 1429 1428 1427 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,25.2143,10,86,1093,30.000000:270.000000,1339,False,110,12,1595,0.957169,24.9604,0,0.0135543,1501 1550 1549 1594 1636 1673 1674 1637 1595 1596 1638 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,27.7477,10,171,383,9.594069:67.500000,1047,True,28,13,1046,0.998064,26.3818,0,0.0130924,1048 1048 1114 1113 1047 979 978 1046 1112 1111 1045 1044 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,26.323,10,80,352,30.000000:337.500000,1350,False,235,9,1288,0.785542,25.7168,0,0.0174875,1446 1224 1287 1225 1288 1289 1226 1227 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,24.795,10,259,1590,30.000000:157.500000,1320,True,21,12,1320,0.999963,24.3393,0,0.0127999,1378 1378 1319 1257 1259 1258 1320 1379 1380 1321 1322 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,25.7673,10,237,1156,30.000000:180.000000,1324,True,27,12,1324,0.99716,25.7214,0,0.0125249,1383 1325 1263 1262 1323 1261 1322 1381 1382 1324 1383 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,26.587,10,96,730,41.810314:168.750000,1491,True,55,12,1438,0.973811,25.8933,0,0.0128375,1324 1382 1383 1440 1381 1439 1492 1491 1438 1437 1380 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,25.8593,10,579,1123,78.284149:45.000000,1766,True,13,12,1746,0.999998,24.062,0,0.0124371,1767 1767 1747 1748 1783 1782 1765 1766 1746 1720 1745 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,27.8652,10,428,395,78.284149:45.000000,1766,True,12,12,1747,0.999999,23.3465,0,0.0125643,1722 1722 1692 1691 1721 1747 1748 1767 1766 1746 1720 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,26.8092,10,237,708,19.471220:168.750000,1197,True,21,12,1197,0.999965,24.0821,0,0.0126088,1199 1199 1134 1133 1132 1198 1261 1197 1131 1130 1196 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,24.8529,10,561,1461,9.594069:202.500000,1072,True,13,12,1071,0.999998,23.772,0,0.0128518,1003 1003 1070 1071 1137 1138 1072 1004 1005 1073 1139 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,27.8714,10,516,395,30.000000:22.500000,1298,True,10,10,1357,0.999999,19.7144,0,0.0124021,1358 1358 1356 1297 1234 1235 1298 1357 1299 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,23.8373,10,507,1805,30.000000:315.000000,1346,True,13,11,1347,0.999996,21.95,0,0.0125427,1404 1404 1461 1460 1405 1406 1348 1347 1346 1403 -1
