method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,13.8662,10,561,341,30.000000:270.000000,1339,True,12,8,1339,0.999959,13.7409,0,0.0135339,1396 1396 1397 1398 1340 1339 1338 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,10.852,10,503,1447,19.471220:146.250000,1193,True,14,6,1193,0.984017,8.73925,0,0.0128453,1128 1128 1193 1194 1257 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,12.7221,10,260,780,9.594069:247.500000,1080,False,29,6,1082,0.8528,10.2123,0,0.012687,1084 1083 1015 1082 1014 -1
GCP,adapt_p70-52877936550931_a78-75_456_map.h5,13.8098,10,237,352,19.471220:78.750000,1181,True,24,8,1245,0.973014,13.7408,0,0.0129999,1183 1183 1246 1308 1245 1182 1181 -1
GCP,adapt_p11-715852394892384_a315-0_229_map.h5,10.8627,10,442,1529,78.284149:315.000000,1778,True,16,6,1763,0.999393,9.80925,0,0.0130374,1761 1762 1778 1779 1763 -1
GCP,adapt_p48-18968510422141_a101-24999999999999_414_map.h5,12.8966,10,723,710,41.810314:101.250000,1481,True,8,7,1428,0.999985,11.2215,0,0.013212,1481 1481 1427 1428 1482 1429 -1
GCP,adapt_p60-00000000000001_a270-0_585_map.h5,10.3142,10,93,1481,30.000000:270.000000,1339,False,91,6,1595,0.690291,10.2369,0,0.0136061,1548 1594 1595 1637 1638 -1
GCP,adapt_p80-40593177313954_a67-5_219_map.h5,13.7873,10,171,383,9.594069:67.500000,1047,True,28,8,1046,0.971253,13.75,0,0.0124454,1048 1048 1047 1113 1112 1046 1045 -1
GCP,adapt_p60-00000000000001_a337-49999999999994_15_map.h5,12.5041,10,80,352,30.000000:337.500000,1350,False,235,3,1288,0.242754,10.7669,0,0.0182,1446 1288 -1
GCP,adapt_p60-00000000000001_a157-5_579_map.h5,11.7985,10,231,1203,30.000000:157.500000,1320,True,21,7,1378,0.981413,11.2059,0,0.0133093,1377 1377 1378 1319 1320 1379 -1
GCP,adapt_p60-00000000000001_a180-0_23_map.h5,12.7955,10,237,747,30.000000:180.000000,1324,True,23,7,1382,0.945529,12.5591,0,0.0132455,1438 1381 1323 1324 1382 1439 -1
GCP,adapt_p48-18968510422141_a168-74999999999997_48_map.h5,9.69097,10,97,1898,41.810314:168.750000,1491,False,39,5,1208,0.735629,7.54457,0,0.0128227,1333 1271 1208 1207 -1
GCP,adapt_p11-715852394892384_a45-0_15_map.h5,12.8433,10,535,748,78.284149:45.000000,1766,True,13,7,1746,0.999933,11.1118,0,0.0124606,1767 1767 1766 1745 1746 1747 -1
GCP,adapt_p11-715852394892384_a45-0_333_map.h5,13.8841,10,428,395,78.284149:45.000000,1766,False,12,8,1747,0.999427,13.4616,0,0.012651,1722 1722 1721 1720 1746 1747 1748 -1
GCP,adapt_p70-52877936550931_a168-74999999999997_289_map.h5,13.8059,10,165,346,19.471220:168.750000,1197,True,26,7,1197,0.966321,12.7285,0,0.0128579,1196 1197 1131 1132 1198 1199 -1
GCP,adapt_p80-40593177313954_a202-49999999999997_197_map.h5,11.8794,10,495,1101,9.594069:202.500000,1072,True,13,7,1071,0.998016,11.2289,0,0.0123801,1004 1004 1003 1071 1072 1138 -1
GCP,adapt_p60-00000000000001_a22-5_441_map.h5,13.881,10,516,395,30.000000:22.500000,1298,True,10,8,1357,0.999997,13.7592,0,0.0127875,1358 1358 1299 1298 1357 1297 1356 -1
GCP,adapt_p60-00000000000001_a315-0_417_map.h5,11.867,10,368,1068,30.000000:315.000000,1346,True,13,6,1404,0.972816,8.78258,0,0.0127737,1403 1403 1346 1404 1405 -1
GCP,adapt_p35-659087696138755_a45-0_486_map.h5,11.8615,10,415,1114,54.340912:45.000000,1572,True,13,7,1525,0.988434,11.5518,0,0.0133321,1524 1524 1572 1526 1525 1473 -1
GCP,adapt_p80-40593177313954_a270-0_182_map.h5,13.8041,10,399,382,9.594069:270.000000,1084,True,24,8,1084,0.988535,13.8058,0,0.0126923,1149 1149 1150 1151 1085 1084 1083 -1
GCP,adapt_p35-659087696138755_a105-0_477_map.h5,13.8681,10,503,389,54.340912:105.000000,1579,True,11,7,1622,0.999373,11.623,0,0.0127616,1579 1579 1622 1623 1661 1621 -1
GCP,adapt_p80-40593177313954_a224-99999999999997_341_map.h5,11.8394,10,438,1125,9.594069:225.000000,1076,True,17,7,1141,0.989922,11.1221,0,0.0124265,1076 1076 1075 1141 1140 1074 -1
GCP,adapt_p80-40593177313954_a90-0_21_map.h5,11.8802,10,650,1105,9.594069:90.000000,1051,True,12,7,1051,0.999916,11.1605,0,0.0126107,1050 1050 1051 1117 1118 1052 -1
GCP,adapt_p35-659087696138755_a195-0_210_map.h5,11.8738,10,556,1102,54.340912:195.000000,1590,False,12,7,1633,0.999945,11.161,0,0.0129534,1671 1671 1634 1633 1670 1632 -1
GCP,adapt_p48-18968510422141_a11-25_434_map.h5,12.878,10,298,705,41.810314:11.250000,1468,True,13,7,1468,0.998653,11.2093,0,0.0127689,1521 1521 1520 1468 1467 1413 -1
GCP,adapt_p70-52877936550931_a326-24999999999994_525_map.h5,13.4516,10,104,360,19.471220:326.250000,1225,False,76,7,1158,0.639652,13.2173,0,0.0132599,1287 1159 1223 1158 1157 1222 -1
GCP,adapt_p60-00000000000001_a112-49999999999999_477_map.h5,11.869,10,617,1082,30.000000:112.500000,1313,True,12,7,1313,0.999822,11.0804,0,0.0127674,1312 1312 1371 1372 1313 1250 -1
GCP,adapt_p35-659087696138755_a14-999999999999998_231_map.h5,12.5805,10,56,831,54.340912:15.000000,1568,False,60,6,1716,0.736896,10.1867,0,0.0133427,1682 1715 1716 1717 1685 -1
