method,dataset,budget,slew_rate,n_src,n_bkg,source,source_tile,detected,sum_tiles,visited_tiles,zenith_tile,sum_prob,detection_cost,estimate_time,runtime,path
GCP,adapt_p48-18968510422141_a281-24999999999994_508_map.h5,8,10,188,789,41.810314:281.250000,1507,True,28,5,1508,0.724156,7.51933,0.0259615,0.0259591,1454 1455 1507 1508 -1
GCP,adapt_p60-00000000000001_a270-0_369_map.h5,8,10,619,1175,30.000000:270.000000,1339,True,15,5,1338,0.876773,7.73553,0.0122644,0.012253,1337 1338 1339 1277 -1
GCP,adapt_p70-52877936550931_a191-25_516_map.h5,26,10,250,646,19.471220:191.250000,1201,True,24,13,1263,0.999392,25.971,0.0128677,0.0128637,1384 1384 1383 1324 1262 1199 1200 1263 1325 1326 1264 1201 -1
GCP,adapt_p80-40593177313954_a292-5_318_map.h5,13,10,249,509,9.594069:292.500000,1088,True,37,7,1153,0.893133,12.67,0.0123623,0.0123784,1279 1217 1152 1153 1087 1088 -1
GCP,adapt_p70-52877936550931_a33-75_399_map.h5,2,10,390,627,19.471220:33.750000,1173,True,17,2,1172,0,0,0.0124044,0.0123987,1173 -1
GCP,adapt_p70-52877936550931_a146-25_367_map.h5,33,10,92,758,19.471220:146.250000,1193,True,69,15,1319,0.970765,32.6241,0.012737,0.0127237,1489 1436 1379 1320 1257 1319 1378 1435 1434 1376 1377 1318 1256 1193 -1
GCP,adapt_p35-659087696138755_a195-0_395_map.h5,3,10,804,489,54.340912:195.000000,1590,True,7,3,1590,0.962832,2.59995,0.0121457,0.0121469,1633 1590 -1
GCP,adapt_p23-556464309101234_a202-5_512_map.h5,3,10,786,989,66.443535:202.500000,1704,True,9,3,1704,0.924517,2.61185,0.0122749,0.0122568,1671 1704 -1
GCP,adapt_p35-659087696138755_a255-00000000000003_410_map.h5,7,10,651,672,54.340912:255.000000,1598,True,8,5,1639,0.999026,6.18338,0.0122133,0.012211,1597 1597 1639 1598 -1
GCP,adapt_p80-40593177313954_a292-5_477_map.h5,55,10,199,681,9.594069:292.500000,1088,True,32,24,1221,0.999995,54.5478,0.0131918,0.0133008,1284 1284 1220 1155 1089 1088 1154 1219 1283 1221 1156 1090 1091 1157 1222 1285 1286 1223 1158 1092 1093 1159 1224 -1
GCP,adapt_p48-18968510422141_a191-25_95_map.h5,2,10,898,232,41.810314:191.250000,1494,True,7,2,1441,0,0,0.0121874,0.0121787,1494 -1
GCP,adapt_p60-00000000000001_a0-0_146_map.h5,3,10,629,727,30.000000:0.000000,1294,True,9,3,1294,0.9917,2.54982,0.0123669,0.0123666,1353 1294 -1
GCP,adapt_p48-18968510422141_a56-24999999999999_275_map.h5,5,10,295,434,41.810314:56.250000,1475,True,17,4,1421,0.851927,4.98108,0.0122973,0.0123014,1422 1421 1475 -1
GCP,adapt_p48-18968510422141_a56-24999999999999_180_map.h5,9,10,450,1087,41.810314:56.250000,1475,True,10,6,1474,0.994396,8.90137,0.0121694,0.0121575,1420 1420 1475 1474 1473 -1
GCP,adapt_p80-40593177313954_a247-49999999999997_568_map.h5,6,10,662,712,9.594069:247.500000,1080,True,10,4,1081,0.994771,5.10293,0.0123087,0.0123031,1013 1081 1080 -1
GCP,adapt_p80-40593177313954_a90-0_564_map.h5,21,10,103,518,9.594069:90.000000,1051,True,38,10,1116,0.979386,20.7278,0.0126477,0.012642,1048 1115 1049 1050 1116 1182 1051 1117 1183 -1
GCP,adapt_p48-18968510422141_a348-74999999999994_462_map.h5,9,10,252,208,41.810314:348.750000,1517,True,21,5,1516,0.94092,8.14321,0.0126712,0.0126674,1464 1516 1517 1515 -1
